bed 172 127 586 484 0.991085 0.007812 file_cabinet
table 0 157 21 194 0.297697 0.580577 BG
picture 580 105 584 112 0.106559 0.065684 BG
picture 714 257 729 270 0.102472 0.205730 BG
picture 690 242 695 243 0.101904 0.168881 BG
tv 651 523 663 529 0.129363 0.508888 BG
paper 3 78 57 114 0.597235 0.291476 BG
paper 1 67 26 102 0.484553 0.479887 BG
paper 19 71 24 76 0.482277 0.467506 BG
paper 20 71 53 78 0.40518 0.527012 BG
paper 3 104 61 123 0.284872 0.238308 BG
paper 66 116 69 119 0.23046 0.550845 BG
paper 705 497 729 529 0.183849 0.165398 BG
paper 487 355 493 365 0.171141 0.159862 BG
paper 6 58 167 117 0.163019 0.710607 BG
paper 580 104 583 111 0.162743 0.065684 BG
paper 690 241 695 242 0.15896 0.168881 BG
paper 709 515 720 526 0.156147 0.483751 BG
paper 91 114 128 129 0.145735 0.816106 BG
paper 482 113 485 117 0.142815 0.161839 BG
paper 39 104 53 112 0.141723 0.459250 BG
paper 672 510 711 529 0.137259 0.246104 BG
paper 487 503 488 505 0.133266 0.572001 BG
paper 94 114 104 118 0.131664 0.841195 BG
paper 127 118 149 125 0.127914 0.661301 BG
paper 163 116 174 122 0.123864 0.532774 BG
paper 463 500 476 520 0.118222 0.768378 BG
paper 359 495 367 502 0.117714 0.475680 BG
paper 471 514 475 516 0.117128 0.738352 BG
paper 385 522 390 524 0.109792 0.522372 BG
paper 714 258 729 270 0.108582 0.205730 BG
paper 174 121 177 124 0.107847 0.497740 BG
paper 368 502 373 511 0.107119 0.370106 BG
paper 2 113 27 119 0.102926 0.669204 BG
paper 704 298 729 307 0.100951 0.136747 BG
towel 488 354 493 365 0.104632 0.159862 BG
box 38 104 54 112 0.197028 0.459250 BG
box 5 4 89 66 0.17721 0.626894 BG
box 690 242 696 242 0.140963 0.168881 BG
box 25 70 56 79 0.132239 0.576028 BG
box 22 8 178 117 0.117086 0.723815 BG
box 174 121 177 124 0.116999 0.497740 BG
box 400 523 402 529 0.115861 0.222806 BG
box 385 519 397 529 0.114664 0.179431 BG
box 2 67 64 123 0.108287 0.212692 BG
box 30 112 63 122 0.103434 0.549237 BG
box 368 502 374 512 0.102927 0.370106 BG
lamp 157 115 168 120 0.11277 0.638427 BG
garbage_bin 703 298 729 307 0.152808 0.136747 BG
garbage_bin 689 242 696 243 0.151099 0.168881 BG
garbage_bin 542 185 560 196 0.146366 0.765044 BG
garbage_bin 368 503 374 511 0.121576 0.370106 BG
