table 27 213 646 529 0.802697 0.161317 table&&floor
door 651 0 673 118 0.106306 0.442312 BG
picture 655 123 673 143 0.403838 0.243004 BG
picture 667 112 672 122 0.3559 0.321980 BG
picture 721 175 729 188 0.347104 0.343993 BG
picture 672 124 675 129 0.312586 0.392317 BG
picture 671 1 718 39 0.281471 0.353425 BG
picture 721 139 729 189 0.261401 0.366090 BG
picture 663 95 690 113 0.23335 0.434419 BG
picture 653 2 690 120 0.201276 0.402445 BG
picture 661 111 668 123 0.200378 0.478934 BG
picture 663 107 666 110 0.108021 0.635172 BG
picture 725 125 728 126 0.101112 0.650763 BG
counter 248 248 641 365 0.107141 0.830475 BG
desk 2 212 729 496 0.230957 0.228823 floor
tv 184 127 295 206 0.180091 0.600329 cpu
paper 528 261 562 268 0.50767 0.467198 BG
paper 535 248 569 268 0.420546 0.509467 BG
paper 565 261 573 268 0.392667 0.560039 BG
paper 570 252 575 255 0.302748 0.617706 BG
paper 543 264 546 271 0.257781 0.729043 BG
paper 672 0 717 37 0.211571 0.353425 BG
paper 668 111 671 122 0.187937 0.321980 BG
paper 671 30 680 33 0.187176 0.511048 BG
paper 673 123 675 129 0.186761 0.392317 BG
paper 661 110 667 123 0.176415 0.478934 BG
paper 519 242 530 253 0.173981 0.798858 BG
paper 532 118 563 159 0.159692 0.653534 BG
paper 655 122 673 142 0.157104 0.243004 BG
paper 663 95 690 112 0.153816 0.434419 BG
paper 576 257 583 261 0.146153 0.765336 BG
paper 653 0 690 115 0.1377 0.402445 BG
paper 711 214 729 240 0.134066 0.575699 BG
paper 663 107 666 110 0.121516 0.635172 BG
paper 653 72 665 106 0.11565 0.698960 BG
box 610 437 614 442 0.530931 0.468624 BG
box 592 429 596 437 0.508682 0.487893 BG
box 574 421 592 431 0.307777 0.676076 BG
box 445 252 457 265 0.269416 0.707649 BG
box 602 426 614 437 0.248999 0.749721 BG
box 608 430 630 445 0.15616 0.843428 BG
box 516 150 530 162 0.139562 0.633679 BG
box 584 454 590 458 0.109452 0.873307 BG
box 484 342 493 352 0.1078 0.876574 BG
box 580 423 581 428 0.102519 0.858937 BG
box 561 407 628 467 0.101797 0.893295 BG
lamp 714 186 729 212 0.196566 0.707900 BG
garbage_bin 616 291 631 301 0.232584 0.716474 BG
garbage_bin 625 275 633 279 0.173263 0.687918 BG
monitor 191 130 296 214 0.107608 0.600329 cpu
