chair 28 129 148 325 0.665979 0.280794 endtable
sofa 106 134 676 372 0.963154 0.034311 sofa
sofa 573 51 717 369 0.158178 0.802672 BG
sofa 371 128 414 135 0.129584 0.756978 BG
picture 19 1 78 38 0.145384 0.130110 BG
blinds 425 1 546 77 0.548786 0.378868 BG
blinds 163 0 275 114 0.185527 0.588129 BG
blinds 167 1 560 101 0.175093 0.771707 BG
blinds 183 62 232 102 0.169194 0.612048 BG
pillow 459 100 593 213 0.137931 0.844564 BG
pillow 183 240 213 274 0.108549 0.886636 BG
paper 20 0 79 38 0.595474 0.130110 BG
paper 25 6 35 12 0.345397 0.545832 BG
paper 138 220 145 229 0.230909 0.693563 BG
paper 135 232 139 237 0.153355 0.773988 BG
paper 267 85 270 90 0.136436 0.661438 BG
paper 725 385 729 390 0.113757 0.150658 BG
paper 269 84 281 88 0.10123 0.788156 BG
box 168 109 175 110 0.110264 0.643320 BG
toilet 617 160 723 378 0.100853 0.657304 BG
garbage_bin 672 160 727 400 0.173313 0.461819 BG
garbage_bin 623 201 630 206 0.122352 0.822110 BG
