sofa 21 52 419 220 0.192407 0.760364 bench
table 515 206 725 457 0.185501 0.572385 BG
picture 726 398 729 413 0.172238 0.333106 BG
picture 720 390 729 419 0.126137 0.315036 BG
picture 715 407 720 415 0.104184 0.517063 BG
picture 725 398 727 401 0.101432 0.540665 BG
tv 718 382 721 388 0.160117 0.548771 BG
tv 725 398 727 401 0.154317 0.540665 BG
tv 725 399 729 413 0.13273 0.333106 BG
paper 249 416 256 422 0.226542 0.309351 BG
paper 723 420 729 432 0.214917 0.197070 BG
paper 718 439 719 440 0.208009 0.354167 BG
paper 724 433 729 439 0.206423 0.166483 BG
paper 720 411 729 419 0.143895 0.285366 BG
paper 703 428 724 439 0.140114 0.551292 BG
paper 373 14 375 15 0.138486 0.322972 BG
paper 722 267 726 274 0.122944 0.232971 BG
box 182 182 194 200 0.303289 0.695255 BG
box 206 177 225 187 0.295592 0.700769 BG
box 190 168 227 210 0.260376 0.737571 BG
box 203 176 210 180 0.259782 0.739856 BG
box 183 190 184 195 0.211223 0.752150 BG
box 185 192 192 196 0.201648 0.785525 BG
box 180 176 191 183 0.191676 0.807912 BG
box 373 15 375 15 0.137334 0.322972 BG
whiteboard 7 0 78 54 0.773769 0.110983 BG
garbage_bin 278 119 285 132 0.161733 0.712997 BG
garbage_bin 287 129 290 133 0.160781 0.746386 BG
garbage_bin 723 432 729 439 0.107118 0.166483 BG
