cabinet 310 204 557 319 0.212672 0.622820 counter
chair 115 272 279 529 0.9924 0.007365 chair
chair 281 307 485 529 0.988525 0.010631 chair&&dining_table
chair 561 239 699 512 0.95436 0.037249 chair
chair 462 277 546 497 0.948203 0.050805 BG
chair 651 361 714 509 0.617926 0.354574 BG
chair 300 246 366 296 0.365459 0.610677 BG
chair 690 386 728 513 0.343619 0.560807 BG
chair 217 258 293 372 0.303879 0.689357 BG
chair 103 253 166 519 0.299229 0.698315 BG
chair 204 230 276 274 0.261672 0.675071 BG
chair 375 282 482 434 0.242288 0.719412 BG
chair 432 313 471 521 0.235101 0.762215 BG
chair 589 207 659 289 0.23121 0.633556 BG
chair 238 269 440 364 0.229339 0.623565 BG
chair 426 277 471 304 0.209293 0.663073 BG
chair 293 255 297 286 0.202168 0.677446 BG
chair 460 285 496 326 0.199374 0.744096 BG
chair 363 255 370 293 0.19668 0.745800 BG
chair 370 256 370 261 0.126708 0.763043 BG
chair 589 243 603 249 0.104279 0.824171 BG
chair 227 273 273 522 0.102023 0.873233 BG
sofa 570 196 721 296 0.15449 0.585037 BG
table 227 283 478 518 0.786078 0.145890 chair&&dining_table
table 26 228 247 505 0.191849 0.674107 BG
table 627 230 722 513 0.156602 0.432012 BG
table 238 306 370 426 0.123739 0.821167 BG
picture 176 0 369 148 0.989598 0.005484 picture
picture 183 0 236 143 0.937593 0.054917 BG
picture 681 158 729 270 0.627526 0.304840 BG
picture 699 167 729 198 0.39078 0.469639 BG
picture 686 185 729 214 0.316404 0.556275 BG
picture 682 219 729 244 0.298674 0.635141 BG
picture 200 1 319 33 0.294602 0.669761 BG
picture 725 171 729 197 0.292132 0.572810 BG
picture 713 184 727 193 0.274412 0.611461 BG
picture 700 201 729 219 0.235716 0.449212 BG
picture 695 292 729 362 0.223465 0.555417 BG
picture 716 219 729 230 0.193732 0.542500 BG
picture 719 170 727 178 0.160047 0.749069 BG
picture 704 305 720 333 0.114558 0.763416 BG
picture 692 202 703 215 0.107545 0.823779 BG
picture 641 112 727 218 0.103917 0.649331 BG
counter 223 210 338 247 0.132612 0.717620 BG
blinds 4 2 184 118 0.121747 0.622793 BG
desk 363 266 495 324 0.159811 0.588138 BG
pillow 641 112 727 160 0.118453 0.670380 pillow
mirror 181 13 202 150 0.138511 0.412881 BG
tv 188 67 310 158 0.182146 0.517305 BG
paper 5 5 128 57 0.119855 0.424565 BG
paper 686 322 695 354 0.114432 0.598740 BG
paper 2 247 77 276 0.108444 0.481207 BG
paper 701 375 729 427 0.10541 0.429688 BG
paper 79 275 80 279 0.103797 0.718753 BG
towel 1 181 9 186 0.108085 0.162436 BG
box 630 113 722 182 0.117441 0.570872 BG
whiteboard 1 245 78 365 0.100916 0.622617 BG
person 719 451 729 461 0.123127 0.701395 BG
