cabinet 551 329 729 509 0.192343 0.199250 box&&night_stand
bed 0 60 300 510 0.997371 0.002288 bed
sofa 0 386 269 528 0.439363 0.485269 mattress
sofa 61 413 236 476 0.118999 0.754124 mattress
table 553 385 729 528 0.594657 0.043038 box
picture 249 0 342 50 0.958523 0.035528 painting
picture 57 1 145 28 0.866026 0.125645 painting
picture 70 0 130 10 0.73899 0.258044 BG
picture 115 6 126 10 0.486262 0.475807 BG
picture 55 0 331 41 0.405724 0.584697 BG
picture 151 0 237 39 0.371083 0.343107 painting
picture 265 0 326 11 0.334793 0.662523 BG
picture 301 18 320 29 0.208584 0.783594 BG
picture 277 7 324 29 0.192125 0.799810 BG
counter 374 198 431 214 0.130161 0.854622 BG
desk 581 210 729 529 0.565382 0.054609 night_stand
dresser 299 121 589 395 0.356087 0.147632 BG
dresser 322 126 403 337 0.255456 0.515548 BG
dresser 489 217 566 316 0.120149 0.731437 BG
dresser 578 223 729 432 0.116245 0.114454 night_stand&&night_stand
dresser 350 237 556 329 0.107713 0.856348 BG
pillow 58 128 289 215 0.564523 0.435033 BG
pillow 477 123 575 184 0.260532 0.696849 BG
pillow 5 418 81 496 0.249171 0.626906 BG
pillow 160 429 183 466 0.20067 0.747898 BG
pillow 142 427 227 462 0.193844 0.732851 BG
paper 88 486 136 525 0.629117 0.102644 BG
paper 414 126 443 158 0.305281 0.310961 BG
paper 414 132 424 136 0.253813 0.437247 BG
paper 603 258 729 311 0.179881 0.714363 BG
paper 1 56 14 95 0.143637 0.450206 BG
paper 559 460 727 528 0.115466 0.132003 BG
paper 686 280 708 286 0.114762 0.821201 BG
box 427 113 434 128 0.518146 0.469778 BG
box 413 110 444 160 0.506319 0.415385 BG
box 392 104 426 159 0.40279 0.522435 BG
box 427 107 469 128 0.369723 0.567750 BG
box 426 104 433 114 0.306284 0.690112 BG
box 413 131 425 137 0.296938 0.437247 BG
box 387 79 532 163 0.291699 0.623203 BG
box 434 117 447 130 0.260163 0.695076 BG
box 559 450 729 528 0.2118 0.132003 box
box 432 107 447 113 0.187266 0.798589 BG
box 424 110 482 165 0.186362 0.678659 BG
box 85 486 139 524 0.17819 0.102644 BG
box 544 441 571 492 0.174335 0.667260 BG
box 1 57 15 95 0.102857 0.450206 BG
night_stand 570 261 729 435 0.710171 0.185327 night_stand&&night_stand
night_stand 316 124 582 369 0.495909 0.210037 dresser_mirror
night_stand 317 109 402 338 0.236103 0.508385 BG
night_stand 488 224 582 323 0.184726 0.742205 BG
lamp 624 131 728 277 0.969665 0.025579 lamp&&lamp
lamp 699 2 729 29 0.561462 0.393255 BG
lamp 341 97 398 106 0.554186 0.405864 BG
lamp 344 61 420 159 0.508252 0.387303 lamp
lamp 367 100 390 105 0.322842 0.622693 BG
lamp 648 15 729 47 0.29658 0.586513 BG
lamp 337 103 365 116 0.265267 0.718181 BG
lamp 632 28 729 183 0.202846 0.751940 BG
lamp 626 88 672 183 0.157438 0.720127 BG
lamp 545 116 572 123 0.145329 0.836197 BG
lamp 538 79 605 125 0.123528 0.697385 BG
lamp 681 116 727 128 0.117906 0.789255 BG
lamp 546 112 576 182 0.107182 0.866520 BG
lamp 329 45 399 108 0.104928 0.844901 BG
garbage_bin 562 194 593 213 0.245195 0.739649 BG
garbage_bin 166 458 236 528 0.166396 0.595716 BG
garbage_bin 706 284 729 292 0.150989 0.509693 BG
garbage_bin 569 231 584 236 0.14868 0.850526 BG
garbage_bin 574 126 599 201 0.12456 0.591938 BG
garbage_bin 541 207 592 231 0.114252 0.885251 BG
garbage_bin 555 228 589 232 0.10656 0.893038 BG
