chair 319 349 522 529 0.140566 0.194131 counter
table 32 295 400 529 0.956197 0.024306 table
table 315 338 596 529 0.56513 0.111268 drawer&&counter
picture 10 2 128 20 0.327221 0.525091 BG
picture 15 8 165 247 0.301494 0.238019 medicine_cabinet
picture 1 1 26 6 0.227007 0.469993 BG
picture 153 197 170 239 0.194592 0.691942 BG
picture 36 119 111 224 0.17345 0.599756 BG
picture 115 121 128 129 0.167787 0.745893 BG
picture 114 108 124 122 0.133202 0.727733 BG
picture 121 8 182 256 0.128605 0.656974 BG
picture 1 1 3 6 0.120534 0.433681 BG
picture 157 210 166 218 0.109004 0.836847 BG
picture 154 202 165 211 0.101938 0.785477 BG
picture 55 190 82 215 0.101374 0.841293 BG
desk 311 347 595 529 0.15514 0.111268 drawer&&counter
mirror 0 8 221 281 0.391314 0.328102 medicine_cabinet
mirror 343 0 351 37 0.138127 0.556642 BG
clothes 609 506 612 514 0.174775 0.274981 BG
clothes 605 515 607 523 0.117513 0.295580 BG
tv 0 1 3 6 0.355284 0.433681 BG
tv 402 524 441 529 0.261441 0.594395 BG
tv 5 526 18 529 0.191465 0.516860 BG
tv 360 506 519 529 0.182155 0.682605 BG
tv 409 523 420 527 0.170954 0.710784 BG
tv 400 528 407 529 0.159394 0.756646 BG
tv 0 1 26 6 0.158135 0.469993 BG
tv 0 5 6 14 0.147245 0.671516 BG
tv 268 528 271 529 0.100686 0.378026 BG
paper 101 196 155 220 0.419851 0.532866 BG
paper 117 203 121 207 0.41101 0.536307 BG
paper 126 200 138 210 0.334934 0.628047 BG
paper 124 352 133 362 0.321173 0.448880 BG
paper 111 348 115 353 0.29815 0.368753 BG
paper 111 196 117 207 0.286869 0.594507 BG
paper 100 210 107 220 0.273956 0.497380 BG
paper 123 197 131 203 0.255776 0.665167 BG
paper 605 305 606 307 0.218474 0.069990 BG
paper 8 212 11 216 0.199065 0.217739 BG
paper 103 197 113 209 0.191795 0.659538 BG
paper 93 212 99 222 0.163346 0.614694 BG
paper 281 450 286 458 0.159856 0.292403 BG
paper 172 222 179 223 0.15051 0.774115 BG
paper 53 306 62 315 0.14082 0.509637 BG
paper 130 232 164 238 0.132748 0.824177 BG
paper 2 320 28 334 0.124449 0.551325 BG
paper 317 167 325 179 0.123162 0.554291 BG
paper 66 207 162 233 0.118252 0.836361 BG
paper 307 169 317 173 0.114412 0.622116 BG
paper 83 295 191 378 0.107094 0.292478 box
paper 71 303 72 305 0.104699 0.562563 BG
paper 29 320 46 330 0.103672 0.762953 BG
paper 144 408 160 426 0.10354 0.879381 BG
paper 105 193 109 202 0.101211 0.664029 BG
paper 50 301 66 305 0.100379 0.663663 BG
box 81 288 185 381 0.28159 0.292478 box
box 20 293 35 301 0.268233 0.523543 BG
box 16 299 31 311 0.225509 0.604172 BG
box 241 290 372 382 0.222776 0.285250 box
box 0 293 36 315 0.197278 0.648763 BG
box 110 348 115 354 0.163132 0.368753 BG
box 123 352 133 363 0.153442 0.448880 BG
box 156 327 190 349 0.143239 0.695266 BG
box 134 331 191 387 0.139087 0.669205 BG
box 7 263 17 289 0.137362 0.744933 BG
box 342 337 348 348 0.128549 0.815149 BG
box 281 451 286 458 0.11846 0.292403 BG
box 605 305 607 306 0.114559 0.069990 BG
box 99 209 107 220 0.106724 0.497380 BG
box 52 305 62 315 0.105071 0.509637 BG
person 60 80 120 148 0.686239 0.297273 BG
person 62 62 151 210 0.542035 0.378790 BG
person 92 92 121 131 0.331229 0.650356 BG
person 53 118 98 194 0.291784 0.629134 BG
person 81 119 112 178 0.280681 0.684207 BG
person 117 85 129 101 0.264829 0.603673 BG
person 119 97 129 104 0.234871 0.715715 BG
person 92 122 103 150 0.220205 0.763463 BG
person 82 61 108 96 0.214861 0.774846 BG
person 75 86 96 100 0.211486 0.787441 BG
person 110 97 121 118 0.208178 0.686029 BG
person 605 515 608 524 0.197652 0.295580 BG
person 102 128 117 148 0.187937 0.788375 BG
person 97 94 112 98 0.175681 0.823290 BG
person 69 82 81 102 0.174934 0.822844 BG
person 60 130 77 145 0.163553 0.818710 BG
person 71 95 98 128 0.159671 0.838848 BG
person 88 106 140 163 0.154379 0.823465 BG
person 104 121 112 130 0.149993 0.834564 BG
person 103 61 143 120 0.148224 0.718785 BG
person 76 128 83 136 0.139164 0.854345 BG
person 80 133 90 138 0.130219 0.865812 BG
person 84 136 92 151 0.125057 0.820069 BG
person 80 143 91 173 0.115699 0.825270 BG
person 609 506 613 515 0.110761 0.274981 BG
person 80 83 85 92 0.107108 0.892359 BG
person 81 147 89 154 0.101355 0.856923 BG
lamp 181 391 194 398 0.275477 0.688849 BG
bag 609 507 612 514 0.136969 0.274981 BG
garbage_bin 360 296 363 301 0.400703 0.520613 BG
garbage_bin 253 282 366 391 0.369003 0.259174 box
garbage_bin 360 303 363 304 0.332072 0.599743 BG
garbage_bin 352 311 366 316 0.29775 0.640445 BG
garbage_bin 359 288 375 302 0.236135 0.467770 BG
garbage_bin 175 307 181 314 0.174203 0.670479 BG
garbage_bin 368 313 370 316 0.155094 0.792110 BG
garbage_bin 176 301 179 306 0.15035 0.634577 BG
garbage_bin 186 308 187 310 0.1424 0.724046 BG
garbage_bin 312 335 321 337 0.137618 0.858878 BG
garbage_bin 185 308 241 341 0.134002 0.771152 BG
garbage_bin 605 305 607 307 0.123651 0.069990 BG
garbage_bin 181 302 185 307 0.115419 0.706578 BG
