cabinet 3 115 93 278 0.330207 0.433691 cubby
bed 30 183 341 529 0.407058 0.493515 floor
chair 286 225 427 263 0.191984 0.750426 BG
chair 129 212 536 522 0.111689 0.421107 sofa_chair
sofa 92 219 588 529 0.878472 0.104332 sofa_chair
door 220 6 241 162 0.267109 0.636176 BG
bookshelf 0 5 75 175 0.17581 0.779972 BG
bookshelf 0 71 43 84 0.1241 0.684171 BG
picture 359 31 459 135 0.973439 0.021291 picture
picture 261 68 349 134 0.905844 0.054196 picture
picture 552 14 610 76 0.523204 0.347380 BG
picture 389 60 419 88 0.391194 0.551743 BG
picture 272 1 348 19 0.372373 0.446361 picture
picture 620 63 623 68 0.269394 0.440365 BG
picture 287 127 343 131 0.264385 0.716332 BG
picture 592 3 729 72 0.263961 0.497526 BG
picture 368 1 456 18 0.216558 0.534426 BG
picture 619 56 625 64 0.208053 0.428630 BG
picture 641 54 662 78 0.207774 0.558754 BG
picture 345 29 374 132 0.198506 0.742846 BG
picture 264 2 269 22 0.156356 0.749829 BG
picture 551 49 582 75 0.145357 0.738710 BG
picture 670 55 690 67 0.143997 0.516501 BG
picture 282 2 452 32 0.132497 0.762566 BG
picture 591 1 620 71 0.131625 0.694146 BG
picture 376 131 420 135 0.131394 0.843365 BG
picture 573 49 581 70 0.128825 0.789436 BG
picture 697 11 729 104 0.128101 0.613164 ceiling
picture 344 33 351 134 0.12708 0.811278 BG
picture 456 2 462 20 0.118485 0.797675 BG
picture 187 2 199 57 0.110066 0.657884 BG
pillow 409 207 571 306 0.927259 0.071603 pillow
pillow 500 242 539 287 0.4945 0.505119 BG
pillow 505 243 523 262 0.446603 0.553203 BG
pillow 533 246 547 267 0.317993 0.676746 BG
pillow 526 235 561 267 0.311966 0.684150 BG
pillow 423 222 483 281 0.29013 0.709197 BG
pillow 509 236 538 252 0.284484 0.715105 BG
pillow 127 255 137 262 0.237728 0.735228 BG
pillow 115 269 122 269 0.226834 0.755619 BG
pillow 457 225 475 247 0.215714 0.783929 BG
pillow 119 256 141 278 0.20697 0.775027 BG
pillow 466 222 498 248 0.206327 0.793270 BG
pillow 412 269 500 305 0.203518 0.774333 BG
pillow 395 301 408 315 0.15147 0.846466 BG
pillow 135 264 142 276 0.145249 0.847064 BG
pillow 436 231 470 260 0.138141 0.861470 BG
pillow 452 210 457 211 0.123101 0.841885 BG
pillow 543 240 579 271 0.119665 0.861183 BG
pillow 455 230 532 273 0.115268 0.884631 BG
pillow 395 288 430 315 0.114245 0.883455 BG
pillow 305 219 554 384 0.112864 0.833500 BG
pillow 492 229 505 239 0.101708 0.897134 BG
mirror 356 5 460 110 0.105784 0.744773 picture
clothes 206 234 242 293 0.235554 0.620982 BG
clothes 232 246 241 265 0.109573 0.782613 BG
paper 293 56 325 100 0.638889 0.281661 BG
paper 622 51 626 56 0.218633 0.555102 BG
paper 671 55 690 67 0.180272 0.516501 BG
paper 647 0 667 2 0.176242 0.669631 BG
paper 704 34 729 53 0.150163 0.386396 BG
paper 620 56 624 64 0.149715 0.428630 BG
paper 639 65 656 74 0.133782 0.689133 BG
paper 654 54 662 78 0.123822 0.576844 BG
paper 606 33 614 60 0.122861 0.722165 BG
paper 644 59 656 70 0.114915 0.736471 BG
paper 660 0 666 2 0.112051 0.659383 BG
paper 591 0 618 66 0.111073 0.694146 BG
paper 634 54 642 66 0.109258 0.716961 BG
paper 705 205 728 222 0.105375 0.545972 BG
paper 719 83 721 83 0.103586 0.447066 BG
paper 698 218 706 247 0.103466 0.692695 BG
paper 723 205 729 222 0.103319 0.534455 BG
paper 709 9 729 33 0.103011 0.349627 BG
paper 667 0 690 2 0.102985 0.551455 BG
paper 621 64 622 68 0.102417 0.440365 BG
box 665 0 688 2 0.282655 0.551455 BG
box 660 0 666 2 0.198969 0.659383 BG
box 706 9 729 55 0.190771 0.303448 ceiling
box 608 7 728 71 0.135164 0.493854 BG
box 365 501 454 529 0.126165 0.397893 BG
box 645 0 666 2 0.12363 0.669631 BG
box 619 57 625 63 0.104412 0.428630 BG
box 621 51 627 55 0.101353 0.555102 BG
person 701 87 728 222 0.875866 0.086144 person
person 714 136 729 175 0.712234 0.236592 BG
person 722 113 729 148 0.404409 0.551314 BG
person 723 116 726 118 0.307235 0.682472 BG
person 721 116 726 124 0.263632 0.728224 BG
person 714 97 725 141 0.250659 0.740729 BG
person 691 107 702 117 0.228191 0.613721 BG
person 538 158 577 220 0.224593 0.759288 BG
person 673 102 706 198 0.215988 0.719798 BG
person 698 106 707 133 0.170424 0.742550 BG
person 631 124 701 223 0.135966 0.785453 BG
person 672 190 688 202 0.117884 0.855228 BG
person 676 173 695 193 0.102169 0.887759 BG
night_stand 245 177 435 316 0.164945 0.661951 BG
lamp 493 0 541 73 0.13427 0.730916 BG
garbage_bin 363 503 457 529 0.109485 0.397893 BG
