bed 96 214 546 526 0.745606 0.211120 futon&&floor
chair 662 244 729 401 0.554627 0.145291 futon
chair 6 277 62 489 0.137441 0.514785 BG
chair 4 287 46 352 0.118528 0.712550 BG
chair 491 65 501 86 0.109291 0.624758 BG
chair 1 429 20 457 0.104126 0.527825 BG
sofa 20 24 409 260 0.932363 0.056383 futon&&sofa
sofa 0 116 336 200 0.744524 0.199181 BG
sofa 107 6 503 67 0.706333 0.251148 BG
sofa 388 168 604 328 0.292683 0.662571 futon
sofa 389 47 519 178 0.279052 0.661702 BG
sofa 37 85 559 458 0.252845 0.713661 futon
sofa 340 3 488 40 0.218537 0.616915 BG
sofa 507 154 531 167 0.190771 0.560338 BG
sofa 439 2 583 44 0.135267 0.485893 BG
sofa 35 186 84 272 0.133147 0.686179 BG
sofa 489 158 579 226 0.110631 0.835273 BG
sofa 496 76 537 162 0.107674 0.778993 BG
picture 462 2 549 38 0.127411 0.448691 BG
picture 525 26 559 36 0.106608 0.442665 BG
counter 531 137 537 138 0.110544 0.527323 BG
blinds 702 57 729 91 0.271703 0.557519 BG
pillow 410 166 575 254 0.249388 0.664127 futon
pillow 466 85 491 128 0.240434 0.691059 BG
pillow 434 187 453 239 0.226545 0.727447 BG
pillow 19 121 229 166 0.192147 0.670163 BG
pillow 549 216 553 218 0.109549 0.881301 BG
pillow 487 112 491 119 0.101153 0.895071 BG
clothes 564 5 584 23 0.10413 0.554609 BG
tv 0 5 2 32 0.172883 0.349390 BG
paper 115 0 130 5 0.510892 0.428179 BG
paper 132 224 157 264 0.501172 0.383537 BG
paper 108 198 156 284 0.390802 0.400775 BG
paper 119 261 142 285 0.282396 0.608954 BG
paper 400 66 401 68 0.258334 0.540666 BG
paper 397 70 402 85 0.25516 0.513055 BG
paper 123 212 142 244 0.250297 0.701022 BG
paper 375 53 392 93 0.233967 0.486626 BG
paper 389 53 402 94 0.212979 0.540222 BG
paper 25 491 61 529 0.203734 0.454872 BG
paper 123 225 125 229 0.175715 0.778881 BG
paper 366 54 378 91 0.153764 0.503428 BG
paper 1 506 28 529 0.147155 0.189627 BG
paper 52 301 82 316 0.12739 0.691156 BG
paper 33 0 123 119 0.123192 0.263861 BG
paper 448 160 454 161 0.121804 0.725664 BG
paper 16 369 21 371 0.118218 0.451945 BG
paper 48 29 110 74 0.113756 0.670045 BG
paper 497 14 514 27 0.112858 0.653331 BG
paper 587 286 595 292 0.10897 0.796172 BG
paper 77 51 92 72 0.103341 0.630944 BG
paper 81 54 88 62 0.101627 0.697747 BG
paper 58 301 65 305 0.101428 0.744130 BG
paper 116 16 158 30 0.100857 0.828784 BG
box 31 3 160 122 0.685248 0.184696 BG
box 47 315 80 359 0.254172 0.584044 BG
box 366 51 378 90 0.252029 0.503428 BG
box 375 51 392 93 0.199987 0.486626 BG
box 77 51 92 73 0.182683 0.630944 BG
box 11 364 49 395 0.18024 0.377419 BG
box 389 51 402 94 0.177005 0.540222 BG
box 46 28 109 77 0.175984 0.670045 BG
box 48 45 59 58 0.163427 0.692749 BG
box 397 69 402 84 0.16295 0.513055 BG
box 8 325 52 425 0.156231 0.524976 BG
box 0 506 28 529 0.155407 0.189627 BG
box 399 65 401 68 0.150028 0.540666 BG
box 0 490 65 529 0.147489 0.366339 BG
box 107 191 158 284 0.143558 0.400775 BG
box 482 1 497 11 0.13956 0.395432 BG
box 51 300 83 317 0.135512 0.691156 BG
box 691 2 729 20 0.132732 0.331943 BG
box 457 2 517 31 0.131589 0.415540 BG
box 15 369 21 371 0.131129 0.451945 BG
box 81 54 88 62 0.128301 0.697747 BG
box 495 3 553 28 0.114233 0.398990 BG
box 42 378 49 387 0.11025 0.516513 BG
box 58 300 65 306 0.109923 0.744130 BG
box 532 161 533 161 0.105839 0.565733 BG
box 1 372 16 432 0.104317 0.395613 BG
box 330 137 337 153 0.101887 0.759813 BG
box 6 226 20 228 0.10088 0.696330 BG
person 652 85 725 285 0.798751 0.195890 person
person 650 139 726 198 0.512583 0.481896 BG
person 584 203 620 286 0.409476 0.536863 BG
person 610 203 628 281 0.380771 0.605238 BG
person 553 81 716 206 0.356555 0.640148 BG
person 646 242 670 276 0.34565 0.647802 BG
person 702 95 728 184 0.318443 0.655784 BG
person 672 164 705 184 0.265093 0.726807 BG
person 681 114 712 186 0.220392 0.779550 BG
person 701 141 716 182 0.196816 0.800930 BG
person 573 124 601 202 0.191257 0.778332 BG
person 626 89 723 150 0.177423 0.820404 BG
person 618 82 665 192 0.17427 0.807145 BG
person 575 142 576 148 0.170368 0.779751 BG
person 692 17 726 232 0.154527 0.838031 BG
person 719 132 729 143 0.147381 0.793422 BG
person 653 240 725 309 0.146959 0.714453 BG
person 652 138 672 199 0.135526 0.863072 BG
person 651 167 695 238 0.135295 0.858919 BG
person 664 175 671 182 0.134505 0.863894 BG
person 618 215 621 231 0.125436 0.871938 BG
person 640 229 642 233 0.118548 0.854569 BG
person 721 115 729 126 0.112632 0.788540 BG
person 669 143 686 172 0.106321 0.893561 BG
person 659 244 670 257 0.103651 0.894771 BG
person 562 132 575 175 0.101928 0.805648 BG
garbage_bin 46 301 66 348 0.113525 0.620290 BG
