bed 187 148 591 471 0.748368 0.242398 sofa_bed&&floor
chair 160 60 261 128 0.207781 0.668678 BG
chair 426 110 441 201 0.154905 0.789963 BG
chair 437 99 470 181 0.101856 0.859107 BG
sofa 216 109 261 132 0.228272 0.695021 BG
sofa 263 127 318 145 0.165856 0.763260 BG
sofa 161 129 260 159 0.141143 0.720026 BG
sofa 204 121 240 145 0.117774 0.832845 BG
bookshelf 86 53 261 122 0.106765 0.712231 BG
picture 282 1 329 15 0.288276 0.265932 BG
picture 240 7 330 28 0.178859 0.715706 BG
picture 468 5 475 8 0.170996 0.619330 BG
picture 698 5 729 56 0.16955 0.471221 BG
picture 35 1 128 17 0.14994 0.728319 BG
picture 646 1 729 17 0.143405 0.331857 BG
picture 718 233 729 239 0.12373 0.391288 BG
picture 706 3 729 16 0.115286 0.332140 BG
picture 395 2 632 37 0.114518 0.787832 BG
counter 72 116 211 146 0.252675 0.650262 BG
counter 87 70 182 139 0.151563 0.546759 BG
counter 111 94 271 153 0.111902 0.780486 BG
counter 92 90 124 138 0.105712 0.782865 BG
pillow 73 131 234 333 0.996897 0.003027 pillow
pillow 98 156 179 233 0.921997 0.077735 BG
pillow 12 142 147 296 0.86814 0.128710 pillow
pillow 210 289 291 403 0.713947 0.279512 BG
pillow 68 172 84 249 0.537844 0.456546 BG
pillow 155 203 206 303 0.364875 0.619184 BG
pillow 27 172 90 249 0.185904 0.763814 BG
pillow 125 170 160 198 0.168741 0.831154 BG
paper 186 363 229 456 0.414688 0.500625 BG
paper 519 65 540 110 0.343057 0.329174 BG
paper 613 21 637 139 0.295216 0.390969 BG
paper 186 362 209 383 0.205799 0.686469 BG
paper 463 113 501 119 0.202002 0.585221 BG
paper 583 8 655 145 0.187752 0.419966 BG
paper 232 446 235 449 0.150771 0.571032 BG
paper 91 107 92 113 0.14682 0.450290 BG
paper 37 146 38 148 0.142553 0.663439 BG
paper 197 446 235 465 0.138877 0.720686 BG
paper 523 56 533 77 0.136614 0.738345 BG
paper 94 113 100 116 0.12248 0.512057 BG
paper 107 109 115 113 0.117132 0.598198 BG
paper 683 85 729 134 0.115481 0.774431 BG
paper 527 27 575 136 0.11497 0.553850 BG
paper 206 358 220 366 0.111401 0.548408 BG
paper 222 473 236 500 0.107588 0.775011 BG
paper 516 140 523 154 0.106846 0.787579 BG
paper 720 83 729 93 0.105403 0.748334 BG
paper 352 112 357 113 0.104261 0.660725 BG
paper 235 445 237 450 0.103493 0.642606 BG
paper 237 480 239 494 0.102263 0.844103 BG
box 205 337 218 358 0.416058 0.571365 BG
box 208 350 210 355 0.389015 0.590486 BG
box 450 114 511 159 0.265819 0.521369 BG
box 517 47 555 118 0.260338 0.481472 BG
box 656 182 661 192 0.258076 0.713715 BG
box 205 357 220 366 0.234039 0.548408 BG
box 95 87 165 119 0.180109 0.552858 BG
box 644 2 729 17 0.176724 0.331857 BG
box 234 445 238 450 0.170492 0.642606 BG
box 135 92 158 99 0.163691 0.675818 BG
box 462 112 503 120 0.162007 0.585221 BG
box 490 116 502 120 0.160244 0.534130 BG
box 351 111 358 112 0.157799 0.660725 BG
box 231 446 236 449 0.154632 0.571032 BG
box 108 114 121 119 0.137035 0.698476 BG
box 281 1 328 15 0.134672 0.265932 BG
box 37 146 39 147 0.133156 0.663439 BG
box 645 171 656 183 0.127202 0.780812 BG
box 107 109 116 113 0.123567 0.598198 BG
box 296 112 332 132 0.122566 0.666356 BG
box 628 171 669 197 0.117846 0.855071 BG
box 91 107 93 113 0.117054 0.450290 BG
box 118 81 160 92 0.116934 0.737261 BG
box 705 3 729 16 0.116419 0.332140 BG
box 327 11 385 121 0.108439 0.815318 BG
box 294 111 320 115 0.103828 0.658240 BG
person 377 73 424 172 0.262756 0.723511 BG
lamp 136 22 221 66 0.330377 0.655917 BG
lamp 126 61 156 83 0.31099 0.648776 BG
lamp 118 60 159 117 0.197588 0.565356 BG
lamp 718 234 729 240 0.103284 0.391288 BG
garbage_bin 490 116 501 124 0.294816 0.470727 BG
