bed 4 113 480 523 0.998245 0.001624 bed
sofa 392 452 397 455 0.108049 0.192025 BG
table 1 526 70 529 0.111175 0.143452 BG
picture 305 86 324 105 0.100533 0.622506 BG
counter 298 90 332 146 0.112528 0.363703 BG
counter 381 406 436 449 0.107262 0.456548 BG
pillow 155 97 313 219 0.836124 0.159242 pillow
pillow 342 122 443 185 0.735637 0.261633 BG
pillow 269 111 468 219 0.572254 0.408899 BG
pillow 310 108 366 205 0.432647 0.561536 BG
pillow 330 157 349 179 0.14635 0.846482 BG
clothes 194 229 209 244 0.104173 0.773443 BG
paper 324 456 332 461 0.164875 0.486647 BG
paper 301 38 322 103 0.155171 0.482006 BG
paper 348 512 369 519 0.136809 0.299789 BG
paper 312 99 316 103 0.115628 0.544424 BG
paper 305 87 324 105 0.111921 0.622506 BG
paper 301 88 307 126 0.1096 0.457129 BG
paper 558 511 561 518 0.10893 0.458023 BG
paper 309 103 316 146 0.102744 0.487501 BG
paper 535 498 575 524 0.100773 0.548742 BG
box 544 474 550 489 0.571142 0.347588 BG
box 300 38 325 101 0.222216 0.482006 BG
box 535 495 575 523 0.215206 0.548742 BG
box 558 510 561 518 0.145532 0.458023 BG
box 347 511 375 518 0.117902 0.314894 BG
box 325 456 332 461 0.113136 0.486647 BG
box 3 526 68 529 0.101585 0.143452 BG
lamp 349 1 382 22 0.680876 0.286194 BG
lamp 349 2 382 94 0.385082 0.506569 BG
lamp 335 9 361 87 0.175911 0.631032 BG
garbage_bin 392 452 396 455 0.160349 0.192025 BG
garbage_bin 383 409 432 449 0.152775 0.456548 BG
