door 1 0 125 335 0.13817 0.629267 curtain
picture 140 1 160 35 0.2262 0.437951 BG
picture 1 1 52 53 0.124932 0.325903 BG
picture 17 92 20 95 0.102994 0.226960 BG
picture 288 308 312 321 0.102146 0.689817 BG
desk 70 303 560 426 0.628013 0.318499 desk
tv 131 1 143 16 0.276023 0.531088 BG
tv 138 2 160 36 0.224751 0.437951 BG
paper 164 315 248 355 0.635849 0.357139 books
paper 181 298 205 305 0.457783 0.536467 BG
paper 172 283 323 386 0.445626 0.549269 BG
paper 161 335 206 340 0.418825 0.504840 BG
paper 180 298 187 304 0.413495 0.582315 BG
paper 166 301 244 320 0.377629 0.615989 BG
paper 283 313 407 381 0.366889 0.626259 paper
paper 329 313 362 343 0.285608 0.704426 BG
paper 356 322 358 326 0.261855 0.733461 BG
paper 357 311 362 314 0.232634 0.686174 BG
paper 361 324 382 330 0.223144 0.768679 BG
paper 355 315 358 320 0.207959 0.747987 BG
paper 365 325 371 328 0.190976 0.808371 BG
paper 346 325 393 342 0.189163 0.809016 BG
paper 289 321 382 347 0.181445 0.816548 BG
paper 2 365 49 426 0.164889 0.351193 BG
paper 225 316 244 353 0.163784 0.835572 BG
paper 348 333 359 342 0.161749 0.838069 BG
paper 167 276 298 321 0.15637 0.780915 books
paper 194 301 271 338 0.154564 0.841334 BG
paper 288 313 298 321 0.153457 0.692525 BG
paper 176 337 190 339 0.15009 0.761882 BG
paper 373 324 382 327 0.147704 0.840632 BG
paper 17 92 19 95 0.147359 0.226960 BG
paper 356 315 406 331 0.146752 0.844832 BG
paper 242 321 285 337 0.14664 0.853138 BG
paper 317 322 345 343 0.144975 0.851617 BG
paper 451 380 452 383 0.14352 0.833925 BG
paper 319 302 362 319 0.140965 0.677219 BG
paper 454 374 458 378 0.140821 0.818586 BG
paper 441 379 465 398 0.13792 0.853763 BG
paper 372 328 380 331 0.137687 0.861477 BG
paper 449 380 456 389 0.130115 0.802634 BG
paper 112 255 126 270 0.122188 0.287847 BG
paper 329 338 341 350 0.117849 0.882115 BG
paper 287 308 312 321 0.111816 0.689817 BG
paper 358 338 374 349 0.110552 0.889378 BG
paper 289 324 297 326 0.10861 0.848929 BG
paper 205 337 223 339 0.106979 0.884440 BG
paper 215 340 226 344 0.105712 0.892321 BG
paper 241 312 331 348 0.105159 0.892328 BG
paper 291 320 295 324 0.104524 0.743095 BG
paper 542 395 560 406 0.104326 0.617659 BG
paper 1 47 32 81 0.103109 0.385701 BG
paper 245 335 285 337 0.102399 0.897569 BG
paper 208 391 239 426 0.101589 0.543467 BG
paper 186 336 192 337 0.101404 0.701230 BG
paper 75 406 80 414 0.100333 0.729027 BG
towel 113 239 127 271 0.16626 0.321996 BG
towel 128 188 134 198 0.145656 0.432471 BG
towel 125 177 146 189 0.139144 0.480977 BG
towel 64 208 79 223 0.125093 0.612141 BG
towel 104 211 127 227 0.122517 0.598494 BG
towel 99 272 127 320 0.111815 0.539079 BG
box 191 336 207 341 0.142979 0.741834 BG
box 186 335 192 338 0.126121 0.701230 BG
box 0 362 51 426 0.10054 0.351193 BG
lamp 291 286 291 291 0.110921 0.770555 BG
garbage_bin 15 320 41 383 0.169629 0.487052 BG
garbage_bin 16 93 20 95 0.10881 0.226960 BG
garbage_bin 15 256 70 288 0.101963 0.601600 BG
