cabinet 354 130 560 313 0.45299 0.381461 files
bed 344 111 560 418 0.119984 0.454200 desk
chair 7 157 154 362 0.979808 0.017957 chair
chair 213 142 314 285 0.837403 0.161435 chair
chair 317 190 430 422 0.667279 0.261757 BG
chair 153 133 276 337 0.248056 0.724637 BG
chair 173 245 242 268 0.176179 0.809219 BG
chair 447 419 465 426 0.121054 0.185667 BG
chair 200 151 249 194 0.105231 0.886196 BG
table 266 215 560 419 0.648722 0.034971 desk
table 48 173 306 360 0.243727 0.522658 BG
table 133 178 174 281 0.154074 0.793091 BG
table 167 191 318 284 0.151055 0.643608 BG
table 75 282 386 420 0.12317 0.838889 box
door 265 4 274 164 0.489797 0.405814 BG
door 339 7 373 226 0.35097 0.529262 BG
door 274 3 278 141 0.332954 0.581821 BG
door 281 8 364 221 0.215869 0.373359 door
door 342 139 351 190 0.206345 0.464920 BG
door 346 59 352 82 0.169703 0.548546 BG
door 345 84 348 125 0.149574 0.666122 BG
door 277 2 287 130 0.139395 0.386736 BG
door 275 129 281 151 0.116648 0.586558 BG
picture 124 0 224 39 0.998129 0.001870 picture
picture 1 1 23 36 0.971331 0.028067 picture
picture 426 0 513 35 0.941312 0.058116 picture
picture 441 40 485 72 0.90708 0.081514 picture
picture 498 2 503 27 0.752751 0.225100 BG
picture 129 0 138 40 0.72956 0.270242 BG
picture 473 94 488 123 0.63299 0.315957 BG
picture 437 77 498 122 0.56917 0.320376 BG
picture 480 94 507 110 0.393881 0.562312 BG
picture 460 95 473 99 0.369355 0.557738 BG
picture 444 33 487 39 0.368101 0.604534 BG
picture 493 97 500 102 0.323798 0.603084 BG
picture 484 2 493 6 0.309186 0.687897 BG
picture 474 94 479 97 0.261122 0.706995 BG
picture 474 96 488 105 0.249623 0.706999 BG
picture 381 1 402 36 0.220584 0.505554 BG
picture 480 94 497 97 0.194497 0.780239 BG
picture 436 77 472 98 0.193923 0.728611 BG
picture 534 3 560 91 0.193685 0.472094 BG
picture 453 48 465 76 0.193605 0.777029 BG
picture 378 36 381 47 0.183028 0.586454 BG
picture 536 74 560 76 0.181288 0.281684 BG
picture 498 21 500 26 0.179389 0.789833 BG
picture 534 74 560 94 0.162355 0.339196 BG
picture 431 5 504 133 0.159616 0.836096 BG
picture 446 94 466 130 0.118726 0.794260 BG
picture 521 73 559 133 0.101987 0.443535 BG
counter 499 144 560 155 0.530121 0.446356 BG
counter 357 115 560 154 0.492184 0.497984 BG
counter 366 124 560 221 0.331507 0.406806 counter
counter 493 123 560 151 0.20009 0.759153 bowl
blinds 276 3 319 161 0.885517 0.059049 BG
blinds 278 1 287 124 0.443529 0.386736 BG
blinds 275 129 281 149 0.224387 0.586558 BG
desk 303 182 560 400 0.665141 0.034529 desk&&files
desk 124 210 303 413 0.268169 0.216984 box
desk 162 167 263 284 0.150288 0.741308 BG
dresser 354 126 555 417 0.140116 0.269952 desk&&files
mirror 506 284 560 381 0.15391 0.648900 BG
mirror 341 138 351 193 0.115567 0.464920 BG
paper 530 110 530 116 0.493026 0.417218 BG
paper 530 77 560 124 0.282254 0.430922 BG
paper 472 225 480 232 0.278954 0.609558 BG
paper 258 402 263 404 0.26975 0.507823 BG
paper 536 89 560 94 0.237739 0.481127 BG
paper 194 193 196 195 0.219946 0.671244 BG
paper 534 73 560 94 0.207262 0.339196 BG
paper 61 0 95 11 0.200637 0.747280 picture
paper 554 323 558 327 0.182153 0.529391 BG
paper 536 73 560 76 0.178644 0.281684 BG
paper 445 394 452 398 0.170901 0.716434 BG
paper 464 400 467 404 0.165813 0.770604 BG
paper 253 405 259 407 0.163243 0.533386 BG
paper 485 198 487 201 0.16211 0.526699 BG
paper 416 401 466 426 0.159608 0.522006 BG
paper 278 391 283 392 0.157808 0.776743 BG
paper 449 400 513 426 0.152408 0.609520 BG
paper 415 199 428 209 0.144049 0.800973 BG
paper 439 385 446 392 0.138942 0.768369 BG
paper 521 122 546 126 0.132745 0.775446 BG
paper 382 0 401 34 0.129152 0.505554 BG
paper 415 192 424 199 0.122981 0.832966 BG
paper 464 229 481 243 0.119883 0.746467 BG
paper 550 303 560 320 0.108103 0.590215 BG
paper 154 182 211 208 0.100014 0.832933 BG
towel 389 199 491 404 0.115581 0.647748 BG
box 153 241 332 422 0.903344 0.054475 box
box 251 257 326 310 0.730592 0.252047 BG
box 189 373 214 420 0.650029 0.319334 BG
box 127 308 216 422 0.554106 0.403356 BG
box 165 293 228 351 0.449098 0.522002 BG
box 278 340 300 366 0.361724 0.494496 BG
box 175 346 233 424 0.345381 0.621671 BG
box 204 347 211 353 0.300129 0.695593 BG
box 273 280 282 285 0.287105 0.677795 BG
box 485 197 488 202 0.276823 0.526699 BG
box 186 357 212 380 0.246876 0.746756 BG
box 146 285 154 301 0.21546 0.760105 BG
box 253 226 362 353 0.195666 0.727921 BG
box 128 319 206 356 0.150847 0.813347 BG
box 163 362 168 378 0.135065 0.856482 BG
box 484 98 496 119 0.120426 0.689167 BG
box 294 307 308 319 0.119938 0.856827 BG
box 515 93 559 131 0.119926 0.574591 BG
box 262 401 264 403 0.116397 0.540554 BG
box 253 404 260 407 0.115262 0.533386 BG
box 494 96 508 120 0.110607 0.735168 BG
box 142 303 146 305 0.101484 0.854346 BG
garbage_bin 489 293 511 398 0.382174 0.597587 BG
garbage_bin 501 262 515 280 0.106479 0.811604 BG
