door 204 2 509 426 0.154299 0.291087 door
bookshelf 156 45 207 242 0.163739 0.612678 BG
bookshelf 166 59 185 83 0.119644 0.804951 BG
picture 187 1 252 21 0.125506 0.778101 BG
picture 97 31 100 35 0.123412 0.091352 BG
picture 233 338 237 341 0.118078 0.787008 BG
picture 159 123 194 186 0.117066 0.587332 BG
picture 158 160 171 183 0.106002 0.775118 BG
picture 262 337 275 349 0.104651 0.863060 BG
picture 0 297 31 351 0.104163 0.456769 BG
picture 248 339 260 362 0.101068 0.850336 BG
mirror 154 78 199 191 0.176786 0.569701 BG
mirror 157 121 194 160 0.15561 0.641062 BG
mirror 148 10 275 210 0.127693 0.700782 medicinecabinet
clothes 14 413 21 423 0.224939 0.376695 BG
clothes 0 257 45 423 0.189587 0.168720 clothes
clothes 9 409 16 415 0.179623 0.364656 BG
clothes 0 393 46 425 0.13991 0.117279 BG
clothes 0 378 18 411 0.117795 0.304157 BG
paper 470 240 471 242 0.230842 0.065375 BG
paper 458 213 462 220 0.206005 0.069134 BG
paper 452 217 458 220 0.204263 0.080128 BG
paper 466 369 466 370 0.187794 0.215349 BG
paper 97 31 99 34 0.175315 0.091352 BG
paper 427 317 430 323 0.173758 0.066502 BG
paper 127 417 139 426 0.159521 0.562431 BG
paper 384 32 390 38 0.115401 0.470498 BG
paper 26 265 39 274 0.109842 0.549868 BG
paper 275 253 278 258 0.100683 0.611290 BG
towel 0 285 44 425 0.404671 0.211106 clothes
towel 0 319 29 349 0.231342 0.580806 BG
towel 1 380 17 411 0.213826 0.304157 BG
towel 15 414 20 423 0.188026 0.376695 BG
towel 18 396 45 426 0.185381 0.294259 BG
towel 9 410 15 415 0.140974 0.364656 BG
towel 1 368 15 378 0.10232 0.213287 BG
box 246 192 251 197 0.31514 0.532443 BG
box 243 194 247 197 0.238713 0.664516 BG
box 470 239 472 242 0.137898 0.065375 BG
box 249 192 259 217 0.132038 0.776742 BG
box 97 32 100 35 0.121103 0.091352 BG
box 241 199 246 202 0.112075 0.816181 BG
box 466 369 467 370 0.111317 0.215349 BG
box 458 212 463 220 0.106995 0.069134 BG
box 452 216 459 220 0.101802 0.080128 BG
box 200 295 272 377 0.100926 0.811103 BG
toilet 135 224 208 417 0.99744 0.001349 toilet
toilet 126 231 153 245 0.248701 0.163516 BG
toilet 149 108 539 413 0.170252 0.421336 BG
toilet 15 131 202 400 0.154562 0.754206 BG
toilet 176 230 277 401 0.100907 0.839572 bathroomvanity
lamp 194 70 242 188 0.14665 0.590602 BG
bag 8 410 15 415 0.170807 0.364656 BG
bag 14 414 20 423 0.120986 0.376695 BG
bag 0 395 46 426 0.106922 0.117279 BG
garbage_bin 133 351 208 421 0.297512 0.624004 BG
garbage_bin 127 232 152 245 0.197129 0.163516 BG
garbage_bin 469 239 472 243 0.155276 0.065375 BG
garbage_bin 199 335 214 345 0.141124 0.821675 BG
garbage_bin 458 212 463 221 0.129006 0.069134 BG
garbage_bin 452 216 459 221 0.124351 0.080128 BG
garbage_bin 82 352 87 353 0.123973 0.268378 BG
garbage_bin 127 413 138 426 0.109579 0.525380 BG
garbage_bin 97 31 100 35 0.106868 0.091352 BG
