cabinet 36 18 177 199 0.762129 0.212461 cupboard
chair 207 416 216 422 0.22223 0.464624 BG
table 42 197 440 424 0.438087 0.339489 BG
table 206 416 215 422 0.106533 0.464624 BG
door 171 4 185 167 0.370577 0.497903 BG
door 495 3 557 115 0.151737 0.593707 BG
door 166 37 172 196 0.114534 0.695915 BG
door 8 3 164 157 0.111554 0.544557 BG
door 96 33 178 199 0.107135 0.447659 BG
door 172 63 174 120 0.102023 0.645816 BG
picture 274 3 370 112 0.659758 0.264367 BG
picture 182 132 205 171 0.293697 0.559724 BG
picture 187 64 256 117 0.207143 0.641208 microwave
picture 383 2 494 108 0.181108 0.535193 BG
picture 67 180 71 186 0.16118 0.725818 BG
picture 66 138 82 149 0.156695 0.712159 BG
picture 491 1 504 60 0.141491 0.377667 BG
picture 338 121 406 180 0.137749 0.549582 BG
picture 61 127 82 144 0.129996 0.821870 BG
picture 61 178 68 187 0.119209 0.820582 BG
picture 183 77 185 113 0.118996 0.704092 BG
picture 50 1 158 24 0.111079 0.581815 BG
picture 71 173 87 187 0.103559 0.759558 BG
counter 279 178 559 354 0.974422 0.012407 counter
counter 463 194 560 417 0.442467 0.157284 kitchen_counter
counter 254 182 360 212 0.339176 0.644725 BG
counter 0 190 348 291 0.198701 0.777142 BG
counter 213 190 218 192 0.122285 0.843454 BG
counter 250 161 363 271 0.116405 0.846281 BG
counter 175 152 560 247 0.112118 0.874387 BG
counter 308 173 361 191 0.10813 0.845208 BG
counter 181 170 394 190 0.105878 0.872355 BG
counter 433 169 502 420 0.102967 0.752615 BG
blinds 186 2 261 66 0.197016 0.755312 BG
blinds 498 5 557 144 0.162083 0.614404 BG
blinds 43 1 156 24 0.126164 0.581815 BG
desk 0 183 292 426 0.175083 0.388716 island
paper 10 398 17 426 0.229956 0.246456 BG
paper 558 209 560 213 0.122397 0.652467 BG
paper 550 209 552 212 0.111153 0.532614 BG
box 199 142 238 169 0.354561 0.504210 BG
box 242 73 255 108 0.341189 0.492225 BG
box 87 285 116 295 0.242952 0.749290 BG
box 102 294 111 301 0.194282 0.803752 BG
box 440 161 443 176 0.191119 0.718619 BG
box 10 397 18 426 0.183301 0.246456 BG
box 445 176 450 178 0.179858 0.761753 BG
box 234 110 254 115 0.17963 0.633472 BG
box 183 121 266 173 0.177937 0.743091 BG
box 9 174 15 188 0.169357 0.710576 BG
box 440 179 461 182 0.159997 0.786587 BG
box 189 74 259 126 0.15367 0.605332 microwave
box 102 288 120 303 0.137619 0.859674 BG
box 439 157 464 179 0.128836 0.814829 BG
box 239 142 245 148 0.121248 0.695909 BG
box 81 150 84 157 0.107783 0.502121 BG
box 242 141 247 163 0.104234 0.817484 BG
box 268 151 311 175 0.102982 0.741058 box
sink 463 180 549 410 0.358535 0.157284 kitchen_counter
sink 513 210 539 216 0.131697 0.768251 BG
sink 0 221 227 406 0.123657 0.399698 island
lamp 94 358 121 426 0.144264 0.771625 BG
