cabinet 443 135 560 269 0.149417 0.560185 night_stand
bed 0 92 479 423 0.999929 0.000067 bed
door 81 3 133 179 0.347593 0.448508 BG
bookshelf 11 18 99 220 0.901812 0.097147 BG
bookshelf 8 88 57 161 0.376511 0.613280 BG
bookshelf 4 89 23 154 0.276868 0.551994 BG
bookshelf 0 0 3 10 0.239416 0.575514 BG
bookshelf 2 0 47 18 0.174796 0.796412 BG
bookshelf 9 62 55 112 0.134932 0.843427 BG
picture 528 3 535 45 0.551504 0.311405 BG
picture 527 3 560 60 0.540229 0.290356 poster&&picture
picture 316 2 370 63 0.511682 0.461564 BG
picture 480 142 545 172 0.221942 0.761677 BG
picture 510 157 520 171 0.208031 0.745015 BG
picture 315 1 370 14 0.206526 0.443437 BG
picture 318 10 342 46 0.198762 0.787757 BG
picture 223 1 239 31 0.190131 0.678601 BG
picture 432 18 455 33 0.162269 0.589398 BG
picture 473 4 560 190 0.12496 0.850411 BG
picture 480 154 511 168 0.120541 0.877384 BG
picture 474 110 492 144 0.11894 0.461519 BG
dresser 441 78 557 313 0.129162 0.603665 BG
pillow 196 131 272 175 0.936241 0.063444 pillow
pillow 204 152 232 175 0.69072 0.309165 BG
pillow 191 121 366 191 0.596847 0.401949 BG
pillow 227 149 246 177 0.440603 0.559234 BG
pillow 198 143 219 166 0.365615 0.633810 BG
pillow 26 216 152 259 0.36422 0.617273 clothes
pillow 204 165 219 176 0.245912 0.753989 BG
pillow 248 127 288 174 0.215137 0.778786 BG
pillow 192 148 203 177 0.206994 0.791415 BG
pillow 48 236 115 260 0.195952 0.673771 BG
pillow 554 301 560 314 0.108538 0.343297 BG
mirror 473 109 492 145 0.167986 0.461519 BG
clothes 133 0 209 62 0.170925 0.768032 BG
clothes 241 7 317 95 0.137197 0.677322 BG
tv 447 1 452 3 0.158456 0.759045 BG
paper 535 168 550 175 0.371369 0.548652 BG
paper 532 285 560 297 0.26197 0.529102 BG
paper 28 174 53 186 0.231195 0.482820 BG
paper 520 353 560 426 0.226111 0.309407 BG
paper 38 174 52 177 0.190773 0.607860 BG
paper 481 390 495 399 0.179298 0.260460 BG
paper 108 142 124 172 0.148222 0.537707 BG
paper 541 159 560 185 0.129046 0.563554 BG
paper 555 302 560 315 0.122558 0.343297 BG
paper 170 166 177 173 0.118481 0.562172 BG
paper 512 286 560 313 0.111785 0.689674 BG
paper 107 135 113 148 0.109375 0.682233 BG
paper 100 173 128 211 0.101357 0.516181 BG
paper 103 193 109 197 0.100571 0.528700 BG
box 103 192 110 197 0.278869 0.528700 BG
box 23 154 66 187 0.245557 0.602641 BG
box 28 173 53 186 0.181332 0.482820 BG
box 125 150 178 166 0.175265 0.640370 BG
box 122 117 179 173 0.13708 0.640016 clothes
box 38 173 51 177 0.131498 0.607860 BG
box 530 284 560 297 0.121907 0.529102 BG
box 509 282 560 313 0.117227 0.689674 BG
box 99 169 130 210 0.115934 0.516181 BG
box 520 347 560 425 0.107237 0.309407 BG
box 169 165 177 174 0.105415 0.562172 BG
person 545 150 553 160 0.105568 0.469490 BG
garbage_bin 480 389 495 399 0.196 0.260460 BG
