bed 22 56 470 426 0.905348 0.076206 mattress
picture 35 384 45 391 0.109988 0.074640 BG
blinds 435 58 553 200 0.707383 0.243482 blinds
blinds 436 182 485 204 0.355171 0.555143 BG
blinds 441 160 494 176 0.25179 0.650423 BG
blinds 434 171 481 181 0.195241 0.657256 BG
blinds 442 185 463 192 0.13181 0.744818 BG
blinds 435 178 481 186 0.131665 0.673137 BG
blinds 435 184 441 191 0.126178 0.759406 BG
pillow 263 318 269 328 0.119803 0.527602 BG
pillow 259 308 267 322 0.119551 0.754375 BG
pillow 242 318 261 342 0.115482 0.678643 BG
pillow 3 21 83 147 0.1095 0.694551 BG
clothes 525 233 553 272 0.337149 0.282108 BG
clothes 540 272 544 277 0.320088 0.412335 BG
clothes 533 272 534 276 0.289876 0.532279 BG
clothes 522 251 560 295 0.280477 0.392141 BG
clothes 527 262 535 272 0.238374 0.511703 BG
clothes 505 195 560 311 0.222015 0.641296 clothes
clothes 544 256 549 264 0.184436 0.472339 BG
clothes 546 263 549 270 0.182638 0.504535 BG
clothes 546 268 548 270 0.163969 0.568981 BG
clothes 528 269 544 290 0.15284 0.678487 BG
clothes 549 254 555 270 0.151163 0.343500 BG
clothes 547 244 549 246 0.149862 0.411953 BG
clothes 532 240 545 255 0.144243 0.657519 BG
clothes 527 248 532 255 0.109612 0.722651 BG
clothes 521 263 528 271 0.100649 0.780324 BG
paper 425 219 432 228 0.292573 0.632464 BG
paper 407 217 426 222 0.276351 0.622115 BG
paper 538 0 555 5 0.273142 0.345367 BG
paper 435 85 437 89 0.262564 0.501863 BG
paper 435 90 438 93 0.259746 0.531189 BG
paper 215 403 221 413 0.252526 0.289407 BG
paper 207 394 210 410 0.251712 0.254694 BG
paper 158 399 160 408 0.24965 0.223538 BG
paper 361 406 366 410 0.238336 0.626422 BG
paper 211 389 215 402 0.220667 0.151067 BG
paper 212 377 224 402 0.218736 0.118629 BG
paper 3 144 10 145 0.217098 0.292833 BG
paper 206 383 211 393 0.208951 0.124756 BG
paper 211 389 224 426 0.206139 0.120508 BG
paper 433 398 437 406 0.204735 0.481048 BG
paper 172 394 176 399 0.203676 0.144173 BG
paper 373 407 381 415 0.202582 0.424279 BG
paper 360 409 367 426 0.202511 0.311462 BG
paper 339 409 364 426 0.19261 0.470975 BG
paper 435 94 438 96 0.188964 0.573992 BG
paper 553 309 560 318 0.175572 0.451165 BG
paper 434 210 439 213 0.173419 0.793240 BG
paper 430 405 434 417 0.172032 0.220983 BG
paper 352 409 356 413 0.171732 0.776200 BG
paper 433 61 439 142 0.17041 0.671372 BG
paper 1 145 26 163 0.156677 0.280918 BG
paper 217 414 224 426 0.149368 0.184255 BG
paper 434 90 438 110 0.14676 0.637388 BG
paper 340 413 346 417 0.144111 0.790885 BG
paper 34 387 43 397 0.143517 0.068123 BG
paper 434 205 449 219 0.138956 0.784630 BG
paper 547 291 560 300 0.138475 0.315135 BG
paper 537 309 543 316 0.137271 0.801266 BG
paper 382 411 391 426 0.136746 0.259402 BG
paper 347 411 349 414 0.133876 0.837209 BG
paper 435 64 439 90 0.133609 0.809188 BG
paper 132 116 142 136 0.133522 0.062860 BG
paper 531 313 538 317 0.132948 0.833358 BG
paper 282 318 287 340 0.127589 0.057539 BG
paper 396 417 398 422 0.12513 0.549268 BG
paper 1 162 6 166 0.124032 0.575085 BG
paper 1 400 3 408 0.120299 0.283401 BG
paper 548 298 560 311 0.119868 0.551958 BG
paper 25 367 58 387 0.116287 0.073955 BG
paper 16 75 25 82 0.11527 0.039319 BG
paper 31 382 34 382 0.113513 0.180885 BG
paper 379 92 384 96 0.110848 0.664661 BG
paper 12 222 20 225 0.110162 0.395844 BG
paper 537 309 540 312 0.106271 0.829325 BG
paper 547 313 548 314 0.104989 0.771293 BG
paper 224 221 239 236 0.103464 0.114161 BG
paper 508 326 516 333 0.102928 0.850128 BG
towel 359 112 364 119 0.259733 0.511821 BG
towel 529 255 543 272 0.170161 0.312837 BG
towel 528 237 551 273 0.127733 0.282108 BG
towel 367 315 390 329 0.119752 0.631651 BG
towel 338 54 393 144 0.118707 0.758843 BG
towel 528 249 531 255 0.110261 0.722651 BG
towel 528 263 534 272 0.107995 0.511703 BG
box 547 290 560 300 0.294905 0.315135 BG
box 207 394 211 410 0.219419 0.254694 BG
box 215 403 222 413 0.217251 0.289407 BG
box 405 265 417 290 0.203889 0.721526 BG
box 436 269 469 288 0.199569 0.624013 BG
box 158 399 161 408 0.199471 0.223538 BG
box 172 393 177 399 0.188729 0.144173 BG
box 211 389 216 402 0.186217 0.151067 BG
box 417 274 419 276 0.184811 0.764962 BG
box 551 284 556 291 0.180604 0.484932 BG
box 211 388 225 426 0.173348 0.120508 BG
box 206 383 212 393 0.172035 0.124756 BG
box 1 400 2 408 0.171344 0.283401 BG
box 35 387 44 397 0.168513 0.068123 BG
box 213 376 225 402 0.16151 0.118629 BG
box 537 0 555 4 0.160889 0.345367 BG
box 548 296 560 311 0.158541 0.551958 BG
box 416 275 423 288 0.148818 0.766818 BG
box 31 382 34 382 0.145055 0.180885 BG
box 217 414 224 426 0.141532 0.184255 BG
box 422 415 428 426 0.128429 0.213209 BG
box 35 383 45 390 0.127696 0.074640 BG
