cabinet 237 154 308 297 0.333138 0.404998 picture
bed 349 136 548 336 0.440876 0.128064 bed
chair 211 246 345 422 0.995711 0.004180 chair
chair 0 407 107 426 0.378739 0.520384 BG
chair 264 258 344 332 0.233448 0.760249 BG
chair 12 214 227 422 0.214033 0.433399 table
chair 219 289 278 404 0.1261 0.871419 BG
sofa 333 150 540 325 0.578765 0.089312 bed
table 20 179 278 424 0.954024 0.028489 table
table 35 286 260 349 0.100493 0.878186 BG
bookshelf 207 8 241 197 0.797442 0.200886 BG
bookshelf 144 13 233 220 0.224172 0.737054 bookshelf
bookshelf 221 43 238 57 0.16174 0.827219 BG
bookshelf 208 13 294 330 0.14304 0.849829 BG
bookshelf 207 53 237 66 0.141622 0.854777 BG
picture 225 4 238 16 0.544439 0.405046 BG
picture 216 1 234 12 0.524629 0.453598 BG
picture 208 1 218 9 0.385853 0.544395 BG
picture 225 10 231 13 0.137641 0.790194 BG
picture 215 8 223 12 0.121198 0.811373 BG
counter 265 209 560 328 0.125277 0.658411 bed
desk 31 227 312 426 0.462316 0.013904 table
pillow 408 125 480 186 0.932067 0.056176 pillow
pillow 409 173 463 185 0.389557 0.608523 BG
pillow 441 313 442 317 0.142688 0.822779 BG
pillow 395 156 426 177 0.133049 0.852768 BG
pillow 470 315 481 321 0.116433 0.763753 BG
paper 126 267 207 310 0.678718 0.282549 BG
paper 132 272 180 282 0.627022 0.358317 BG
paper 162 269 165 273 0.470911 0.526441 BG
paper 199 254 243 285 0.470696 0.492905 BG
paper 123 255 167 281 0.422003 0.561208 BG
paper 178 252 189 260 0.33303 0.658707 BG
paper 137 224 242 300 0.284646 0.699617 paper
paper 132 272 139 282 0.243862 0.671968 BG
paper 235 91 241 113 0.239605 0.269547 BG
paper 123 268 145 309 0.229713 0.697861 BG
paper 240 183 242 187 0.16975 0.413372 BG
paper 177 243 189 252 0.166119 0.831033 BG
paper 150 201 182 217 0.140665 0.857516 BG
paper 122 257 138 269 0.131736 0.770250 BG
paper 238 195 245 200 0.121814 0.501509 BG
paper 128 245 144 269 0.118657 0.863782 BG
paper 555 325 560 327 0.106788 0.406002 BG
paper 223 13 237 23 0.106781 0.698813 BG
paper 55 255 234 323 0.102672 0.885531 BG
paper 209 420 209 426 0.101944 0.213676 BG
paper 129 272 140 295 0.101931 0.762403 BG
towel 176 17 191 48 0.194029 0.296907 BG
box 240 182 243 187 0.221698 0.413372 BG
box 235 90 241 113 0.19678 0.269547 BG
box 238 195 245 200 0.180981 0.501509 BG
box 230 198 239 202 0.163783 0.565025 BG
box 134 286 244 310 0.141578 0.497982 BG
box 89 357 158 426 0.132461 0.519645 BG
box 207 287 239 309 0.112617 0.641516 BG
box 226 280 235 291 0.105686 0.660760 BG
box 236 295 239 299 0.103763 0.783593 BG
box 126 245 290 311 0.101706 0.512780 paper
person 160 415 195 426 0.243559 0.287868 BG
person 176 378 210 426 0.105726 0.580215 BG
lamp 12 121 149 312 0.998014 0.001532 lamp
lamp 104 195 149 221 0.230815 0.765693 BG
lamp 19 301 89 414 0.110733 0.871086 BG
bag 156 381 207 426 0.158267 0.523559 BG
bag 157 415 194 426 0.121792 0.287868 BG
