cabinet 199 129 512 411 0.532252 0.296656 drawer&&bookshelf
sofa 540 0 560 12 0.173378 0.179161 BG
sofa 515 2 559 46 0.14891 0.176144 BG
sofa 526 0 543 12 0.126798 0.209366 BG
door 115 158 148 210 0.171804 0.265728 BG
bookshelf 218 0 494 370 0.404043 0.461532 bookshelf&&bookshelf
bookshelf 407 6 501 231 0.247878 0.734030 BG
bookshelf 142 82 197 322 0.193847 0.695718 BG
bookshelf 172 178 190 194 0.164602 0.791347 BG
bookshelf 142 149 191 189 0.100185 0.849098 BG
picture 145 259 195 313 0.705684 0.244583 BG
picture 147 103 187 148 0.404181 0.573602 BG
picture 173 302 189 310 0.284148 0.645729 BG
picture 8 1 33 5 0.214878 0.384791 BG
picture 225 113 248 126 0.209344 0.760640 BG
picture 16 1 146 16 0.203639 0.343932 BG
picture 397 1 422 18 0.199094 0.438315 BG
picture 193 266 206 302 0.158439 0.603953 BG
picture 512 1 528 13 0.145469 0.349638 BG
picture 447 2 494 36 0.143109 0.782708 BG
picture 458 180 462 186 0.140522 0.435679 BG
picture 446 258 457 287 0.139339 0.544485 BG
picture 185 126 193 141 0.123479 0.712650 BG
picture 439 156 461 190 0.11705 0.762394 BG
picture 513 2 560 49 0.113194 0.159038 BG
picture 141 1 147 14 0.107144 0.467621 BG
picture 492 9 495 17 0.10484 0.579516 BG
picture 528 1 544 13 0.103348 0.209366 BG
picture 191 271 199 286 0.102159 0.530988 BG
counter 232 253 360 282 0.225574 0.753082 BG
blinds 1 0 109 294 0.730142 0.203187 BG
blinds 67 191 104 223 0.165605 0.660404 BG
blinds 2 286 54 310 0.157971 0.785710 BG
dresser 200 249 482 409 0.57871 0.080406 drawer
mirror 394 1 421 18 0.103614 0.438315 BG
clothes 471 364 524 414 0.244636 0.466951 garbage_bin
paper 545 380 547 384 0.238167 0.358118 BG
paper 550 392 556 396 0.234241 0.416091 BG
paper 535 354 544 366 0.223559 0.251707 BG
paper 519 13 560 49 0.201328 0.136789 BG
paper 527 271 543 288 0.201231 0.102230 BG
paper 80 383 143 426 0.191444 0.342103 BG
paper 365 105 368 110 0.182985 0.782309 BG
paper 544 98 560 116 0.178108 0.205645 BG
paper 143 365 238 426 0.177841 0.276344 BG
paper 253 367 328 426 0.168994 0.519016 BG
paper 408 89 451 112 0.167305 0.583138 BG
paper 6 0 31 5 0.163255 0.384791 BG
paper 120 375 171 426 0.162369 0.408204 BG
paper 1 388 7 392 0.159515 0.407761 BG
paper 300 399 386 426 0.154481 0.243155 BG
paper 545 144 554 147 0.153097 0.174319 BG
paper 159 398 207 426 0.152879 0.272452 BG
paper 556 142 560 147 0.152166 0.134664 BG
paper 142 399 162 426 0.151055 0.276342 BG
paper 423 405 434 414 0.147256 0.346768 BG
paper 416 390 434 426 0.147097 0.299673 BG
paper 4 320 92 426 0.143981 0.333290 BG
paper 438 249 448 280 0.140866 0.531117 BG
paper 415 398 424 408 0.140039 0.697774 BG
paper 526 381 560 426 0.139239 0.555633 BG
paper 349 105 360 111 0.134843 0.815725 BG
paper 430 363 435 367 0.119836 0.410769 BG
paper 156 372 179 399 0.11597 0.694613 BG
paper 206 356 258 426 0.114582 0.525130 BG
paper 3 413 66 426 0.114327 0.307919 BG
paper 77 272 83 281 0.112103 0.665792 BG
paper 299 351 334 361 0.106194 0.824711 BG
paper 529 352 540 355 0.104216 0.427604 BG
paper 302 314 309 315 0.103662 0.857008 BG
paper 459 181 462 186 0.101415 0.435679 BG
paper 89 389 111 405 0.101276 0.788007 BG
paper 336 359 436 426 0.100255 0.526732 BG
box 0 388 6 393 0.335181 0.407761 BG
box 407 89 463 113 0.250756 0.578140 BG
box 340 80 343 85 0.226695 0.743514 BG
box 5 305 97 425 0.217182 0.333290 BG
box 323 48 346 80 0.184632 0.773599 BG
box 0 412 68 426 0.167128 0.307919 BG
box 141 394 206 426 0.153709 0.261314 BG
box 141 397 161 426 0.141753 0.276342 BG
box 0 375 14 384 0.139043 0.660396 BG
box 424 404 434 414 0.12711 0.346768 BG
box 519 12 559 49 0.123538 0.136789 BG
box 119 380 144 426 0.116086 0.367058 BG
box 79 395 131 426 0.114842 0.247158 BG
box 544 97 560 116 0.111778 0.205645 BG
box 298 397 385 426 0.111053 0.243155 BG
box 141 1 147 14 0.1093 0.467621 BG
box 512 271 544 288 0.106006 0.123869 BG
box 416 387 434 426 0.105707 0.299673 BG
night_stand 223 258 473 422 0.152778 0.300173 drawer
lamp 489 38 500 49 0.212098 0.582107 BG
lamp 178 103 194 112 0.178992 0.669234 BG
lamp 529 351 539 355 0.156921 0.427604 BG
lamp 529 353 543 366 0.146642 0.390871 BG
lamp 480 33 488 43 0.12348 0.736767 BG
lamp 183 315 205 329 0.116414 0.516681 BG
lamp 446 257 457 288 0.100601 0.544485 BG
lamp 511 351 513 353 0.100289 0.754525 BG
bag 468 365 527 426 0.157525 0.280312 garbage_bin
garbage_bin 429 389 480 426 0.294271 0.545895 BG
garbage_bin 465 365 529 426 0.166953 0.280312 garbage_bin
garbage_bin 436 367 470 404 0.154743 0.810346 BG
garbage_bin 268 291 495 421 0.146415 0.603903 drawer
garbage_bin 512 271 544 289 0.135388 0.123869 BG
garbage_bin 203 350 258 426 0.120787 0.525130 BG
garbage_bin 463 373 469 384 0.118951 0.865635 BG
garbage_bin 497 275 532 319 0.106632 0.360492 BG
garbage_bin 545 141 560 148 0.100815 0.150711 BG
garbage_bin 294 399 386 426 0.10023 0.243155 BG
