cabinet 102 76 315 210 0.143837 0.633192 fire_place
bed 368 273 560 424 0.468756 0.429635 sofa&&pillow
chair 310 213 549 421 0.575307 0.103524 sofa
chair 31 170 167 416 0.347029 0.629113 BG
chair 428 280 530 324 0.337209 0.589270 BG
chair 491 300 540 330 0.29825 0.675790 BG
chair 438 186 543 329 0.255282 0.498431 BG
chair 313 149 397 231 0.215158 0.732955 BG
chair 402 203 430 241 0.188877 0.805304 BG
chair 352 178 358 196 0.179633 0.812077 BG
chair 360 171 402 200 0.17504 0.818112 BG
chair 1 239 25 307 0.173499 0.301970 BG
chair 366 161 436 228 0.171326 0.801636 BG
chair 491 281 494 286 0.165499 0.809681 BG
chair 92 186 338 408 0.163602 0.536288 BG
chair 216 268 371 426 0.161341 0.351548 BG
chair 338 192 398 217 0.144106 0.822656 BG
chair 468 249 511 295 0.142005 0.832520 BG
chair 402 204 414 224 0.132477 0.865490 BG
chair 341 288 365 323 0.115534 0.883235 BG
chair 337 148 345 153 0.105418 0.792229 BG
sofa 325 134 554 405 0.914048 0.030261 sofa
sofa 67 152 374 396 0.312962 0.530149 BG
sofa 432 192 559 299 0.258932 0.566307 BG
sofa 335 132 560 212 0.250479 0.722423 BG
sofa 553 174 560 204 0.177789 0.577155 BG
table 153 200 533 410 0.84209 0.022391 table
table 294 143 373 226 0.623203 0.258116 BG
table 403 192 541 329 0.121197 0.577304 BG
door 7 5 58 191 0.277368 0.439305 BG
bookshelf 431 69 560 131 0.169063 0.606721 BG
picture 421 2 466 45 0.800303 0.163546 BG
picture 460 2 487 53 0.725228 0.237795 BG
picture 5 2 45 33 0.523012 0.199276 curtain
picture 131 13 321 129 0.437304 0.516845 BG
picture 254 36 291 81 0.394173 0.557308 picture
picture 189 33 292 89 0.31353 0.569579 BG
picture 185 30 215 65 0.310396 0.604791 picture
picture 284 27 287 57 0.263541 0.391311 BG
picture 109 62 171 91 0.233966 0.566266 BG
picture 458 32 478 47 0.223059 0.749536 BG
picture 240 5 286 54 0.175626 0.800144 BG
picture 110 34 217 93 0.123448 0.793945 BG
picture 213 61 258 84 0.121411 0.734969 BG
picture 475 2 547 64 0.103921 0.708255 BG
picture 162 58 217 87 0.102295 0.695960 picture
counter 204 218 559 422 0.221228 0.102368 table
counter 543 87 560 95 0.174394 0.636075 BG
counter 556 80 560 86 0.15223 0.488612 BG
counter 544 93 555 95 0.133708 0.611347 BG
counter 531 80 558 84 0.111276 0.759771 BG
desk 146 182 398 416 0.314705 0.150573 table
desk 429 93 560 144 0.297532 0.580161 BG
pillow 478 143 555 200 0.731953 0.262435 BG
pillow 435 122 523 174 0.386797 0.576828 BG
pillow 512 176 552 193 0.384054 0.613315 BG
pillow 554 176 560 199 0.161821 0.577155 BG
pillow 367 112 419 128 0.154888 0.761151 BG
pillow 293 201 385 224 0.153956 0.764609 paper
pillow 333 216 335 221 0.120527 0.840293 BG
pillow 457 152 505 175 0.102715 0.882900 BG
clothes 506 165 509 168 0.100801 0.631259 BG
tv 147 139 274 228 0.339472 0.566589 BG
tv 1 2 43 24 0.132283 0.263990 curtain
paper 217 256 317 293 0.784369 0.201409 BG
paper 463 190 506 207 0.783984 0.209401 BG
paper 205 249 287 269 0.384148 0.605302 BG
paper 225 284 235 292 0.353062 0.595263 BG
paper 285 248 325 281 0.344354 0.567595 BG
paper 175 382 229 426 0.344285 0.318431 BG
paper 289 249 307 269 0.316159 0.591162 BG
paper 300 260 304 264 0.301276 0.621097 BG
paper 206 208 380 294 0.291586 0.679166 BG
paper 212 281 235 301 0.275917 0.662815 BG
paper 290 263 291 265 0.264478 0.671275 BG
paper 529 134 538 139 0.234133 0.678390 BG
paper 554 336 560 339 0.219539 0.522373 BG
paper 284 26 288 57 0.21586 0.391311 BG
paper 254 218 308 270 0.201154 0.740967 BG
paper 176 415 229 426 0.196712 0.245880 BG
paper 450 199 484 216 0.186197 0.807545 BG
paper 106 46 126 63 0.18117 0.645245 picture
paper 74 143 80 180 0.179564 0.284732 BG
paper 192 236 226 257 0.162803 0.747398 paper
paper 14 338 101 426 0.160927 0.414126 BG
paper 196 250 204 256 0.149595 0.746381 BG
paper 384 413 402 426 0.146772 0.220948 BG
paper 199 385 201 387 0.145683 0.751838 BG
paper 189 241 191 245 0.143192 0.765495 BG
paper 192 245 199 253 0.127934 0.810985 BG
paper 285 26 287 35 0.118531 0.461929 BG
paper 108 58 219 92 0.116919 0.630758 BG
paper 349 372 403 425 0.115713 0.513339 BG
paper 533 140 559 151 0.115504 0.743799 BG
paper 54 338 55 339 0.111915 0.766319 BG
paper 214 382 229 415 0.107219 0.852795 BG
paper 1 359 30 426 0.102528 0.450017 BG
box 73 143 79 168 0.407111 0.270911 BG
box 63 83 143 191 0.382631 0.434073 BG
box 101 137 105 143 0.375146 0.419937 BG
box 113 91 136 96 0.342366 0.504824 BG
box 134 88 160 94 0.323373 0.524774 BG
box 45 21 46 24 0.302454 0.284195 BG
box 43 13 46 21 0.219928 0.307700 BG
box 1 352 30 425 0.182075 0.450017 BG
box 163 87 188 91 0.152822 0.734210 BG
box 526 127 560 140 0.144513 0.679503 BG
box 105 46 129 63 0.13963 0.645245 picture
box 283 27 288 41 0.130857 0.392829 BG
box 173 377 229 426 0.120715 0.318431 BG
box 384 412 403 426 0.110627 0.220948 BG
person 1 232 23 300 0.207158 0.301970 BG
lamp 336 8 373 146 0.425171 0.544890 BG
lamp 321 127 337 136 0.165623 0.706014 BG
lamp 293 0 366 198 0.143742 0.826553 BG
lamp 353 9 423 111 0.107724 0.791128 BG
bag 506 166 509 167 0.191352 0.631259 BG
garbage_bin 10 334 94 426 0.229401 0.373451 BG
garbage_bin 21 267 42 296 0.193762 0.803567 BG
garbage_bin 0 355 30 425 0.160395 0.450017 BG
