chair 404 374 559 440 0.110856 0.755107 paper_shredder
sofa 431 319 492 350 0.102784 0.306745 BG
bookshelf 299 13 478 316 0.448906 0.491839 bookshelf&&shelves
bookshelf 301 67 487 149 0.109706 0.860277 BG
picture 97 19 551 385 0.678137 0.111718 file_cabinet
picture 459 121 470 152 0.229724 0.624781 BG
picture 531 2 590 124 0.132429 0.708986 BG
fridge 154 47 547 440 0.106178 0.696978 file_cabinet
paper 260 127 282 140 0.404094 0.461459 BG
paper 322 218 372 241 0.228136 0.283852 BG
paper 43 221 77 226 0.165064 0.758556 BG
paper 571 240 574 261 0.147918 0.278508 BG
paper 350 421 355 426 0.140507 0.376788 BG
paper 59 221 78 246 0.13866 0.729305 BG
paper 575 305 590 437 0.118795 0.587886 BG
paper 572 257 590 307 0.114641 0.237900 BG
paper 579 400 590 440 0.111969 0.220379 BG
paper 272 416 285 440 0.109738 0.281733 BG
paper 188 388 257 440 0.107874 0.376442 BG
paper 371 399 383 440 0.104678 0.521400 BG
paper 379 155 383 163 0.10374 0.834488 BG
paper 140 439 148 440 0.103407 0.271427 BG
paper 121 421 144 438 0.100663 0.517944 BG
box 436 319 489 351 0.153027 0.306745 BG
box 379 112 479 170 0.14611 0.721717 BG
box 321 216 370 241 0.11533 0.283852 BG
box 349 421 355 426 0.107449 0.376788 BG
box 579 397 590 440 0.105684 0.220379 BG
box 256 126 286 161 0.102267 0.704938 BG
whiteboard 26 13 334 269 0.412708 0.553130 BG
whiteboard 67 203 102 215 0.164389 0.716319 BG
whiteboard 2 204 103 225 0.147438 0.789751 BG
garbage_bin 570 240 575 261 0.12723 0.278508 BG
