cabinet 202 4 453 294 0.313944 0.607652 file_cabinet
bed 263 210 590 440 0.899925 0.083363 BG
bed 8 170 159 440 0.155085 0.739724 BG
sofa 157 220 587 440 0.166226 0.385117 floor
door 541 4 585 150 0.104921 0.597080 BG
picture 477 1 503 28 0.269529 0.552961 BG
picture 1 86 25 170 0.148851 0.521936 BG
picture 1 125 18 132 0.117568 0.576426 BG
pillow 530 148 589 195 0.119956 0.663159 BG
mirror 0 71 39 244 0.108382 0.278776 BG
clothes 157 225 166 232 0.150692 0.762860 BG
clothes 149 226 154 236 0.108328 0.837344 BG
clothes 132 208 165 232 0.102706 0.758015 BG
tv 551 0 590 5 0.614902 0.240228 BG
tv 2 84 37 235 0.117197 0.278776 BG
paper 1 123 24 165 0.235778 0.418891 BG
paper 1 162 8 164 0.233022 0.333117 BG
paper 1 265 15 277 0.211569 0.628239 BG
paper 308 423 311 427 0.188261 0.386931 BG
paper 1 124 18 132 0.17777 0.576426 BG
paper 572 301 577 304 0.150045 0.456140 BG
paper 1 178 15 190 0.108708 0.205069 BG
paper 575 303 590 314 0.105081 0.396197 BG
paper 587 101 590 146 0.101882 0.314957 BG
paper 1 83 17 127 0.101602 0.483955 BG
box 30 176 37 190 0.426403 0.557725 BG
box 307 423 311 427 0.194446 0.386931 BG
box 2 156 36 208 0.166532 0.242270 BG
box 572 301 577 304 0.134484 0.456140 BG
box 14 154 143 226 0.133994 0.651581 BG
box 395 1 482 16 0.119561 0.692164 BG
box 408 205 435 221 0.113871 0.818349 BG
box 297 422 319 440 0.108179 0.329172 BG
box 575 302 590 315 0.107009 0.396197 BG
box 263 377 310 440 0.103063 0.730289 BG
whiteboard 1 177 15 191 0.210938 0.205069 BG
whiteboard 3 124 35 236 0.136256 0.277680 BG
whiteboard 17 76 148 220 0.118318 0.609935 BG
bag 191 239 237 304 0.144991 0.734303 BG
garbage_bin 128 255 272 408 0.39577 0.598114 garbage_bin
garbage_bin 236 266 254 283 0.150367 0.837905 BG
garbage_bin 121 328 147 376 0.107295 0.883950 BG
garbage_bin 218 270 267 371 0.105757 0.892789 BG
