cabinet 163 23 327 214 0.117164 0.830963 tree
bed 272 209 583 440 0.904268 0.085326 floor
chair 42 201 275 421 0.993633 0.004321 chair
chair 260 164 380 294 0.951772 0.044195 chair
chair 268 174 295 298 0.42907 0.563017 BG
chair 199 209 284 312 0.410451 0.477946 table
chair 259 154 341 222 0.283274 0.566066 BG
chair 344 183 521 269 0.226292 0.713100 BG
chair 226 274 270 335 0.16949 0.809669 BG
chair 276 149 282 164 0.143013 0.702244 BG
chair 261 162 292 206 0.132463 0.817554 BG
chair 295 145 302 162 0.127256 0.751285 BG
sofa 269 145 343 300 0.106757 0.342821 BG
table 148 201 285 303 0.595386 0.324631 table
door 469 1 544 251 0.148825 0.722724 BG
door 556 6 589 187 0.11605 0.763963 BG
picture 555 183 590 220 0.663906 0.302701 BG
picture 417 128 423 137 0.209075 0.667429 BG
picture 155 2 167 21 0.201498 0.636083 BG
picture 557 18 589 208 0.176634 0.673474 BG
picture 405 111 421 152 0.167446 0.652860 BG
picture 434 87 448 94 0.161267 0.642437 BG
picture 376 139 465 211 0.148681 0.730552 BG
picture 379 16 452 160 0.143477 0.717023 BG
picture 438 111 452 127 0.137431 0.763348 BG
picture 379 81 384 85 0.125902 0.819399 BG
pillow 466 253 480 269 0.110793 0.844350 BG
mirror 122 68 176 253 0.107456 0.615607 BG
paper 443 94 462 119 0.172624 0.621558 BG
paper 212 186 215 192 0.137968 0.345460 BG
paper 444 84 448 87 0.137767 0.488218 BG
paper 455 72 465 125 0.128132 0.346414 BG
paper 233 58 254 70 0.125013 0.497339 BG
paper 224 57 232 67 0.123595 0.557510 BG
paper 212 151 233 204 0.114586 0.258177 BG
paper 435 87 448 94 0.114216 0.642437 BG
paper 216 31 224 36 0.112407 0.692811 BG
paper 132 423 228 440 0.105467 0.243464 BG
paper 209 39 215 42 0.104005 0.676964 BG
paper 209 161 214 190 0.100157 0.533171 BG
box 212 186 215 192 0.264465 0.345460 BG
box 583 156 590 165 0.24727 0.491358 BG
box 212 149 233 203 0.211035 0.258177 BG
box 201 193 210 194 0.20502 0.389398 BG
box 209 160 215 189 0.194744 0.533171 BG
box 274 140 281 146 0.133409 0.664157 BG
box 162 230 168 236 0.127825 0.864709 BG
box 149 422 226 440 0.124483 0.295642 BG
box 300 101 308 105 0.123566 0.508599 BG
box 17 434 31 440 0.122541 0.235185 BG
box 24 378 73 440 0.114579 0.707595 BG
box 233 59 255 69 0.109611 0.497339 BG
box 238 51 249 60 0.10705 0.588534 BG
box 176 176 191 230 0.10287 0.773238 BG
box 59 420 106 440 0.100491 0.365370 BG
whiteboard 56 34 180 254 0.130454 0.725663 BG
garbage_bin 64 423 67 429 0.104883 0.619754 BG
