table 70 180 558 430 0.12049 0.428773 floor
bookshelf 50 0 164 207 0.128584 0.837573 BG
picture 176 108 229 200 0.358212 0.474251 BG
picture 204 5 271 105 0.320395 0.080849 paper
picture 242 5 265 80 0.264053 0.529904 BG
picture 237 1 250 12 0.214207 0.424618 BG
picture 223 1 247 7 0.17729 0.422255 BG
picture 145 161 155 164 0.171167 0.618398 BG
picture 77 139 153 201 0.155833 0.732277 BG
picture 53 172 69 195 0.151891 0.492500 BG
picture 362 194 366 196 0.127815 0.287462 BG
picture 139 152 155 170 0.110953 0.649067 BG
picture 562 4 589 140 0.110646 0.557142 BG
picture 366 212 371 215 0.11015 0.226956 BG
picture 156 160 158 164 0.102573 0.624544 BG
fridge 213 0 333 434 0.179975 0.707981 BG
paper 214 0 265 95 0.566933 0.201087 paper
paper 227 56 271 98 0.375838 0.541326 BG
paper 253 44 266 72 0.331439 0.519004 BG
paper 202 0 221 95 0.252977 0.586893 BG
paper 184 413 187 414 0.221756 0.149214 BG
paper 222 0 247 7 0.218171 0.422255 BG
paper 72 416 77 418 0.216495 0.200777 BG
paper 196 48 201 55 0.210034 0.343059 BG
paper 210 334 216 337 0.208451 0.091345 BG
paper 192 320 198 332 0.20248 0.059347 BG
paper 240 18 247 25 0.196182 0.647328 BG
paper 164 373 165 375 0.188585 0.062931 BG
paper 237 0 250 12 0.184391 0.424618 BG
paper 239 76 244 85 0.183683 0.809985 BG
paper 201 368 205 369 0.183266 0.053624 BG
paper 252 68 261 72 0.181129 0.779629 BG
paper 13 180 24 190 0.1788 0.528128 BG
paper 1 338 93 440 0.178678 0.136052 BG
paper 12 400 14 404 0.175236 0.058869 BG
paper 216 5 249 45 0.170006 0.703189 BG
paper 36 298 158 437 0.165954 0.348810 BG
paper 238 5 257 55 0.161548 0.752200 BG
paper 372 380 433 440 0.161051 0.329851 BG
paper 244 76 246 86 0.155819 0.839428 BG
paper 241 86 247 95 0.153779 0.833536 BG
paper 210 65 218 83 0.151595 0.778398 BG
paper 178 106 230 187 0.151559 0.437670 BG
paper 216 0 222 14 0.149043 0.668295 BG
paper 1 384 14 404 0.147861 0.089508 BG
paper 365 212 371 215 0.14767 0.226956 BG
paper 217 16 222 18 0.145876 0.678103 BG
paper 193 270 229 334 0.141326 0.377747 BG
paper 362 407 367 416 0.139036 0.649076 BG
paper 205 19 216 65 0.133453 0.531542 BG
paper 412 383 416 386 0.133197 0.382391 BG
paper 91 427 95 430 0.12979 0.269038 BG
paper 441 184 446 188 0.125331 0.772466 BG
paper 574 140 577 142 0.124273 0.563077 BG
paper 217 77 224 90 0.12354 0.728348 BG
paper 218 10 227 16 0.12336 0.667410 BG
paper 433 187 440 190 0.120704 0.787209 BG
paper 224 65 238 83 0.118503 0.865201 BG
paper 140 152 155 169 0.117174 0.649067 BG
paper 343 405 392 440 0.11662 0.592621 BG
paper 156 160 158 164 0.115149 0.624544 BG
paper 192 367 248 440 0.114472 0.313967 BG
paper 170 146 175 153 0.111663 0.622352 BG
paper 362 194 367 196 0.110208 0.287462 BG
paper 567 415 590 440 0.108986 0.177931 BG
paper 228 39 246 78 0.107393 0.876452 BG
paper 54 172 68 194 0.104789 0.492500 BG
paper 187 106 191 107 0.101899 0.693963 BG
paper 451 184 454 186 0.101716 0.800343 BG
