sofa 28 43 534 440 0.179253 0.757448 ceiling
picture 17 1 26 16 0.18332 0.284859 BG
picture 368 3 375 12 0.170417 0.300902 BG
picture 120 1 126 16 0.14392 0.282484 BG
picture 501 1 507 16 0.138706 0.326478 BG
picture 255 381 266 391 0.116265 0.149912 BG
picture 304 1 319 32 0.114734 0.087511 BG
picture 251 381 259 393 0.112302 0.162915 BG
picture 507 1 561 31 0.10961 0.180253 BG
picture 249 381 250 384 0.106592 0.169159 BG
picture 1 433 5 440 0.10185 0.300414 BG
picture 189 1 257 47 0.101345 0.539613 BG
paper 501 428 501 436 0.36798 0.305718 BG
paper 503 422 505 427 0.310712 0.273344 BG
paper 497 376 501 381 0.30899 0.337433 BG
paper 494 374 496 378 0.300418 0.420997 BG
paper 502 400 505 401 0.299798 0.225252 BG
paper 497 428 501 435 0.288083 0.396645 BG
paper 502 435 504 438 0.287911 0.512922 BG
paper 176 417 177 423 0.274122 0.222401 BG
paper 504 373 509 374 0.268507 0.234007 BG
paper 499 436 501 438 0.247695 0.564831 BG
paper 151 337 159 340 0.245269 0.148861 BG
paper 161 339 169 344 0.244354 0.201170 BG
paper 499 399 501 406 0.243842 0.378305 BG
paper 302 413 307 424 0.243409 0.311467 BG
paper 306 414 315 428 0.242198 0.323913 BG
paper 311 413 313 414 0.234801 0.270186 BG
paper 299 413 302 415 0.232702 0.270807 BG
paper 156 408 165 416 0.232324 0.213069 BG
paper 243 422 244 423 0.231256 0.354930 BG
paper 500 407 500 408 0.227211 0.221444 BG
paper 64 48 78 54 0.224092 0.143407 BG
paper 429 48 430 50 0.223125 0.148068 BG
paper 499 429 511 440 0.221343 0.275693 BG
paper 159 341 171 350 0.218697 0.275041 BG
paper 475 48 481 55 0.2179 0.158600 BG
paper 181 415 182 416 0.216805 0.187011 BG
paper 154 399 162 405 0.216453 0.200028 BG
paper 241 381 242 384 0.216128 0.144850 BG
paper 64 411 67 414 0.215198 0.218694 BG
paper 258 384 260 390 0.214387 0.087895 BG
paper 255 391 262 399 0.214065 0.073145 BG
paper 75 412 78 415 0.212928 0.223147 BG
paper 243 388 244 391 0.212836 0.084612 BG
paper 244 386 254 403 0.211558 0.078286 BG
paper 78 416 80 418 0.208491 0.264752 BG
paper 145 367 155 395 0.207876 0.115530 BG
paper 72 415 76 417 0.207248 0.268837 BG
paper 262 390 267 394 0.206859 0.075952 BG
paper 243 416 253 439 0.206389 0.206257 BG
paper 482 52 483 57 0.206308 0.173222 BG
paper 510 439 510 440 0.204622 0.396433 BG
paper 65 404 70 411 0.203991 0.183817 BG
paper 393 424 402 428 0.20379 0.284890 BG
paper 151 369 152 372 0.203785 0.090360 BG
paper 131 85 143 95 0.203642 0.108040 BG
paper 493 428 498 439 0.203482 0.505133 BG
paper 239 388 241 392 0.203024 0.089309 BG
paper 60 404 67 410 0.202967 0.181901 BG
paper 456 429 464 430 0.202888 0.522895 BG
paper 305 405 307 408 0.202291 0.230230 BG
paper 306 401 311 412 0.201957 0.236075 BG
paper 75 405 77 405 0.201921 0.192154 BG
paper 391 45 398 65 0.201707 0.088000 BG
paper 43 409 47 415 0.201509 0.212460 BG
paper 99 382 117 399 0.201227 0.103641 BG
paper 64 411 72 423 0.2009 0.278128 BG
paper 146 368 149 373 0.200447 0.079166 BG
paper 249 381 250 383 0.200398 0.169159 BG
paper 410 438 417 440 0.199642 0.551088 BG
paper 146 380 153 382 0.198893 0.096139 BG
paper 251 381 259 392 0.198841 0.162915 BG
paper 147 373 152 378 0.198526 0.076392 BG
paper 234 385 240 392 0.198351 0.085333 BG
paper 457 406 519 440 0.19835 0.113998 BG
paper 366 82 369 90 0.19831 0.147639 BG
paper 550 133 556 137 0.197254 0.066924 BG
paper 253 427 256 436 0.196543 0.240898 BG
paper 558 293 563 295 0.196159 0.110795 BG
paper 480 36 495 48 0.195404 0.141251 BG
paper 462 432 467 438 0.193989 0.528845 BG
paper 126 379 139 383 0.193192 0.100712 BG
paper 476 37 481 47 0.193182 0.161315 BG
paper 511 373 518 375 0.192648 0.326830 BG
paper 255 381 266 390 0.19239 0.149912 BG
paper 203 401 207 405 0.192001 0.193519 BG
paper 265 385 287 400 0.191495 0.092399 BG
paper 237 391 238 393 0.190973 0.122151 BG
paper 145 379 145 381 0.188916 0.068056 BG
paper 342 377 344 381 0.188473 0.376322 BG
paper 444 431 453 435 0.188349 0.509934 BG
paper 32 405 32 409 0.187926 0.189105 BG
paper 467 37 475 47 0.187208 0.176931 BG
paper 467 32 468 36 0.185696 0.176316 BG
paper 560 374 564 382 0.1834 0.048075 BG
paper 559 368 560 372 0.182931 0.047542 BG
paper 561 274 565 277 0.182889 0.240199 BG
paper 409 426 416 432 0.182679 0.510791 BG
paper 505 383 511 388 0.18225 0.414429 BG
paper 464 32 466 37 0.182174 0.179341 BG
paper 418 19 419 31 0.18216 0.179756 BG
paper 467 429 508 440 0.182092 0.283523 BG
paper 172 371 176 375 0.182018 0.175941 BG
paper 131 376 132 377 0.179963 0.072395 BG
paper 177 415 184 432 0.179072 0.154660 BG
paper 559 280 562 284 0.179015 0.186446 BG
paper 153 383 156 385 0.178754 0.101483 BG
paper 501 359 508 368 0.178754 0.316534 BG
paper 111 371 111 375 0.178677 0.074421 BG
paper 176 367 182 376 0.17862 0.214026 BG
paper 513 429 519 432 0.17858 0.337582 BG
paper 558 301 568 303 0.178118 0.053578 BG
paper 142 383 147 387 0.177424 0.109224 BG
paper 405 434 409 434 0.176752 0.636555 BG
paper 205 391 208 393 0.176363 0.158501 BG
paper 564 297 577 302 0.175848 0.080369 BG
paper 301 421 309 432 0.175724 0.276657 BG
paper 152 393 161 397 0.17494 0.126124 BG
paper 78 388 82 399 0.174769 0.122539 BG
paper 240 425 242 430 0.174711 0.268958 BG
paper 152 388 154 393 0.174612 0.121405 BG
paper 35 416 39 419 0.174165 0.267162 BG
paper 19 223 24 225 0.173627 0.191749 BG
