bed 20 146 542 430 0.266605 0.705316 shelf
chair 376 160 411 166 0.147394 0.780598 BG
chair 367 149 420 165 0.106161 0.874135 BG
table 0 289 399 440 0.108101 0.724997 BG
bookshelf 246 179 252 188 0.114828 0.732642 BG
counter 0 280 581 436 0.105353 0.552322 BG
pillow 4 257 65 295 0.85607 0.092215 BG
pillow 13 256 61 269 0.417427 0.443081 BG
clothes 6 257 63 276 0.110157 0.266686 BG
paper 353 351 367 359 0.260639 0.196863 BG
paper 577 201 590 214 0.1258 0.337304 BG
paper 288 172 309 183 0.124363 0.847224 BG
paper 287 159 326 186 0.116934 0.853071 BG
paper 586 214 590 222 0.114998 0.158550 BG
paper 586 240 590 247 0.108611 0.345837 BG
paper 279 170 312 174 0.106815 0.801105 BG
paper 355 244 367 281 0.100307 0.714288 BG
towel 392 315 566 438 0.20061 0.525467 lamp
box 396 232 511 300 0.65658 0.295807 box
box 397 241 415 286 0.618991 0.366211 BG
box 217 176 442 311 0.271117 0.272404 BG
box 377 242 443 306 0.25602 0.719554 BG
box 356 190 415 304 0.196974 0.776118 books
box 577 201 590 214 0.169761 0.337304 BG
box 586 213 590 222 0.161723 0.158550 BG
box 564 213 583 223 0.157861 0.369936 BG
box 490 425 556 440 0.143943 0.602895 BG
garbage_bin 270 165 363 276 0.910329 0.052491 BG
garbage_bin 300 184 332 261 0.580667 0.402188 BG
garbage_bin 316 190 345 223 0.478243 0.503927 BG
garbage_bin 236 159 488 314 0.214139 0.379425 books
garbage_bin 341 288 583 433 0.161576 0.475925 lamp
