bed 28 2 395 438 0.96225 0.031105 sink
sofa 12 41 322 292 0.12555 0.628460 BG
table 560 187 583 211 0.127478 0.678044 BG
table 0 285 65 440 0.12377 0.333463 BG
picture 388 1 445 21 0.193073 0.246285 BG
picture 361 1 413 9 0.173472 0.262819 BG
picture 289 1 496 23 0.125998 0.506063 BG
clothes 564 54 575 80 0.100806 0.529831 BG
paper 386 0 442 20 0.176154 0.246285 BG
paper 360 0 410 9 0.152978 0.262819 BG
paper 586 201 590 206 0.14711 0.491655 BG
paper 91 48 93 53 0.141723 0.830277 BG
paper 22 237 30 238 0.134974 0.292328 BG
paper 580 205 588 209 0.129053 0.512223 BG
paper 63 40 93 57 0.120929 0.829731 BG
paper 219 1 327 32 0.113046 0.660420 BG
paper 295 429 302 435 0.112142 0.498613 BG
paper 442 0 493 12 0.110634 0.658983 BG
paper 578 194 590 209 0.104739 0.593336 BG
towel 564 55 574 81 0.138582 0.529831 BG
towel 1 117 74 189 0.103789 0.715115 BG
box 350 1 418 13 0.154155 0.297973 BG
box 385 1 444 21 0.130756 0.246285 BG
whiteboard 0 1 507 54 0.176642 0.586493 BG
sink 223 115 493 222 0.11291 0.853012 BG
lamp 457 160 462 164 0.311857 0.638860 BG
lamp 445 160 475 171 0.267723 0.713699 BG
lamp 444 137 483 171 0.183483 0.676546 BG
lamp 471 157 475 165 0.135579 0.726743 BG
lamp 444 170 448 178 0.111871 0.885507 BG
bag 279 139 289 144 0.197634 0.484340 BG
bag 268 149 274 151 0.10889 0.671019 BG
garbage_bin 458 54 520 136 0.188643 0.679973 BG
garbage_bin 0 299 65 436 0.169017 0.333463 BG
garbage_bin 22 237 31 239 0.10996 0.292328 BG
garbage_bin 45 366 65 415 0.108317 0.712925 BG
