cabinet 274 107 546 419 0.116396 0.511340 dresser_mirror
bed 6 257 309 438 0.897366 0.072912 bed
chair 479 255 587 437 0.989663 0.006357 chair
chair 554 421 559 430 0.207366 0.261714 BG
table 408 150 561 440 0.10231 0.381482 BG
counter 402 127 564 432 0.251199 0.381482 BG
desk 389 140 564 412 0.386428 0.411596 BG
mirror 562 232 590 275 0.11625 0.269742 BG
clothes 294 59 384 203 0.144994 0.574188 BG
clothes 516 0 566 141 0.134176 0.645770 BG
clothes 157 2 186 47 0.132151 0.737965 BG
fridge 252 10 342 440 0.13846 0.787623 BG
paper 379 160 381 164 0.775188 0.223882 BG
paper 353 159 403 196 0.323774 0.667427 BG
paper 368 140 378 168 0.282503 0.693371 BG
paper 356 150 368 170 0.227237 0.703496 BG
paper 321 430 323 440 0.198794 0.346448 BG
paper 385 178 400 192 0.165817 0.827186 BG
paper 151 63 152 70 0.128902 0.408294 BG
paper 576 299 587 304 0.122989 0.219940 BG
paper 279 400 321 440 0.121783 0.693918 BG
paper 206 407 233 426 0.120476 0.079383 BG
paper 1 286 24 306 0.109105 0.676907 BG
paper 73 369 80 375 0.106635 0.540155 BG
paper 369 178 400 207 0.102246 0.835089 BG
paper 84 276 96 284 0.100752 0.769313 BG
towel 321 75 368 173 0.326748 0.460220 BG
towel 516 3 561 148 0.103404 0.645770 BG
box 570 267 590 300 0.340745 0.271469 BG
box 206 406 233 426 0.228963 0.079383 BG
box 3 304 21 309 0.22811 0.717538 BG
box 464 104 472 130 0.218663 0.698979 BG
box 576 299 587 304 0.184175 0.219940 BG
box 316 66 370 167 0.170058 0.502534 BG
box 374 203 381 215 0.13749 0.740775 BG
box 1 285 26 306 0.136633 0.676907 BG
box 587 268 590 271 0.127824 0.174747 BG
box 555 285 570 302 0.124507 0.811254 BG
box 279 431 286 440 0.119214 0.395957 BG
box 368 187 402 208 0.1192 0.757606 BG
box 320 430 323 440 0.117662 0.346448 BG
box 556 245 574 301 0.108033 0.554028 BG
sink 401 120 550 304 0.286982 0.655549 BG
bag 552 434 573 440 0.10255 0.250339 BG
garbage_bin 400 303 409 365 0.419641 0.524427 BG
garbage_bin 563 172 590 265 0.410529 0.581179 BG
garbage_bin 406 260 482 370 0.282999 0.540414 BG
garbage_bin 576 171 590 207 0.258838 0.728811 BG
garbage_bin 366 68 369 73 0.236962 0.690154 BG
garbage_bin 286 235 456 414 0.196356 0.711714 BG
garbage_bin 408 337 415 353 0.186986 0.459664 BG
garbage_bin 205 407 234 426 0.18123 0.079383 BG
garbage_bin 411 352 412 354 0.169827 0.581353 BG
garbage_bin 582 169 590 184 0.136453 0.838755 BG
garbage_bin 581 204 590 238 0.135503 0.767911 BG
garbage_bin 554 242 580 304 0.112365 0.485475 BG
garbage_bin 576 239 580 242 0.108281 0.407673 BG
garbage_bin 343 249 410 367 0.103797 0.809728 BG
garbage_bin 273 424 284 432 0.101956 0.660087 BG
