bed 206 63 492 440 0.101146 0.680257 sofa_chair
chair 458 284 587 440 0.612713 0.286264 table
chair 117 228 270 389 0.387924 0.596923 BG
chair 329 240 550 440 0.232506 0.710136 BG
chair 395 30 452 227 0.174612 0.757836 BG
chair 439 107 561 227 0.15469 0.819345 BG
chair 176 306 257 387 0.138745 0.856358 BG
chair 379 9 444 112 0.127149 0.794937 BG
chair 1 413 5 438 0.110259 0.763715 BG
chair 491 305 585 346 0.104876 0.791264 BG
sofa 211 227 583 424 0.254391 0.690879 BG
table 446 141 584 251 0.983573 0.008047 table
table 526 188 587 275 0.384391 0.473770 BG
table 447 151 483 225 0.198252 0.684403 BG
table 0 331 113 438 0.162526 0.639127 BG
table 0 414 146 440 0.154988 0.453948 BG
picture 28 167 106 284 0.865532 0.092297 painting&&picture
picture 559 0 590 25 0.340596 0.598921 BG
picture 52 202 80 226 0.325612 0.661999 BG
picture 78 236 86 257 0.283208 0.715686 BG
picture 283 5 351 84 0.277853 0.369994 BG
picture 37 241 82 268 0.265285 0.730855 BG
picture 32 214 49 248 0.25549 0.646307 BG
picture 477 2 492 48 0.195067 0.561143 BG
picture 47 231 59 241 0.149181 0.820846 BG
picture 82 176 103 279 0.125639 0.860421 BG
picture 47 182 88 211 0.124968 0.858504 BG
counter 83 290 185 405 0.125089 0.748090 BG
pillow 389 230 426 303 0.239954 0.754113 BG
pillow 332 88 399 296 0.113466 0.846283 BG
mirror 275 3 340 95 0.150451 0.415664 BG
mirror 280 3 298 94 0.115355 0.661895 BG
mirror 475 0 492 51 0.101386 0.561143 BG
clothes 477 434 481 440 0.295445 0.276353 BG
clothes 291 0 308 60 0.105346 0.581268 BG
fridge 2 166 110 414 0.400026 0.428474 BG
tv 13 154 108 308 0.100881 0.075451 painting&&picture
paper 116 400 153 440 0.222364 0.175579 BG
paper 574 299 577 305 0.222107 0.296950 BG
paper 118 375 226 440 0.202262 0.437914 BG
paper 583 304 590 312 0.1797 0.385478 BG
paper 278 232 282 255 0.157962 0.444336 BG
paper 269 252 276 256 0.133305 0.543531 BG
paper 530 314 536 322 0.121374 0.703748 BG
paper 13 417 148 440 0.117089 0.484356 BG
paper 436 429 463 440 0.10243 0.658449 BG
box 251 249 254 251 0.316704 0.639537 BG
box 270 231 283 255 0.281283 0.532077 BG
box 270 251 277 255 0.27945 0.543531 BG
box 249 231 282 266 0.274357 0.598501 BG
box 309 43 321 46 0.271878 0.427016 BG
box 380 60 385 78 0.233389 0.615107 BG
box 350 63 378 84 0.225911 0.573152 BG
box 124 416 154 440 0.214544 0.153001 BG
box 254 251 276 265 0.210308 0.677222 BG
box 113 371 279 440 0.183645 0.502797 BG
box 338 53 348 74 0.179448 0.680942 BG
box 338 53 340 65 0.174357 0.686296 BG
box 302 40 308 46 0.170823 0.375910 BG
box 573 298 578 305 0.156466 0.296950 BG
box 369 79 374 84 0.128352 0.693410 BG
box 326 52 331 72 0.126607 0.809339 BG
box 350 75 360 83 0.120124 0.733239 BG
box 265 192 284 254 0.109304 0.734570 BG
box 486 333 489 336 0.10836 0.879251 BG
box 337 66 348 71 0.10102 0.833373 BG
box 242 198 284 343 0.100305 0.782841 BG
whiteboard 467 4 585 193 0.499582 0.322486 BG
whiteboard 112 104 253 288 0.350273 0.501043 BG
bag 477 435 480 440 0.130722 0.276353 BG
