chair 0 98 539 440 0.975626 0.012833 bed
clothes 542 0 590 120 0.490335 0.328223 BG
clothes 572 0 584 26 0.328441 0.417121 BG
clothes 0 263 18 407 0.211074 0.711872 BG
clothes 491 420 493 426 0.204867 0.384727 BG
clothes 1 247 96 439 0.127725 0.790188 BG
clothes 10 357 45 403 0.123308 0.774117 BG
clothes 247 362 296 439 0.112384 0.748931 BG
paper 9 87 15 94 0.152604 0.695105 BG
paper 584 33 590 50 0.13402 0.218007 BG
paper 522 363 590 439 0.110342 0.580093 BG
towel 568 2 584 48 0.126947 0.488428 BG
box 584 33 590 50 0.254229 0.218007 BG
box 521 354 590 440 0.16985 0.580093 BG
box 583 118 590 149 0.106728 0.571030 BG
lamp 5 47 70 155 0.154273 0.755834 BG
bag 549 8 589 144 0.209613 0.290077 BG
bag 9 409 15 415 0.164133 0.581861 BG
bag 568 2 585 46 0.130227 0.488428 BG
bag 585 120 589 125 0.124974 0.486806 BG
garbage_bin 491 356 590 438 0.148396 0.478991 BG
