cabinet 16 118 73 172 0.174256 0.448161 box
chair 16 167 132 374 0.791829 0.037832 clothes
chair 128 196 223 331 0.320279 0.624683 BG
chair 211 212 225 259 0.257365 0.710929 BG
chair 20 126 69 172 0.226351 0.453459 BG
chair 73 137 121 176 0.171474 0.800244 BG
chair 103 267 162 337 0.147407 0.801487 BG
chair 204 236 217 261 0.141878 0.844908 BG
chair 182 205 221 266 0.140854 0.800956 BG
chair 98 266 239 376 0.139066 0.800044 BG
chair 71 150 77 153 0.138559 0.790371 BG
chair 87 139 235 187 0.11301 0.808172 BG
sofa 221 148 584 396 0.991773 0.006822 sofa
sofa 18 156 130 378 0.304848 0.161686 clothes
sofa 80 112 126 131 0.160217 0.530401 BG
sofa 4 240 14 245 0.141944 0.580628 BG
sofa 565 264 589 284 0.119189 0.642963 BG
table 23 151 243 332 0.422516 0.181189 chair
table 81 296 270 430 0.397607 0.387711 BG
table 134 318 565 427 0.232385 0.621228 coffee_table
table 67 131 321 222 0.220251 0.675585 table
picture 86 17 127 59 0.116805 0.736425 BG
desk 29 140 326 344 0.492895 0.286758 BG
desk 92 254 254 435 0.252535 0.416084 BG
desk 136 296 570 432 0.161875 0.572053 coffee_table
desk 133 144 240 270 0.103899 0.692784 BG
desk 16 122 122 173 0.100683 0.627925 fridge
pillow 311 138 490 285 0.555831 0.418821 BG
pillow 496 212 586 281 0.257427 0.686849 BG
pillow 444 272 451 277 0.250039 0.749685 BG
pillow 405 261 457 289 0.218693 0.777379 BG
pillow 439 271 446 278 0.206798 0.792445 BG
pillow 326 181 436 245 0.177779 0.699646 BG
pillow 567 268 589 283 0.14613 0.642963 BG
pillow 367 230 476 291 0.142806 0.854691 BG
pillow 526 150 587 222 0.139189 0.669527 BG
pillow 329 221 361 244 0.125235 0.869386 BG
pillow 241 286 247 294 0.123851 0.870054 BG
pillow 439 159 515 265 0.121284 0.871502 BG
clothes 280 207 329 258 0.513084 0.357606 bag
clothes 156 251 199 280 0.327279 0.278975 BG
clothes 158 253 162 256 0.210501 0.524551 BG
clothes 144 249 174 294 0.174454 0.652679 BG
clothes 175 263 184 268 0.15991 0.689915 BG
clothes 283 210 310 236 0.14992 0.768135 BG
clothes 276 220 296 254 0.13576 0.791937 BG
clothes 136 251 214 323 0.107691 0.574505 bag
tv 1 178 23 259 0.13791 0.544898 BG
paper 108 311 238 370 0.382074 0.567228 books
paper 331 412 339 420 0.303647 0.678122 BG
paper 208 375 382 439 0.220578 0.323336 BG
paper 174 305 178 306 0.183486 0.632155 BG
paper 317 387 340 420 0.177506 0.681283 BG
paper 4 394 94 440 0.160536 0.291293 BG
paper 190 305 202 311 0.158157 0.738358 BG
paper 254 113 257 119 0.151614 0.663379 BG
paper 143 302 171 318 0.137001 0.790884 BG
paper 335 406 346 418 0.133368 0.864860 BG
paper 229 399 269 417 0.119768 0.803832 BG
paper 207 396 270 440 0.113309 0.758891 BG
paper 216 302 221 304 0.111834 0.827177 BG
paper 306 223 311 226 0.111341 0.848725 BG
box 230 361 378 439 0.200995 0.300344 BG
box 290 191 297 195 0.167268 0.715978 BG
box 1 119 22 165 0.159547 0.401031 BG
box 127 100 145 110 0.157778 0.388949 BG
box 19 115 26 123 0.124831 0.690529 BG
box 1 112 20 120 0.120417 0.767280 BG
box 2 390 95 439 0.112752 0.291293 BG
lamp 33 44 128 120 0.445088 0.486685 BG
lamp 264 376 337 440 0.343623 0.248522 BG
lamp 71 54 131 81 0.320649 0.651131 BG
lamp 111 19 204 107 0.151656 0.812189 BG
lamp 65 15 132 67 0.11901 0.783081 BG
bag 156 253 197 277 0.359057 0.278975 BG
bag 158 254 162 255 0.263972 0.524551 BG
bag 132 253 209 321 0.214315 0.574505 bag
bag 143 253 171 289 0.159072 0.652679 BG
bag 175 264 183 267 0.104853 0.689915 BG
garbage_bin 321 205 337 226 0.122603 0.790575 BG
