bed 74 2 569 427 0.998301 0.001460 bed&&floor
chair 364 429 375 437 0.156788 0.494239 BG
chair 306 2 393 58 0.10803 0.799467 night_stand
chair 553 421 570 430 0.103227 0.269726 BG
sofa 349 1 393 10 0.164788 0.319932 BG
pillow 308 8 547 97 0.479115 0.519169 BG
pillow 399 64 427 80 0.399667 0.599909 BG
pillow 416 47 485 89 0.330215 0.669727 BG
pillow 430 74 437 85 0.264412 0.735553 BG
pillow 349 48 462 98 0.213615 0.785860 BG
pillow 447 57 467 80 0.201833 0.798090 BG
pillow 459 51 585 131 0.169395 0.812975 BG
pillow 426 92 427 94 0.16444 0.835186 BG
pillow 447 30 553 89 0.161019 0.837208 BG
pillow 272 54 295 69 0.14244 0.825364 BG
pillow 409 87 415 90 0.14141 0.856442 BG
pillow 243 54 296 77 0.133891 0.846019 BG
pillow 1 156 20 176 0.102152 0.642329 BG
clothes 537 231 561 272 0.167248 0.592782 BG
clothes 540 232 548 253 0.129899 0.670218 BG
paper 344 15 391 33 0.298924 0.660154 BG
paper 13 269 46 303 0.255023 0.134127 BG
paper 430 405 454 425 0.251714 0.479960 BG
paper 436 410 446 420 0.237351 0.463435 BG
paper 4 174 33 197 0.235877 0.074388 BG
paper 588 273 590 277 0.214052 0.528229 BG
paper 395 416 404 423 0.20497 0.544662 BG
paper 136 409 152 426 0.187957 0.591787 BG
paper 2 174 40 244 0.185762 0.105410 BG
paper 342 7 401 21 0.162065 0.751824 BG
paper 471 401 527 440 0.159759 0.349561 BG
paper 396 416 412 430 0.154304 0.390036 BG
paper 338 26 382 45 0.147775 0.833667 BG
paper 2 239 31 257 0.147667 0.331030 BG
paper 464 414 479 440 0.138853 0.359531 BG
paper 266 0 299 11 0.131493 0.514040 BG
paper 448 416 472 440 0.130243 0.358238 BG
paper 109 236 111 237 0.126275 0.391276 BG
paper 379 393 451 440 0.124858 0.489483 BG
paper 379 405 407 440 0.118488 0.389549 BG
paper 114 423 128 440 0.113022 0.288751 BG
paper 342 23 344 25 0.109975 0.854946 BG
paper 576 191 590 223 0.10844 0.407431 BG
paper 176 412 213 440 0.107207 0.360022 BG
paper 498 396 576 440 0.105533 0.237072 BG
paper 383 428 398 440 0.104352 0.248320 BG
paper 311 4 410 37 0.10198 0.756404 night_stand
paper 586 316 590 326 0.10071 0.508960 BG
box 266 0 330 64 0.462002 0.412683 BG
box 308 29 310 32 0.298429 0.591079 BG
box 307 26 318 32 0.255573 0.681005 BG
box 436 410 447 420 0.17106 0.463435 BG
box 108 235 111 236 0.163729 0.391276 BG
box 264 0 298 11 0.157212 0.514040 BG
box 430 404 455 425 0.157179 0.479960 BG
box 404 399 449 440 0.13661 0.410612 BG
box 463 412 479 440 0.119439 0.359531 BG
box 395 416 404 423 0.118349 0.544662 BG
box 447 414 471 440 0.118176 0.358238 BG
box 497 392 577 439 0.118086 0.237072 BG
box 395 415 412 430 0.117969 0.390036 BG
box 407 422 420 440 0.116252 0.253015 BG
box 137 408 153 426 0.115244 0.591787 BG
box 464 360 482 374 0.111203 0.806822 BG
box 471 398 527 439 0.107582 0.349561 BG
box 113 423 127 440 0.107418 0.288751 BG
box 311 26 329 36 0.10601 0.840381 BG
box 4 174 35 197 0.104862 0.074388 BG
bag 537 232 560 271 0.12638 0.592782 BG
garbage_bin 11 268 47 305 0.134818 0.134127 BG
