bed 20 193 590 438 0.997446 0.001512 sheet&&bed
table 2 214 102 375 0.214956 0.413779 BG
door 2 3 89 227 0.110064 0.500871 BG
picture 2 8 77 222 0.11807 0.513227 BG
counter 300 233 320 250 0.114666 0.576409 BG
blinds 83 1 116 113 0.251547 0.717810 BG
blinds 53 2 97 188 0.186508 0.691241 BG
blinds 91 40 95 54 0.101652 0.823235 BG
blinds 104 1 123 81 0.100363 0.884451 BG
pillow 422 235 582 320 0.930468 0.056395 BG
pillow 286 222 444 314 0.729748 0.213932 pillow
pillow 432 260 448 288 0.497879 0.409471 BG
pillow 420 235 451 299 0.335807 0.564573 BG
pillow 397 249 403 255 0.2195 0.731634 BG
pillow 462 234 490 244 0.130994 0.857486 BG
pillow 330 228 390 258 0.129626 0.847098 BG
pillow 333 140 438 248 0.103376 0.748143 BG
paper 287 233 316 251 0.549656 0.404535 BG
paper 278 231 295 239 0.417864 0.522752 BG
paper 296 238 307 247 0.383092 0.573659 BG
paper 286 243 303 251 0.38287 0.608685 BG
paper 256 240 293 260 0.300298 0.686953 BG
paper 298 246 304 250 0.288281 0.700083 BG
paper 307 237 327 249 0.239646 0.604272 BG
paper 249 225 322 251 0.195007 0.702157 BG
paper 1 414 33 432 0.192898 0.302476 BG
paper 306 246 312 251 0.183365 0.782739 BG
paper 285 409 309 427 0.181347 0.429371 BG
paper 277 226 287 232 0.181239 0.635291 BG
paper 298 248 309 253 0.172944 0.792072 BG
paper 320 237 330 246 0.166246 0.671081 BG
paper 315 237 323 241 0.160722 0.543528 BG
paper 182 395 240 440 0.15952 0.412163 BG
paper 324 234 332 237 0.153066 0.694748 BG
paper 281 399 332 440 0.151108 0.416731 BG
paper 344 219 345 228 0.130397 0.573817 BG
paper 1 389 63 433 0.116042 0.720768 BG
paper 295 256 296 260 0.11445 0.837288 BG
paper 79 399 86 403 0.110954 0.632908 BG
paper 337 215 343 229 0.110766 0.627952 BG
paper 327 222 341 237 0.108807 0.684332 BG
paper 8 421 49 440 0.104408 0.294815 BG
paper 217 79 230 95 0.10407 0.719038 BG
box 252 194 258 196 0.502929 0.388192 BG
box 252 183 254 185 0.305248 0.534873 BG
box 290 79 309 121 0.271547 0.490219 BG
box 223 174 249 198 0.222822 0.691515 BG
box 1 412 34 432 0.172692 0.302476 BG
box 338 195 341 204 0.151196 0.700447 BG
box 343 211 350 214 0.150259 0.566368 BG
box 1 427 15 440 0.142064 0.218517 BG
box 48 287 94 315 0.14122 0.676186 BG
box 310 116 315 122 0.13813 0.794565 BG
box 252 191 271 209 0.12455 0.760226 BG
box 275 79 287 94 0.121998 0.646985 BG
box 285 409 309 427 0.112801 0.429371 BG
box 7 420 49 440 0.112609 0.294815 BG
box 512 365 588 440 0.109579 0.488436 BG
box 331 198 335 203 0.107463 0.779285 BG
box 332 200 340 208 0.105138 0.748556 BG
box 326 200 329 201 0.102174 0.785259 BG
box 233 71 271 205 0.101176 0.346600 BG
lamp 228 121 346 237 0.354428 0.353788 BG
lamp 234 59 268 200 0.18718 0.464385 BG
lamp 274 121 354 179 0.114286 0.777133 BG
lamp 341 128 378 229 0.109483 0.734027 BG
