sofa 163 164 590 440 0.191247 0.654920 bathtub
picture 211 1 216 15 0.13819 0.330812 BG
paper 141 15 177 53 0.361594 0.403942 BG
paper 111 16 144 45 0.317371 0.463844 BG
paper 242 431 247 436 0.26739 0.340675 BG
paper 127 34 133 37 0.252293 0.485819 BG
paper 124 0 254 83 0.246387 0.511911 BG
paper 106 31 112 38 0.245197 0.712543 BG
paper 321 0 465 28 0.243375 0.299873 BG
paper 85 30 90 32 0.24335 0.618218 BG
paper 142 51 148 51 0.239713 0.495564 BG
paper 429 0 465 29 0.23169 0.548760 BG
paper 245 0 464 109 0.21841 0.416066 BG
paper 136 33 140 33 0.216384 0.395341 BG
paper 322 0 341 3 0.192805 0.320282 BG
paper 264 87 269 89 0.188599 0.691496 BG
paper 298 95 315 102 0.188376 0.623900 BG
paper 1 0 127 45 0.187252 0.569282 BG
paper 295 96 299 98 0.18308 0.651547 BG
paper 291 96 297 100 0.180355 0.643425 BG
paper 506 256 513 262 0.180119 0.666416 BG
paper 110 432 112 433 0.15015 0.447388 BG
paper 202 14 248 31 0.145497 0.512638 BG
paper 588 292 590 295 0.141015 0.244972 BG
paper 232 97 238 97 0.137636 0.665273 BG
paper 239 365 250 376 0.132434 0.151766 BG
paper 352 111 356 116 0.13126 0.524732 BG
paper 1 103 63 161 0.12628 0.597555 BG
paper 28 30 35 34 0.118578 0.710597 BG
paper 114 78 125 85 0.118028 0.703324 BG
paper 63 431 70 436 0.113235 0.815217 BG
paper 197 253 202 262 0.1045 0.644484 BG
paper 62 31 133 98 0.103776 0.782475 BG
paper 204 70 218 73 0.102541 0.705256 BG
paper 211 0 216 15 0.101595 0.330812 BG
box 346 0 444 25 0.192369 0.269895 BG
box 242 430 248 436 0.155605 0.340675 BG
box 137 33 140 34 0.139185 0.395341 BG
box 142 51 148 51 0.11097 0.495564 BG
box 587 292 590 294 0.109168 0.244972 BG
box 291 174 308 181 0.105326 0.736873 BG
lamp 239 365 249 377 0.100069 0.151766 BG
garbage_bin 415 405 416 414 0.109819 0.335436 BG
