cabinet 134 150 479 429 0.127873 0.763910 sofa_chair
bed 466 89 590 430 0.726374 0.107490 bed
chair 62 216 167 429 0.587437 0.351102 BG
chair 182 361 420 439 0.251103 0.183808 endtable
chair 0 192 81 440 0.223156 0.750082 air_conditioner
chair 322 361 391 435 0.201517 0.686121 BG
chair 81 270 446 435 0.150078 0.447227 BG
chair 153 402 218 440 0.139866 0.717365 BG
chair 64 275 153 346 0.106656 0.891711 BG
sofa 463 79 590 434 0.283051 0.127914 bed
table 176 369 406 440 0.571982 0.227984 endtable
table 63 286 448 433 0.337346 0.200386 BG
door 5 192 13 215 0.196322 0.280132 BG
door 0 1 27 253 0.167377 0.424046 BG
door 1 176 13 240 0.163909 0.327769 BG
door 111 165 117 168 0.139706 0.603275 BG
door 129 0 143 300 0.133387 0.810660 BG
desk 64 273 421 434 0.162682 0.200386 BG
pillow 481 112 583 176 0.420521 0.578190 BG
clothes 158 121 345 301 0.882564 0.027141 clothes
clothes 0 422 36 440 0.151554 0.646304 BG
clothes 299 211 339 260 0.129888 0.864044 BG
tv 467 40 590 146 0.36923 0.539499 BG
tv 459 60 494 184 0.190269 0.619221 BG
paper 96 345 160 439 0.147793 0.487152 BG
paper 560 325 576 341 0.134932 0.288169 BG
paper 96 415 112 440 0.131153 0.193176 BG
paper 565 326 574 332 0.126849 0.471493 BG
paper 548 349 590 439 0.118803 0.624926 floor
paper 565 326 569 328 0.118655 0.570486 BG
towel 149 169 219 273 0.137042 0.819361 BG
towel 0 366 34 440 0.114449 0.836876 BG
towel 0 423 33 440 0.100658 0.646304 BG
box 559 324 575 341 0.286687 0.288169 BG
box 518 312 523 313 0.192259 0.787966 BG
box 76 333 161 439 0.1508 0.468703 floor
box 95 414 111 440 0.133578 0.193176 BG
box 86 296 89 299 0.119103 0.839125 BG
box 556 344 589 367 0.113897 0.625583 BG
box 564 325 574 332 0.102785 0.471493 BG
night_stand 343 160 496 301 0.906657 0.049883 night_stand
night_stand 402 198 522 254 0.30639 0.672254 BG
lamp 144 6 416 304 0.690677 0.112426 lamp
lamp 333 0 426 161 0.221172 0.733046 BG
lamp 405 42 474 188 0.201048 0.710334 BG
lamp 437 23 440 32 0.141597 0.666885 BG
lamp 199 367 305 440 0.141066 0.562170 BG
lamp 142 0 317 98 0.139605 0.423191 BG
lamp 287 431 293 440 0.112474 0.388313 BG
garbage_bin 474 207 482 222 0.262221 0.727147 BG
garbage_bin 346 207 496 305 0.203889 0.673229 night_stand
garbage_bin 409 244 461 297 0.171131 0.734513 BG
garbage_bin 420 284 430 306 0.140205 0.849928 BG
garbage_bin 463 211 474 244 0.119327 0.866042 BG
garbage_bin 427 276 431 281 0.117634 0.842520 BG
