chair 336 108 378 182 0.32953 0.667324 toilet_paper
sofa 285 312 287 320 0.106095 0.230571 BG
sofa 245 205 587 438 0.101252 0.788309 BG
counter 0 237 55 358 0.111389 0.603727 BG
clothes 479 76 590 317 0.103582 0.715794 bathroom_vanity&&towel
tv 1 125 34 297 0.13474 0.345192 BG
paper 373 400 399 414 0.201975 0.172224 BG
paper 477 360 480 366 0.179626 0.403329 BG
paper 443 405 446 410 0.179042 0.250698 BG
paper 277 374 354 440 0.170794 0.051706 BG
paper 464 408 478 430 0.16835 0.297037 BG
paper 366 366 399 404 0.164164 0.114918 BG
paper 573 317 581 331 0.14279 0.308218 BG
paper 572 327 574 334 0.142562 0.308961 BG
paper 572 298 574 301 0.13919 0.437740 BG
paper 431 367 466 416 0.137796 0.541430 BG
paper 481 432 498 440 0.130507 0.162118 BG
paper 560 314 576 339 0.127744 0.435053 BG
paper 479 382 514 406 0.127657 0.552528 BG
paper 1 353 93 440 0.124159 0.468353 BG
paper 566 341 575 346 0.121281 0.486096 BG
paper 2 159 14 196 0.118475 0.287635 BG
paper 565 346 575 351 0.118447 0.495733 BG
paper 499 432 511 440 0.116452 0.229584 BG
paper 0 301 9 318 0.114232 0.707580 BG
paper 567 306 575 313 0.113023 0.591788 BG
paper 480 396 554 440 0.11127 0.212416 BG
paper 585 161 590 165 0.10927 0.611255 BG
paper 469 349 476 356 0.108398 0.421084 BG
paper 371 434 381 440 0.101762 0.300435 BG
paper 364 302 462 369 0.101415 0.498178 BG
towel 95 139 100 148 0.100026 0.838375 BG
box 0 126 37 317 0.22536 0.351776 BG
box 370 433 380 440 0.177522 0.300435 BG
box 480 431 497 440 0.177223 0.162118 BG
box 498 431 510 440 0.176632 0.229584 BG
box 289 271 295 276 0.160963 0.639811 BG
box 296 272 301 288 0.133671 0.704413 BG
box 293 266 297 272 0.133283 0.747736 BG
box 464 407 479 430 0.122747 0.297037 BG
box 279 432 283 440 0.120511 0.385130 BG
box 290 270 351 301 0.11807 0.440116 BG
box 288 277 296 286 0.115094 0.717699 BG
person 578 206 590 239 0.237106 0.605260 BG
person 576 235 585 238 0.109935 0.567411 BG
person 529 202 582 287 0.101109 0.640568 BG
toilet 109 109 279 437 0.988643 0.010624 toilet
toilet 28 195 167 440 0.107213 0.859142 BG
sink 91 48 277 221 0.240637 0.506062 BG
lamp 335 136 384 209 0.115877 0.557570 BG
bathtub 193 247 552 423 0.350689 0.530658 floor
bag 554 438 558 440 0.101717 0.140717 BG
garbage_bin 193 33 214 49 0.417775 0.490214 BG
garbage_bin 240 53 243 60 0.326502 0.606706 BG
garbage_bin 213 35 242 47 0.31343 0.546419 BG
garbage_bin 214 38 223 42 0.30102 0.620208 BG
garbage_bin 442 404 447 411 0.238102 0.250698 BG
garbage_bin 285 302 287 320 0.212306 0.240911 BG
garbage_bin 195 33 208 36 0.203615 0.708946 BG
garbage_bin 224 43 242 48 0.183924 0.710988 BG
garbage_bin 372 399 400 415 0.178268 0.172224 BG
garbage_bin 193 33 243 89 0.154729 0.829393 BG
garbage_bin 236 316 244 327 0.14645 0.817812 BG
garbage_bin 243 320 248 327 0.136023 0.830818 BG
garbage_bin 477 395 553 440 0.131713 0.212416 BG
garbage_bin 276 373 356 440 0.131695 0.051706 BG
garbage_bin 477 381 514 406 0.130406 0.552528 BG
garbage_bin 239 309 248 320 0.122834 0.862079 BG
garbage_bin 366 364 400 404 0.119519 0.114918 BG
garbage_bin 208 43 223 49 0.115687 0.843450 BG
garbage_bin 232 332 241 342 0.11153 0.846451 BG
garbage_bin 272 310 283 320 0.109563 0.676361 BG
garbage_bin 430 365 466 416 0.10767 0.541430 BG
garbage_bin 225 316 244 337 0.104894 0.838829 BG
garbage_bin 233 328 244 335 0.102353 0.857195 BG
