chair 204 130 345 398 0.326321 0.587990 stool
sofa 37 167 590 440 0.94454 0.046662 BG
sofa 12 292 196 440 0.56424 0.256985 BG
sofa 11 203 223 345 0.460667 0.478921 BG
table 27 234 219 440 0.106028 0.357035 BG
door 487 8 584 283 0.101064 0.790699 BG
bookshelf 4 4 36 341 0.348262 0.626795 shelf
bookshelf 1 163 32 278 0.125778 0.780280 BG
picture 236 50 258 150 0.72428 0.204345 BG
picture 240 64 447 155 0.595689 0.343488 BG
picture 480 1 485 19 0.181347 0.497486 BG
picture 368 2 458 69 0.157053 0.474792 BG
picture 1 2 27 40 0.11304 0.512159 BG
picture 481 1 482 3 0.106792 0.608457 BG
picture 219 5 370 93 0.101489 0.783216 BG
paper 376 139 439 150 0.662119 0.274720 BG
paper 285 92 340 109 0.35828 0.449320 BG
paper 348 421 351 428 0.257905 0.444903 BG
paper 281 96 440 154 0.249869 0.567042 BG
paper 324 426 326 426 0.229009 0.444727 BG
paper 322 425 323 427 0.226318 0.430563 BG
paper 320 420 324 426 0.224276 0.445074 BG
paper 123 360 159 385 0.195764 0.210725 BG
paper 319 412 321 414 0.174661 0.528740 BG
paper 324 416 353 440 0.161435 0.309417 BG
paper 384 428 404 440 0.148877 0.254920 BG
paper 320 429 323 440 0.137863 0.224016 BG
paper 560 425 576 430 0.13649 0.446010 BG
paper 449 401 502 440 0.131795 0.647656 BG
paper 253 5 277 32 0.131678 0.278956 BG
paper 2 396 65 440 0.131339 0.360628 BG
paper 256 399 322 440 0.130552 0.480927 BG
paper 503 410 505 411 0.121473 0.551600 BG
paper 160 372 194 440 0.117262 0.466006 BG
paper 322 399 400 440 0.114999 0.612081 BG
paper 235 420 238 427 0.114972 0.680320 BG
paper 544 80 562 87 0.112867 0.544075 BG
paper 542 434 547 436 0.111292 0.397267 BG
paper 368 1 396 49 0.10998 0.299246 BG
paper 110 385 129 440 0.109603 0.260262 BG
paper 496 409 544 440 0.104884 0.496068 BG
paper 1 326 13 335 0.102594 0.789353 BG
paper 407 432 414 440 0.102278 0.282979 BG
box 559 424 575 430 0.167361 0.446010 BG
box 323 425 326 426 0.163643 0.444727 BG
box 321 425 323 427 0.161795 0.430563 BG
box 319 419 324 426 0.159889 0.445074 BG
box 503 409 506 411 0.156149 0.551600 BG
box 319 428 322 440 0.152622 0.224016 BG
box 319 412 321 414 0.147084 0.528740 BG
box 547 401 589 439 0.144199 0.543809 BG
box 323 414 352 440 0.142209 0.309417 BG
box 348 420 351 428 0.138146 0.444903 BG
box 383 427 403 440 0.128155 0.254920 BG
box 0 3 26 40 0.127364 0.512159 BG
box 406 431 413 440 0.117704 0.282979 BG
box 275 129 278 144 0.113686 0.667321 BG
box 205 408 256 440 0.113003 0.489147 BG
box 123 359 159 384 0.107504 0.210725 BG
box 253 5 277 32 0.105514 0.278956 BG
lamp 212 253 315 389 0.131839 0.787658 BG
garbage_bin 419 194 454 231 0.304615 0.606818 BG
garbage_bin 432 175 488 222 0.20196 0.714712 BG
garbage_bin 439 199 454 212 0.152707 0.741716 BG
garbage_bin 438 221 441 226 0.140489 0.806487 BG
garbage_bin 461 180 487 206 0.133982 0.807098 BG
garbage_bin 123 359 159 385 0.118163 0.210725 BG
garbage_bin 497 35 511 64 0.116668 0.434076 BG
