cabinet 284 11 560 357 0.157698 0.601826 coffee_table
bed 7 9 260 217 0.978701 0.008013 bed
bed 8 116 132 352 0.102538 0.724948 sofa
chair 160 429 178 440 0.215678 0.553419 BG
chair 177 430 195 440 0.159056 0.321552 BG
chair 5 124 147 248 0.109697 0.821662 BG
sofa 293 2 590 61 0.179034 0.537590 BG
sofa 560 63 588 92 0.133796 0.381103 BG
sofa 357 0 465 35 0.132007 0.300180 BG
table 15 174 332 436 0.29196 0.498751 endtable
picture 372 1 470 38 0.117307 0.300180 BG
blinds 205 123 220 137 0.133412 0.772080 BG
blinds 198 120 238 155 0.128999 0.738677 BG
desk 13 167 322 437 0.103515 0.565028 endtable
pillow 9 8 267 55 0.575522 0.360011 BG
pillow 60 2 190 31 0.432067 0.533172 BG
pillow 8 16 212 144 0.303002 0.265854 pillow
pillow 3 3 68 24 0.160018 0.719199 BG
clothes 190 1 272 41 0.120823 0.541680 BG
tv 469 1 580 56 0.300394 0.488423 BG
tv 362 13 583 293 0.132105 0.731411 BG
paper 2 332 49 397 0.178444 0.247851 BG
paper 560 302 578 309 0.172137 0.362882 BG
paper 320 415 325 423 0.119342 0.535937 BG
paper 446 349 516 440 0.111126 0.592704 BG
paper 528 368 590 440 0.109939 0.433759 BG
paper 72 399 151 440 0.106029 0.579170 BG
paper 431 382 451 430 0.105755 0.690323 BG
paper 3 319 62 343 0.102433 0.743929 BG
paper 576 225 590 250 0.101539 0.419665 BG
box 1 322 51 402 0.355837 0.247851 BG
box 559 301 578 309 0.168641 0.362882 BG
person 192 0 272 42 0.105382 0.541680 BG
lamp 574 15 590 47 0.114714 0.596758 BG
bag 235 16 254 30 0.144402 0.682490 BG
bag 190 3 272 40 0.127986 0.541680 BG
bag 248 24 266 46 0.118386 0.738224 BG
bag 103 2 191 26 0.117759 0.462357 BG
garbage_bin 542 18 559 30 0.156535 0.700724 BG
garbage_bin 567 92 576 99 0.137936 0.484895 BG
garbage_bin 562 84 576 94 0.112091 0.552474 BG
