cabinet 38 9 331 228 0.149292 0.653858 blackboard
chair 120 293 379 439 0.991393 0.007169 chair
chair 30 250 160 434 0.979839 0.019968 chair
chair 466 268 590 432 0.972868 0.024730 chair&&chair
chair 352 230 441 440 0.967978 0.029427 chair
chair 481 237 584 334 0.701958 0.274911 BG
chair 169 241 287 373 0.636911 0.362001 chair
chair 412 229 501 341 0.566849 0.428658 chair
chair 283 237 343 300 0.466023 0.532816 BG
chair 287 245 335 268 0.39808 0.600122 BG
chair 508 243 584 273 0.383817 0.573869 BG
chair 162 259 328 303 0.309521 0.688448 BG
chair 477 304 590 340 0.303974 0.694942 BG
chair 377 238 397 258 0.294976 0.697625 BG
chair 294 226 419 326 0.264491 0.730958 BG
chair 455 325 461 420 0.253622 0.743565 BG
chair 320 227 368 303 0.246258 0.744705 chair
chair 353 262 371 329 0.213411 0.785540 BG
chair 216 235 297 286 0.204221 0.781105 BG
chair 386 250 395 256 0.195745 0.792343 BG
chair 394 251 398 257 0.194146 0.787478 BG
chair 501 236 541 290 0.179801 0.818361 BG
chair 286 254 310 280 0.171669 0.827541 BG
chair 215 251 223 257 0.17154 0.825003 BG
chair 455 239 465 242 0.168137 0.826008 BG
chair 478 225 505 339 0.167209 0.823719 BG
chair 247 239 268 245 0.15834 0.823041 BG
chair 325 262 347 297 0.153212 0.846032 BG
chair 513 254 542 273 0.150623 0.848759 BG
chair 337 282 349 297 0.138412 0.860737 BG
chair 264 240 268 245 0.134986 0.849068 BG
chair 433 251 444 360 0.12835 0.863589 BG
chair 280 252 288 273 0.126839 0.872798 BG
chair 327 255 337 264 0.121874 0.877351 BG
chair 130 287 135 293 0.101761 0.826668 BG
table 185 258 448 431 0.100212 0.236327 chair
bookshelf 553 59 589 218 0.105633 0.757092 BG
picture 28 94 43 120 0.215066 0.521216 BG
picture 526 1 590 17 0.171348 0.311437 BG
picture 31 17 47 44 0.166239 0.464205 BG
fridge 25 89 45 161 0.154719 0.427840 BG
tv 326 68 548 220 0.889039 0.088662 BG
tv 337 80 398 231 0.105637 0.798560 BG
paper 585 276 590 278 0.269842 0.428115 BG
paper 354 3 360 8 0.202646 0.689173 BG
paper 349 0 357 5 0.198809 0.670212 BG
paper 31 17 33 37 0.15649 0.641957 BG
paper 581 328 590 333 0.155279 0.406485 BG
paper 31 17 46 45 0.138864 0.464205 BG
paper 356 0 390 19 0.137775 0.675070 BG
paper 576 335 590 340 0.137478 0.361880 BG
paper 325 0 376 38 0.124565 0.664421 BG
paper 565 309 590 333 0.11366 0.520846 BG
paper 363 27 376 40 0.10081 0.784421 BG
box 489 46 494 47 0.172647 0.763967 BG
box 372 3 500 63 0.169229 0.677608 BG
box 564 308 590 333 0.123548 0.520846 BG
box 580 327 590 333 0.123376 0.406485 BG
box 519 220 529 223 0.115226 0.705601 BG
box 163 431 174 440 0.113544 0.296491 BG
box 493 13 516 46 0.109671 0.807730 BG
box 393 1 460 6 0.108458 0.654762 BG
whiteboard 521 1 588 48 0.311682 0.312381 BG
whiteboard 533 6 589 19 0.218238 0.322125 BG
whiteboard 35 93 290 257 0.108533 0.854779 BG
