cabinet 436 66 590 417 0.54945 0.353421 whiteboard
chair 328 74 445 249 0.965551 0.034192 chair
chair 149 108 238 242 0.955236 0.044461 chair
chair 246 87 337 215 0.932739 0.064641 chair
chair 174 315 243 437 0.71431 0.277025 BG
chair 9 254 237 437 0.497505 0.251575 table&&chair
chair 394 114 448 204 0.452496 0.530753 BG
chair 310 85 326 131 0.309018 0.685367 BG
chair 14 229 165 340 0.172654 0.746900 BG
chair 294 90 513 409 0.155045 0.754548 BG
chair 223 126 251 207 0.101085 0.895180 BG
table 0 121 130 261 0.963998 0.027009 table
table 0 320 237 440 0.899748 0.023306 table
table 360 119 555 422 0.114936 0.721513 BG
door 457 97 457 102 0.101439 0.608337 BG
counter 455 0 590 351 0.325672 0.298288 projector_screen&&whiteboard
counter 267 281 272 291 0.121673 0.703112 BG
desk 18 226 166 306 0.380758 0.465590 BG
desk 1 90 144 328 0.14686 0.224692 table
desk 0 284 200 440 0.113356 0.042248 table&&chair
paper 204 282 207 298 0.230236 0.397101 BG
paper 193 287 205 305 0.212347 0.445202 BG
paper 336 400 370 440 0.167914 0.219735 BG
paper 161 256 205 304 0.15479 0.542240 BG
paper 288 246 317 275 0.15348 0.377337 BG
paper 331 401 335 415 0.140294 0.551718 BG
paper 584 187 589 188 0.129386 0.531890 BG
paper 583 176 590 195 0.122295 0.436312 BG
paper 472 389 521 439 0.110772 0.469058 BG
box 204 281 208 298 0.154395 0.397101 BG
box 519 416 531 439 0.150699 0.509641 BG
box 161 253 204 304 0.131268 0.542240 BG
box 193 287 204 305 0.109783 0.445202 BG
garbage_bin 287 244 318 276 0.185052 0.377337 BG
garbage_bin 334 399 370 440 0.114904 0.219735 BG
