bed 491 382 590 440 0.229967 0.457758 papers
chair 403 432 415 438 0.302583 0.534555 BG
chair 138 243 177 293 0.160394 0.823628 BG
chair 140 254 152 255 0.11198 0.869934 BG
chair 367 434 399 440 0.102827 0.454762 BG
table 506 424 515 430 0.180102 0.633362 BG
door 0 147 16 272 0.1505 0.397358 BG
picture 532 366 541 373 0.182496 0.752078 BG
picture 515 360 543 393 0.105413 0.776698 BG
desk 0 314 316 429 0.995705 0.001001 desk
desk 0 386 162 440 0.137914 0.550397 keyboard
desk 265 361 392 440 0.112501 0.323968 drawer
pillow 514 369 558 408 0.109006 0.779460 BG
tv 14 248 164 390 0.220365 0.686684 computer
paper 155 350 214 383 0.57198 0.425223 BG
paper 177 321 255 371 0.569503 0.405984 BG
paper 151 356 178 395 0.475654 0.520774 BG
paper 171 349 194 373 0.421224 0.574121 BG
paper 193 362 194 367 0.392494 0.591071 BG
paper 169 391 194 403 0.340273 0.555015 BG
paper 178 366 191 382 0.336405 0.652867 BG
paper 192 367 215 381 0.327449 0.647832 BG
paper 216 344 254 375 0.277288 0.593802 BG
paper 178 370 184 378 0.25323 0.739791 BG
paper 222 364 227 370 0.245646 0.720199 BG
paper 179 381 200 394 0.206662 0.701216 BG
paper 147 352 249 417 0.189967 0.798188 BG
paper 310 394 327 416 0.187604 0.673156 BG
paper 332 385 336 387 0.182084 0.804695 BG
paper 375 401 381 407 0.164827 0.308165 BG
paper 183 376 190 382 0.157568 0.824613 BG
paper 359 411 362 413 0.150287 0.487833 BG
paper 191 420 198 431 0.141215 0.641495 BG
paper 329 385 331 387 0.140183 0.825854 BG
paper 582 383 585 383 0.138029 0.574132 BG
paper 168 414 176 419 0.136737 0.715162 BG
paper 304 383 311 386 0.134596 0.703630 BG
paper 167 395 182 414 0.123468 0.774114 BG
paper 140 387 147 389 0.122689 0.842493 BG
paper 306 368 343 415 0.121468 0.828353 BG
paper 292 383 305 389 0.121248 0.721130 BG
paper 540 370 559 380 0.118122 0.780035 BG
paper 148 414 209 440 0.114189 0.705350 BG
paper 540 360 555 375 0.110064 0.779844 BG
paper 2 410 20 440 0.105665 0.430417 BG
paper 501 322 590 440 0.10503 0.721496 papers&&file_cabinet
paper 159 396 162 404 0.103397 0.741202 BG
paper 181 393 187 399 0.100984 0.784329 BG
box 497 346 570 405 0.761806 0.187101 box
box 348 338 370 378 0.597055 0.392922 BG
box 499 355 520 393 0.546657 0.412855 BG
box 401 412 410 427 0.511575 0.425286 BG
box 491 386 515 412 0.479496 0.495365 BG
box 284 336 384 432 0.452166 0.405774 drawer
box 375 400 381 407 0.403499 0.308165 BG
box 408 416 413 420 0.348073 0.499106 BG
box 506 357 514 363 0.341107 0.632774 BG
box 506 351 528 363 0.339322 0.632675 BG
box 353 338 358 346 0.33099 0.560496 BG
box 328 332 350 377 0.296909 0.690514 BG
box 480 383 505 402 0.294091 0.682459 BG
box 1 407 20 439 0.268812 0.430417 BG
box 449 353 534 437 0.255106 0.586466 BG
box 279 424 384 439 0.251379 0.381904 BG
box 336 346 342 349 0.23783 0.759430 BG
box 310 317 370 376 0.233659 0.727367 BG
box 367 411 425 440 0.232841 0.554402 BG
box 17 408 28 418 0.229904 0.667002 BG
box 340 335 355 349 0.191419 0.801207 BG
box 407 421 414 427 0.173535 0.649335 BG
box 351 344 419 435 0.155776 0.714328 BG
box 11 208 25 256 0.151841 0.449132 BG
box 17 404 22 408 0.137549 0.763061 BG
box 506 265 590 435 0.13404 0.732602 BG
box 352 394 386 432 0.133743 0.782729 spoon
box 1 396 19 407 0.133641 0.707609 BG
box 359 410 361 414 0.119806 0.487833 BG
box 291 382 306 389 0.118092 0.721130 BG
box 282 385 314 420 0.117951 0.822710 BG
box 4 385 54 439 0.111721 0.513382 BG
box 150 432 159 440 0.109625 0.470483 BG
box 4 399 6 400 0.107024 0.543831 BG
box 18 419 100 440 0.104828 0.133503 BG
box 368 435 398 440 0.104699 0.454762 BG
box 37 385 44 387 0.103682 0.745270 BG
box 168 413 176 419 0.103015 0.715162 BG
box 292 342 333 383 0.101953 0.781469 BG
lamp 238 318 254 335 0.150866 0.658966 BG
lamp 409 348 421 353 0.135581 0.622096 BG
