table 199 128 496 429 0.100144 0.778043 rack
counter 3 243 164 436 0.10922 0.506076 BG
desk 194 177 547 418 0.200614 0.551988 BG
fridge 190 64 270 237 0.899578 0.074731 BG
fridge 211 70 234 189 0.629746 0.326178 BG
fridge 122 59 266 431 0.477271 0.503902 BG
fridge 224 75 309 178 0.169829 0.445122 BG
fridge 190 106 223 178 0.146371 0.765524 BG
fridge 1 234 111 440 0.119863 0.307357 BG
tv 443 8 589 261 0.558085 0.201475 chalkboard
tv 552 435 563 440 0.147497 0.557909 BG
tv 1 105 47 275 0.132385 0.789668 BG
tv 123 435 128 440 0.100958 0.534725 BG
paper 300 217 302 218 0.202066 0.650086 BG
paper 264 320 271 326 0.187685 0.557147 BG
paper 255 325 270 334 0.150042 0.617359 BG
paper 571 276 583 280 0.136788 0.383869 BG
paper 355 418 366 428 0.106615 0.829467 BG
paper 305 218 325 223 0.10257 0.787828 BG
box 352 368 355 377 0.695817 0.301758 BG
box 347 349 369 396 0.548719 0.445719 BG
box 333 257 399 385 0.507244 0.430013 BG
box 328 169 404 266 0.383022 0.610162 BG
box 359 369 367 373 0.328611 0.667868 BG
box 339 177 362 278 0.233816 0.758984 BG
box 234 88 315 175 0.161486 0.445122 BG
box 335 366 338 370 0.160167 0.821373 BG
box 273 73 381 274 0.159595 0.800196 BG
box 335 371 338 382 0.142846 0.851833 BG
box 236 240 411 408 0.119421 0.822216 stool
box 335 382 337 385 0.114031 0.880068 BG
box 317 195 341 277 0.102322 0.882010 BG
garbage_bin 11 249 227 440 0.100748 0.522166 BG
