cabinet 209 176 398 332 0.104346 0.635841 podium
chair 114 126 227 424 0.27463 0.634562 BG
chair 502 129 585 207 0.267363 0.680570 BG
chair 481 207 580 367 0.166819 0.269361 chair
sofa 314 11 590 115 0.333087 0.443630 chalkboard
table 23 116 188 373 0.857197 0.060544 rack
table 460 217 583 394 0.698678 0.214504 chair
table 86 99 374 393 0.636606 0.278906 BG
table 375 140 572 303 0.445205 0.070223 desk&&chair
table 212 186 430 357 0.222873 0.362246 BG
table 1 412 11 436 0.191821 0.717240 BG
table 0 426 6 436 0.183723 0.571569 BG
table 7 168 76 429 0.164089 0.741238 BG
picture 332 117 346 130 0.248102 0.557197 BG
picture 300 113 348 135 0.228678 0.586284 BG
picture 319 119 333 132 0.193003 0.633738 BG
picture 301 129 348 142 0.168017 0.669618 BG
picture 309 2 353 53 0.15734 0.456149 BG
picture 45 53 76 88 0.149354 0.678313 BG
picture 309 123 320 133 0.113885 0.817568 BG
desk 388 125 576 416 0.871386 0.020811 desk
desk 9 103 230 412 0.468276 0.096586 rack
desk 194 159 451 358 0.308122 0.550928 BG
fridge 208 9 356 193 0.105025 0.723052 BG
tv 306 4 352 52 0.125084 0.456149 BG
tv 227 197 404 317 0.101838 0.587869 BG
paper 574 236 581 237 0.197673 0.350755 BG
paper 288 114 347 143 0.18676 0.600439 BG
paper 302 320 322 326 0.182723 0.301891 BG
paper 288 133 303 143 0.158421 0.754200 BG
paper 579 236 590 239 0.155124 0.482525 BG
paper 288 321 334 332 0.143227 0.483341 BG
paper 320 119 333 132 0.128497 0.633738 BG
paper 289 116 305 135 0.124882 0.746992 BG
paper 333 117 346 130 0.12306 0.557197 BG
paper 116 119 126 124 0.122367 0.860165 BG
paper 330 328 335 330 0.101257 0.275174 BG
box 221 92 374 191 0.927637 0.061674 BG
box 290 97 296 101 0.846133 0.152750 BG
box 266 106 291 147 0.727855 0.257520 BG
box 251 100 278 105 0.481594 0.504522 BG
box 214 101 268 191 0.329103 0.628260 BG
box 301 89 376 100 0.287914 0.703841 BG
box 60 79 78 115 0.285749 0.534838 BG
box 43 50 78 132 0.168347 0.474502 BG
box 203 142 207 144 0.163696 0.736800 BG
box 77 68 91 116 0.129063 0.755153 BG
box 192 187 208 207 0.11777 0.871193 BG
box 182 144 214 213 0.10527 0.866908 BG
box 383 255 392 259 0.104562 0.470978 BG
whiteboard 199 5 291 116 0.960176 0.036085 BG
whiteboard 4 2 48 66 0.201426 0.210640 BG
night_stand 3 58 80 161 0.198516 0.508946 BG
lamp 7 3 60 59 0.315304 0.202259 BG
lamp 151 17 207 164 0.102485 0.806618 BG
garbage_bin 383 255 392 260 0.355773 0.470978 BG
garbage_bin 301 319 323 326 0.198081 0.301891 BG
garbage_bin 329 328 335 330 0.177624 0.275174 BG
garbage_bin 287 320 335 332 0.125079 0.483341 BG
