table 111 119 556 440 0.45563 0.337893 bench&&floor
picture 87 1 142 16 0.315641 0.620131 BG
picture 128 1 141 4 0.298685 0.671437 BG
picture 1 0 144 26 0.28793 0.428039 BG
picture 131 3 136 6 0.206023 0.767664 BG
picture 103 1 109 4 0.198212 0.761581 BG
picture 302 1 304 5 0.142041 0.297259 BG
picture 110 1 114 5 0.121374 0.846811 BG
paper 305 177 387 207 0.922789 0.073249 BG
paper 253 165 408 236 0.592763 0.300262 BG
paper 314 167 325 184 0.576902 0.422715 BG
paper 306 165 339 187 0.574493 0.424530 BG
paper 307 205 308 206 0.569247 0.366846 BG
paper 468 0 520 44 0.402809 0.292252 BG
paper 431 49 443 59 0.357066 0.294465 BG
paper 377 70 379 74 0.350614 0.515120 BG
paper 404 56 408 57 0.344688 0.389466 BG
paper 0 216 11 218 0.326978 0.493071 BG
paper 296 197 357 236 0.308514 0.482775 BG
paper 376 1 563 105 0.306864 0.489169 BG
paper 0 215 19 227 0.290278 0.530450 BG
paper 0 174 12 218 0.268539 0.541379 BG
paper 302 0 304 5 0.259971 0.297259 BG
paper 223 419 223 422 0.254497 0.112495 BG
paper 339 168 383 186 0.248523 0.511799 BG
paper 4 180 5 183 0.229924 0.377607 BG
paper 475 390 479 407 0.221581 0.124032 BG
paper 349 305 352 308 0.218462 0.329373 BG
paper 414 323 416 332 0.217422 0.109957 BG
paper 378 187 380 192 0.206209 0.683090 BG
paper 369 0 489 19 0.204758 0.365228 BG
paper 351 299 352 303 0.199675 0.557715 BG
paper 337 305 342 314 0.197705 0.474982 BG
paper 2 0 83 26 0.197103 0.376719 BG
paper 361 284 367 300 0.19458 0.502207 BG
paper 1 214 31 279 0.192724 0.651651 BG
paper 535 384 542 387 0.186451 0.065419 BG
paper 350 186 420 217 0.18254 0.631703 BG
paper 153 171 159 179 0.182379 0.755378 BG
paper 351 200 366 204 0.181031 0.812852 BG
paper 303 128 305 139 0.179323 0.647283 BG
paper 369 194 383 202 0.174661 0.750835 BG
paper 172 0 300 8 0.173396 0.492364 BG
paper 322 163 335 177 0.171181 0.827795 BG
paper 355 174 370 184 0.170809 0.715386 BG
paper 239 428 240 432 0.170723 0.165212 BG
paper 339 304 352 312 0.167474 0.443677 BG
paper 384 185 389 196 0.165339 0.642741 BG
paper 554 308 556 309 0.163655 0.050237 BG
paper 25 247 27 253 0.161814 0.713460 BG
paper 258 6 466 88 0.157901 0.636588 BG
paper 14 15 54 23 0.155195 0.685555 BG
paper 160 370 163 373 0.15253 0.464969 BG
paper 376 182 384 187 0.141775 0.614745 BG
paper 206 63 380 155 0.140031 0.781988 BG
paper 261 121 350 185 0.137318 0.827339 BG
paper 197 394 199 397 0.137124 0.324776 BG
paper 389 100 398 103 0.136436 0.847789 BG
paper 148 173 153 176 0.136141 0.831806 BG
paper 369 186 373 192 0.135097 0.781243 BG
paper 400 256 426 275 0.131258 0.723524 BG
paper 348 193 384 211 0.130515 0.801326 BG
paper 191 397 194 399 0.129874 0.397857 BG
paper 340 117 344 128 0.126155 0.852971 BG
paper 381 188 402 211 0.120229 0.570457 BG
paper 198 366 204 368 0.120036 0.408679 BG
paper 584 119 590 127 0.119032 0.678613 BG
paper 1 22 15 32 0.117891 0.625949 BG
paper 588 119 590 122 0.116288 0.736053 BG
paper 112 128 115 134 0.111158 0.764370 BG
paper 143 351 179 414 0.110051 0.628809 BG
paper 3 57 137 149 0.109473 0.594730 BG
paper 293 370 295 377 0.109067 0.554691 BG
paper 163 0 298 29 0.106322 0.619216 BG
paper 318 144 494 211 0.104949 0.355898 BG
paper 357 27 361 30 0.103246 0.625512 BG
paper 1 20 50 39 0.102735 0.815020 BG
paper 296 172 309 191 0.101932 0.888903 BG
paper 240 274 250 287 0.101891 0.632228 BG
paper 256 83 258 88 0.10168 0.705226 BG
box 310 132 511 223 0.720059 0.183931 BG
box 222 286 290 351 0.602383 0.308306 BG
box 462 186 485 226 0.59983 0.390610 BG
box 462 197 475 207 0.393505 0.588349 BG
box 221 335 229 341 0.328694 0.605528 BG
box 380 183 414 213 0.267858 0.573559 BG
box 0 1 91 28 0.247576 0.418558 BG
box 337 166 385 187 0.225596 0.511799 BG
box 375 181 385 187 0.2151 0.614745 BG
box 294 189 363 240 0.206041 0.482775 BG
box 223 419 224 422 0.203853 0.112495 BG
box 461 211 463 217 0.191839 0.734268 BG
box 221 327 224 336 0.190731 0.745136 BG
box 302 1 304 5 0.181365 0.297259 BG
box 238 427 241 432 0.171274 0.165212 BG
box 121 148 404 320 0.16318 0.649946 BG
box 412 189 435 204 0.162031 0.707286 BG
box 272 318 284 346 0.161378 0.738107 BG
box 177 6 181 8 0.144381 0.673988 BG
box 453 212 458 218 0.141183 0.758769 BG
box 468 1 521 44 0.130339 0.292252 BG
box 239 274 251 287 0.113462 0.632228 BG
box 428 184 488 236 0.112875 0.846821 BG
box 367 1 492 19 0.110807 0.365228 BG
box 451 203 463 218 0.109446 0.754963 BG
box 14 15 54 24 0.109437 0.685555 BG
box 342 228 348 231 0.108108 0.822864 BG
box 432 48 443 60 0.104421 0.294465 BG
box 554 308 557 308 0.103618 0.050237 BG
box 325 236 330 239 0.103105 0.869306 BG
box 160 369 164 373 0.102895 0.464969 BG
box 3 180 5 182 0.101098 0.377607 BG
box 173 5 188 8 0.100039 0.749955 BG
sink 88 221 353 323 0.408371 0.518165 BG
sink 52 146 468 373 0.367441 0.339921 bench
garbage_bin 474 389 480 408 0.177985 0.124032 BG
garbage_bin 238 427 241 432 0.169326 0.165212 BG
