chair 0 285 169 530 0.661549 0.296866 chair
table 40 121 649 525 0.989313 0.001957 table
table 8 284 232 367 0.240267 0.713845 BG
table 435 288 670 530 0.205153 0.770298 BG
table 0 263 302 518 0.102931 0.767017 BG
picture 226 77 282 137 0.667995 0.213156 BG
picture 0 54 34 216 0.554726 0.071385 books
picture 0 143 25 199 0.415728 0.246961 BG
picture 13 173 25 197 0.346108 0.305077 BG
picture 165 50 295 228 0.341647 0.340933 magazine&&books
picture 295 1 302 15 0.273408 0.235335 BG
picture 229 83 250 100 0.179731 0.710682 BG
picture 0 179 37 210 0.157542 0.351624 BG
picture 269 88 281 105 0.152286 0.540643 BG
picture 202 92 230 128 0.140006 0.815985 BG
picture 178 81 209 130 0.139283 0.808266 BG
picture 24 167 33 185 0.131221 0.654406 BG
pillow 542 184 563 219 0.301076 0.688096 BG
pillow 478 48 630 245 0.268107 0.415842 magazine&&books
pillow 541 189 546 194 0.22465 0.771394 BG
pillow 477 164 553 223 0.103395 0.748368 BG
fridge 0 38 57 226 0.128893 0.210427 books
tv 1 58 31 184 0.169361 0.127873 books
tv 343 518 398 530 0.104913 0.708294 BG
paper 570 205 599 229 0.513874 0.395306 BG
paper 192 172 221 184 0.49722 0.356497 BG
paper 192 176 201 182 0.382919 0.570801 BG
paper 168 166 171 174 0.373153 0.210691 BG
paper 545 190 604 227 0.248779 0.679482 BG
paper 171 52 294 218 0.172601 0.340933 magazine&&books
paper 663 451 667 452 0.172049 0.290104 BG
paper 270 88 280 104 0.158604 0.540643 BG
paper 1 210 21 217 0.154497 0.661721 BG
paper 1 209 4 216 0.153367 0.667844 BG
paper 24 167 29 177 0.153263 0.654406 BG
paper 1 181 37 210 0.150988 0.351624 BG
paper 299 514 304 521 0.137495 0.695328 BG
paper 224 60 280 135 0.13743 0.337435 BG
paper 645 385 659 386 0.132383 0.487738 BG
paper 588 201 603 212 0.13211 0.644335 BG
paper 14 174 25 196 0.12679 0.305077 BG
paper 671 458 675 461 0.117723 0.396451 BG
paper 642 450 680 529 0.116436 0.631712 BG
paper 663 449 680 457 0.113952 0.433848 BG
paper 250 63 280 80 0.111609 0.791373 BG
paper 24 167 35 203 0.106035 0.684500 BG
paper 673 456 680 457 0.104861 0.484992 BG
paper 480 203 485 217 0.10203 0.795748 BG
paper 669 439 680 448 0.101906 0.451198 BG
paper 272 515 307 530 0.1013 0.662990 BG
paper 2 56 28 154 0.100764 0.177717 BG
box 0 144 38 214 0.289945 0.256718 BG
box 551 469 634 529 0.224809 0.440196 BG
box 158 519 164 530 0.20719 0.408998 BG
box 0 174 26 197 0.201471 0.329782 BG
box 149 507 160 529 0.194432 0.489797 BG
box 168 46 300 230 0.176275 0.363479 magazine&&books
box 133 523 143 530 0.165842 0.403299 BG
box 0 145 26 174 0.159465 0.376796 BG
box 0 196 37 216 0.147162 0.545264 BG
box 168 165 171 174 0.139566 0.210691 BG
box 198 519 216 530 0.1314 0.568800 BG
box 1 487 21 528 0.119836 0.747287 BG
box 159 512 178 530 0.118059 0.565401 BG
box 587 200 603 211 0.117373 0.644335 BG
box 5 167 26 175 0.115699 0.682981 BG
box 294 174 304 190 0.115532 0.700898 BG
box 469 52 639 236 0.114629 0.326863 magazine&&books
box 440 188 443 190 0.106467 0.875174 BG
box 644 384 659 387 0.102405 0.487738 BG
garbage_bin 620 69 622 79 0.111042 0.758603 BG
