chair 127 0 424 527 0.374716 0.335554 sofa_chair
sofa 67 60 657 530 0.424356 0.471532 BG
sofa 488 24 680 374 0.212376 0.471458 BG
picture 255 1 539 9 0.279963 0.395427 BG
picture 237 0 241 7 0.235786 0.686471 BG
picture 469 1 537 9 0.14767 0.284046 BG
picture 203 0 214 2 0.134643 0.778719 BG
picture 221 174 223 177 0.111793 0.095433 BG
picture 218 174 224 180 0.110729 0.081677 BG
picture 220 129 221 133 0.109465 0.094721 BG
picture 274 143 279 147 0.107266 0.093011 BG
picture 206 191 208 200 0.104161 0.065875 BG
pillow 523 1 537 10 0.120251 0.480353 BG
paper 568 499 577 513 0.251547 0.313817 BG
paper 274 143 278 147 0.2384 0.093011 BG
paper 73 206 75 210 0.206592 0.093199 BG
paper 137 498 143 501 0.204962 0.418929 BG
paper 174 491 175 494 0.20472 0.419527 BG
paper 614 401 624 406 0.204402 0.185250 BG
paper 140 497 147 511 0.203308 0.365238 BG
paper 218 174 223 180 0.203122 0.081677 BG
paper 221 174 222 177 0.201806 0.095433 BG
paper 206 191 207 200 0.200206 0.065875 BG
paper 368 506 372 510 0.194075 0.411860 BG
paper 55 158 58 160 0.193685 0.130577 BG
paper 220 129 220 133 0.192735 0.094721 BG
paper 320 495 339 511 0.186594 0.384383 BG
paper 183 175 192 191 0.184431 0.049602 BG
paper 341 112 345 115 0.182592 0.081181 BG
paper 524 495 528 499 0.179035 0.398461 BG
paper 91 495 96 500 0.174174 0.466623 BG
paper 62 510 67 515 0.17295 0.434123 BG
paper 552 480 562 488 0.171721 0.364273 BG
paper 208 239 208 243 0.171494 0.119475 BG
paper 59 495 64 501 0.171424 0.479265 BG
paper 625 405 630 408 0.170556 0.147642 BG
paper 175 175 181 183 0.155669 0.041581 BG
paper 540 379 546 386 0.153989 0.362285 BG
paper 319 464 368 511 0.149982 0.618181 BG
paper 175 480 208 530 0.149443 0.306468 BG
paper 12 463 82 530 0.145531 0.182361 BG
paper 659 82 669 93 0.145441 0.244914 BG
paper 326 486 333 494 0.141506 0.583786 BG
paper 648 138 653 144 0.139082 0.215914 BG
paper 529 380 532 385 0.13627 0.316740 BG
paper 96 462 161 527 0.131514 0.415590 BG
paper 353 128 357 131 0.130974 0.252510 BG
paper 654 289 656 291 0.130679 0.538597 BG
paper 1 283 14 306 0.126562 0.162523 BG
paper 128 493 144 525 0.121842 0.370874 BG
paper 290 490 300 495 0.121342 0.568370 BG
paper 320 479 331 492 0.11901 0.634136 BG
paper 6 512 14 515 0.117545 0.493472 BG
paper 1 270 15 283 0.116984 0.337400 BG
paper 81 241 87 244 0.116374 0.331284 BG
paper 76 498 96 530 0.110625 0.378236 BG
paper 293 510 328 530 0.107093 0.323582 BG
paper 671 427 674 430 0.10629 0.354432 BG
paper 676 425 680 429 0.104434 0.378808 BG
paper 486 5 500 8 0.104211 0.617888 BG
paper 517 16 520 17 0.103724 0.621338 BG
paper 336 505 387 530 0.101739 0.268536 BG
paper 365 491 420 530 0.100384 0.234565 BG
towel 1 270 15 282 0.1385 0.337400 BG
towel 1 283 14 305 0.132682 0.162523 BG
box 500 0 521 9 0.50274 0.395569 BG
