sofa 88 56 680 530 0.854812 0.090415 sofa_chair
picture 334 62 344 80 0.120819 0.623417 BG
picture 329 79 335 98 0.119581 0.212073 BG
picture 578 124 586 132 0.113474 0.141331 BG
picture 382 133 392 143 0.107755 0.124508 BG
picture 282 143 290 154 0.106092 0.199482 BG
picture 381 115 386 128 0.104522 0.094906 BG
picture 160 364 162 371 0.104234 0.098222 BG
picture 327 101 331 114 0.102046 0.070268 BG
picture 333 99 336 105 0.102008 0.072969 BG
picture 396 105 398 108 0.101793 0.108633 BG
picture 331 100 334 111 0.101466 0.064630 BG
picture 318 99 319 103 0.10096 0.118923 BG
pillow 545 295 546 299 0.129973 0.638886 BG
pillow 535 288 541 295 0.118799 0.592281 BG
pillow 537 292 544 297 0.11782 0.578153 BG
paper 532 509 536 512 0.274215 0.369366 BG
paper 667 224 668 224 0.23837 0.365338 BG
paper 396 105 397 107 0.237712 0.108633 BG
paper 381 116 385 128 0.229931 0.094906 BG
paper 285 101 286 113 0.217014 0.218115 BG
paper 327 102 330 114 0.211352 0.070268 BG
paper 318 100 318 102 0.210604 0.118923 BG
paper 331 101 333 111 0.207664 0.064630 BG
paper 661 232 664 239 0.20458 0.384123 BG
paper 382 133 391 142 0.204445 0.124508 BG
paper 333 100 335 105 0.202841 0.072969 BG
paper 160 364 161 371 0.200315 0.098222 BG
paper 151 210 154 210 0.196764 0.169055 BG
paper 141 203 157 211 0.196331 0.093026 BG
paper 282 143 289 153 0.194827 0.199482 BG
paper 147 365 151 371 0.194184 0.083138 BG
paper 84 486 94 494 0.189211 0.479455 BG
paper 369 511 375 514 0.186741 0.383275 BG
paper 480 494 497 512 0.185936 0.534433 BG
paper 578 124 585 132 0.184809 0.141331 BG
paper 331 497 335 500 0.184774 0.480944 BG
paper 329 80 335 97 0.172878 0.212073 BG
paper 129 162 139 171 0.164942 0.035821 BG
paper 658 225 665 232 0.160358 0.458025 BG
paper 26 336 29 340 0.160281 0.052882 BG
paper 155 203 176 216 0.153929 0.444080 BG
paper 543 488 549 497 0.150399 0.719343 BG
paper 672 214 676 221 0.150336 0.383044 BG
paper 667 222 680 234 0.150075 0.380915 BG
paper 8 368 12 370 0.14447 0.053934 BG
paper 271 149 277 156 0.142302 0.346238 BG
paper 657 217 662 225 0.14218 0.488326 BG
paper 664 215 680 251 0.140738 0.318177 BG
paper 654 208 659 210 0.137758 0.553775 BG
paper 448 492 464 511 0.136912 0.562450 BG
paper 668 205 680 220 0.136234 0.377723 BG
paper 529 513 544 530 0.135212 0.211745 BG
paper 480 512 508 530 0.132144 0.180712 BG
paper 64 257 85 270 0.130166 0.101688 BG
paper 382 235 397 254 0.128851 0.472031 BG
paper 87 263 97 273 0.128607 0.311012 BG
paper 347 256 349 260 0.122832 0.418692 BG
paper 414 479 464 530 0.121907 0.452174 BG
paper 676 214 680 220 0.117219 0.455152 BG
paper 666 199 673 203 0.115992 0.418462 BG
paper 337 250 347 258 0.113057 0.475820 BG
paper 649 464 662 477 0.111239 0.511592 BG
paper 270 157 272 161 0.110201 0.440024 BG
paper 390 460 436 522 0.11001 0.589465 BG
paper 342 256 344 259 0.106507 0.519467 BG
paper 653 460 656 464 0.105149 0.539486 BG
paper 169 177 176 199 0.105112 0.675914 BG
paper 666 179 680 209 0.104939 0.469829 BG
paper 657 481 663 486 0.10384 0.549425 BG
paper 315 192 316 196 0.102624 0.613176 BG
towel 193 206 197 211 0.176928 0.680566 BG
towel 195 204 197 209 0.166537 0.698548 BG
towel 196 225 206 237 0.165346 0.647121 BG
towel 218 193 223 197 0.148565 0.645363 BG
towel 191 206 197 221 0.145956 0.705034 BG
towel 212 132 221 175 0.141389 0.577544 BG
towel 210 165 225 193 0.140539 0.681064 BG
towel 189 191 194 201 0.12819 0.730043 BG
towel 156 202 176 217 0.121409 0.444080 BG
towel 151 209 154 211 0.116327 0.169055 BG
towel 174 178 195 228 0.110146 0.723928 BG
towel 177 115 201 177 0.10794 0.777547 BG
towel 141 203 158 211 0.107531 0.093026 BG
box 528 512 544 530 0.218424 0.211745 BG
box 661 231 665 239 0.216177 0.384123 BG
box 532 508 536 512 0.202979 0.369366 BG
box 657 224 666 232 0.200047 0.458025 BG
box 667 223 669 224 0.192362 0.365338 BG
box 634 223 664 235 0.172389 0.604805 BG
box 368 511 375 514 0.172107 0.383275 BG
box 479 511 507 530 0.170622 0.180712 BG
box 8 368 13 370 0.162485 0.053934 BG
box 331 497 335 500 0.145527 0.480944 BG
box 656 216 662 225 0.131515 0.488326 BG
box 333 100 335 104 0.11887 0.072969 BG
box 327 102 331 113 0.115168 0.070268 BG
box 331 101 334 110 0.113533 0.064630 BG
box 318 100 318 102 0.112647 0.118923 BG
box 480 493 497 512 0.108362 0.534433 BG
box 448 490 464 511 0.108303 0.562450 BG
box 159 364 162 370 0.107913 0.098222 BG
box 26 336 30 339 0.102376 0.052882 BG
box 146 365 152 371 0.102023 0.083138 BG
lamp 655 190 665 209 0.177194 0.653220 BG
lamp 664 165 666 178 0.101528 0.643839 BG
bag 381 369 385 381 0.102223 0.316033 BG
garbage_bin 625 235 636 239 0.242133 0.689484 BG
garbage_bin 624 237 636 251 0.210779 0.713292 BG
garbage_bin 235 144 237 146 0.173609 0.376698 BG
garbage_bin 381 347 382 350 0.169289 0.204808 BG
garbage_bin 25 337 30 340 0.155949 0.052882 BG
garbage_bin 625 239 627 242 0.137014 0.830995 BG
garbage_bin 375 368 379 369 0.130332 0.168730 BG
garbage_bin 146 365 152 371 0.128807 0.083138 BG
garbage_bin 603 226 608 235 0.122978 0.850267 BG
garbage_bin 333 99 336 105 0.121284 0.072969 BG
garbage_bin 621 249 632 256 0.119521 0.816453 BG
garbage_bin 159 364 162 371 0.118282 0.098222 BG
garbage_bin 331 100 334 111 0.117275 0.064630 BG
garbage_bin 625 211 664 240 0.11602 0.567082 BG
