chair 383 134 627 530 0.294284 0.689817 toilet_paper_dispenser
table 2 201 142 530 0.146811 0.560596 BG
counter 0 199 159 530 0.105885 0.560596 BG
paper 547 490 549 494 0.190871 0.141713 BG
paper 405 480 417 484 0.167206 0.170261 BG
paper 202 10 205 15 0.158003 0.680642 BG
paper 216 435 221 445 0.149932 0.284572 BG
paper 198 0 204 16 0.14696 0.566024 BG
paper 256 61 258 64 0.14636 0.689326 BG
paper 504 451 589 529 0.145278 0.281050 BG
paper 199 415 290 530 0.144922 0.388667 BG
paper 210 435 215 440 0.142957 0.290719 BG
paper 142 492 171 530 0.12381 0.390823 BG
paper 159 508 172 527 0.122868 0.359416 BG
paper 10 319 14 324 0.122501 0.033843 BG
paper 171 15 296 59 0.121708 0.815579 BG
paper 255 81 257 83 0.120236 0.723794 BG
paper 462 138 464 143 0.11356 0.772593 BG
paper 173 344 214 413 0.112732 0.744695 BG
paper 622 417 629 428 0.109527 0.746767 BG
paper 308 74 334 169 0.103377 0.638651 BG
paper 1 466 15 473 0.102974 0.575027 BG
paper 52 137 61 148 0.102661 0.579883 BG
paper 371 132 375 137 0.101688 0.855883 BG
paper 14 251 17 253 0.101631 0.027470 BG
box 502 450 589 529 0.179313 0.281050 BG
box 141 490 170 530 0.125118 0.390823 BG
box 158 507 171 527 0.11639 0.359416 BG
box 294 527 302 530 0.114614 0.399097 BG
box 547 490 548 494 0.113193 0.141713 BG
box 469 517 472 524 0.110426 0.547417 BG
box 1 465 15 473 0.105816 0.575027 BG
box 482 528 484 530 0.104921 0.631925 BG
whiteboard 9 319 15 324 0.111613 0.033843 BG
garbage_bin 405 480 418 484 0.158498 0.170261 BG
garbage_bin 590 458 592 463 0.158148 0.571313 BG
garbage_bin 498 449 590 530 0.136781 0.281050 BG
garbage_bin 578 479 581 484 0.135635 0.601961 BG
garbage_bin 216 435 221 445 0.134621 0.284572 BG
garbage_bin 196 409 289 530 0.134502 0.388667 BG
garbage_bin 580 456 591 479 0.131139 0.733258 BG
garbage_bin 546 490 549 495 0.121859 0.141713 BG
garbage_bin 210 435 215 440 0.114506 0.290719 BG
garbage_bin 14 251 18 253 0.113104 0.027470 BG
garbage_bin 576 447 589 464 0.100163 0.803440 BG
