cabinet 261 78 680 530 0.225317 0.608845 kitchen_counter
sofa 199 0 276 7 0.12292 0.622623 BG
picture 543 0 614 81 0.438946 0.273747 BG
picture 659 0 680 29 0.408832 0.506647 BG
picture 666 16 672 25 0.363471 0.552413 BG
picture 646 73 667 111 0.275372 0.665620 BG
picture 657 79 675 85 0.216851 0.714539 BG
picture 662 81 675 103 0.146785 0.681401 BG
picture 646 94 664 103 0.119568 0.823060 BG
picture 30 377 48 386 0.109804 0.133289 BG
picture 655 101 669 108 0.106233 0.813157 BG
counter 274 49 680 279 0.20657 0.713784 BG
tv 445 0 617 83 0.818413 0.080750 BG
tv 459 14 463 39 0.252756 0.745644 BG
tv 554 0 616 40 0.228757 0.592302 BG
paper 588 507 590 510 0.302942 0.188865 BG
paper 454 508 463 514 0.233922 0.588150 BG
paper 431 494 453 530 0.231264 0.357269 BG
paper 448 496 466 530 0.219374 0.439173 BG
paper 399 497 402 500 0.207941 0.533157 BG
paper 383 489 402 511 0.203461 0.555703 BG
paper 383 489 394 494 0.201147 0.547306 BG
paper 372 492 384 510 0.195732 0.541326 BG
paper 443 493 453 507 0.187284 0.727167 BG
paper 140 504 143 509 0.18477 0.384463 BG
paper 30 377 47 386 0.171734 0.133289 BG
paper 453 500 457 507 0.171121 0.754216 BG
paper 346 504 351 507 0.170605 0.429006 BG
paper 15 479 47 511 0.169913 0.405350 BG
paper 672 85 680 105 0.168257 0.496350 BG
paper 24 399 32 403 0.162194 0.034203 BG
paper 384 474 435 528 0.160568 0.642908 BG
paper 376 7 384 10 0.159851 0.625329 BG
paper 331 495 351 513 0.159471 0.565139 BG
paper 226 512 231 513 0.151283 0.372377 BG
paper 174 493 208 512 0.149966 0.531802 BG
paper 245 506 252 511 0.149409 0.354708 BG
paper 252 505 257 515 0.148771 0.363619 BG
paper 244 508 245 510 0.148487 0.355071 BG
paper 223 495 252 512 0.146572 0.470690 BG
paper 1 462 17 495 0.146021 0.292707 BG
paper 15 372 56 401 0.142916 0.215330 BG
paper 2 494 47 530 0.142456 0.169934 BG
paper 401 388 414 399 0.141559 0.393880 BG
paper 668 275 671 281 0.140066 0.418017 BG
paper 353 260 384 286 0.137787 0.233495 BG
paper 464 514 477 530 0.137225 0.231321 BG
paper 111 479 134 510 0.134051 0.482349 BG
paper 16 372 34 383 0.133321 0.208178 BG
paper 368 479 385 530 0.128167 0.441422 BG
paper 194 463 206 469 0.127824 0.589097 BG
paper 648 147 667 158 0.126281 0.530102 BG
paper 253 486 292 530 0.125229 0.389464 BG
paper 651 154 658 159 0.124083 0.541192 BG
paper 141 468 213 530 0.123935 0.393407 BG
paper 299 496 319 522 0.12324 0.432559 BG
paper 662 82 675 102 0.120143 0.681401 BG
paper 501 371 515 375 0.11563 0.192609 BG
paper 675 160 680 164 0.1156 0.472588 BG
paper 675 154 680 159 0.115263 0.504772 BG
paper 399 512 420 530 0.112325 0.305704 BG
paper 443 493 448 500 0.108565 0.854810 BG
paper 670 276 673 287 0.107022 0.518279 BG
paper 384 512 399 530 0.106682 0.263620 BG
paper 274 19 351 36 0.106295 0.757914 BG
paper 2 346 53 370 0.1037 0.371618 BG
paper 207 462 214 469 0.1011 0.645613 BG
box 588 506 591 510 0.156964 0.188865 BG
box 139 504 143 509 0.154295 0.384463 BG
box 15 372 56 400 0.14411 0.215330 BG
box 16 372 34 382 0.141746 0.208178 BG
box 375 7 384 10 0.138406 0.625329 BG
box 30 377 48 385 0.13393 0.133289 BG
box 1 493 48 530 0.129309 0.169934 BG
box 243 508 245 510 0.12647 0.355071 BG
box 244 506 252 511 0.125298 0.354708 BG
box 225 512 231 513 0.125201 0.372377 BG
box 251 505 257 515 0.12458 0.363619 BG
box 222 494 252 512 0.119597 0.470690 BG
box 174 491 208 512 0.118195 0.531802 BG
box 24 399 33 402 0.112917 0.034203 BG
box 431 490 454 530 0.111831 0.357269 BG
box 345 504 351 507 0.111673 0.429006 BG
box 399 497 402 500 0.111596 0.533157 BG
box 398 511 419 530 0.10929 0.305704 BG
box 1 460 17 494 0.108925 0.292707 BG
box 383 511 398 530 0.108821 0.263620 BG
box 137 511 143 530 0.106165 0.255586 BG
box 368 511 384 530 0.105665 0.255274 BG
box 20 355 25 356 0.102756 0.530189 BG
box 143 507 192 530 0.102751 0.253288 BG
box 95 511 137 530 0.10139 0.257089 BG
box 352 261 385 286 0.101186 0.233495 BG
box 507 511 515 521 0.100029 0.489060 BG
sink 47 0 403 489 0.2341 0.464251 BG
bathtub 12 145 653 507 0.183276 0.409008 BG
garbage_bin 183 45 198 55 0.20359 0.729780 BG
garbage_bin 501 370 514 376 0.178874 0.192609 BG
garbage_bin 23 400 33 403 0.14281 0.034203 BG
garbage_bin 16 372 35 383 0.129725 0.208178 BG
garbage_bin 30 377 48 386 0.129559 0.133289 BG
garbage_bin 15 372 56 401 0.124901 0.215330 BG
garbage_bin 13 479 48 496 0.110934 0.461569 BG
garbage_bin 587 506 591 511 0.102738 0.188865 BG
garbage_bin 2 479 16 496 0.101256 0.266819 BG
