bed 56 214 615 525 0.298799 0.604370 counter
sofa 16 168 254 289 0.325373 0.539982 BG
picture 540 0 680 88 0.105197 0.650049 BG
counter 145 271 203 283 0.107661 0.806072 BG
clothes 130 264 188 322 0.138262 0.650418 BG
clothes 413 265 472 369 0.121887 0.517768 BG
tv 390 520 400 530 0.411579 0.376650 BG
paper 308 306 313 310 0.28523 0.672576 BG
paper 300 308 308 314 0.280092 0.677406 BG
paper 279 297 316 332 0.252683 0.700157 BG
paper 313 305 324 312 0.187511 0.769544 BG
paper 249 222 252 227 0.184163 0.610079 BG
paper 316 327 327 332 0.181833 0.800624 BG
paper 279 296 298 308 0.18021 0.730819 BG
paper 378 278 385 283 0.175036 0.672244 BG
paper 246 222 257 239 0.170451 0.635773 BG
paper 665 246 671 249 0.169436 0.250103 BG
paper 382 289 388 296 0.157101 0.611328 BG
paper 6 263 88 309 0.148784 0.817942 BG
paper 257 225 264 237 0.133559 0.697346 BG
paper 294 287 314 306 0.128618 0.808814 BG
paper 677 59 680 63 0.125864 0.433974 BG
paper 668 272 672 274 0.120953 0.381601 BG
paper 670 268 680 277 0.116966 0.390162 BG
paper 677 324 680 327 0.115375 0.475439 BG
paper 1 47 25 63 0.111996 0.507648 BG
paper 178 311 185 315 0.111049 0.720107 BG
paper 672 246 676 249 0.110115 0.412329 BG
paper 667 59 680 75 0.108582 0.535356 BG
paper 520 190 557 199 0.102696 0.694094 BG
paper 373 290 376 292 0.101076 0.732602 BG
box 285 6 289 15 0.635127 0.324004 BG
box 414 255 478 313 0.409953 0.537312 BG
box 213 202 321 292 0.332775 0.393182 BG
box 386 266 449 303 0.248853 0.677117 BG
box 415 285 453 305 0.235348 0.683008 BG
box 386 285 418 303 0.220721 0.658049 BG
box 285 16 287 26 0.211947 0.660854 BG
box 214 200 259 236 0.204545 0.656567 BG
box 295 13 315 31 0.202582 0.614625 BG
box 5 4 218 64 0.189254 0.554853 BG
box 369 268 417 288 0.179788 0.780401 BG
box 296 14 303 23 0.178815 0.706317 BG
box 220 217 255 229 0.167581 0.674085 BG
box 0 48 15 63 0.146048 0.502505 BG
box 306 246 319 254 0.141012 0.537452 BG
box 0 42 68 63 0.140743 0.558989 BG
box 319 242 323 246 0.139231 0.637046 BG
box 287 45 337 78 0.133508 0.609755 BG
box 216 225 253 235 0.132368 0.730684 BG
box 300 115 340 131 0.13015 0.662731 BG
box 4 473 37 485 0.129611 0.704251 BG
box 245 222 257 239 0.128202 0.635773 BG
box 221 210 258 219 0.127082 0.751061 BG
box 288 244 310 256 0.126209 0.677534 BG
box 424 273 465 289 0.125548 0.839571 BG
box 304 47 337 61 0.123402 0.619871 BG
box 568 62 577 75 0.118633 0.613131 BG
box 81 42 95 54 0.118252 0.655025 BG
box 664 245 671 250 0.118225 0.250103 BG
box 294 7 372 31 0.118124 0.750994 BG
box 284 15 384 55 0.116252 0.695647 BG
box 248 222 253 227 0.115994 0.610079 BG
box 252 210 256 222 0.112551 0.686800 BG
box 313 11 344 26 0.110903 0.673038 BG
box 456 48 462 53 0.107317 0.689628 BG
box 566 26 579 39 0.105355 0.568608 BG
box 464 75 476 94 0.101943 0.600696 BG
box 299 48 305 60 0.101665 0.658209 BG
box 28 58 32 60 0.100649 0.680799 BG
whiteboard 25 2 669 223 0.192953 0.695029 BG
bag 414 254 475 374 0.1381 0.477253 BG
garbage_bin 207 271 216 275 0.407803 0.513742 BG
garbage_bin 211 174 260 302 0.313702 0.474074 milk&&box
garbage_bin 218 251 225 287 0.211658 0.765913 BG
garbage_bin 192 266 205 279 0.197385 0.747577 BG
garbage_bin 199 233 218 288 0.159914 0.796740 BG
garbage_bin 178 195 371 316 0.141676 0.555286 BG
garbage_bin 373 279 415 304 0.124541 0.641662 BG
garbage_bin 204 288 223 302 0.108444 0.868591 BG
