table 42 205 450 528 0.203669 0.435999 file_cabinet
door 490 2 613 113 0.344985 0.336207 BG
door 664 2 680 96 0.192828 0.633374 BG
door 556 0 611 53 0.158953 0.348370 BG
door 544 157 552 163 0.148295 0.327033 BG
door 487 0 542 244 0.14288 0.634337 BG
door 523 154 532 159 0.135299 0.425385 BG
door 535 159 544 164 0.128535 0.401337 BG
picture 360 0 382 19 0.422452 0.485488 BG
picture 356 0 364 16 0.319472 0.606387 BG
picture 411 0 460 82 0.269122 0.658284 BG
picture 377 0 381 9 0.258673 0.601228 BG
picture 369 14 379 19 0.242601 0.636670 BG
picture 519 1 536 17 0.183206 0.557729 BG
picture 449 48 458 55 0.178111 0.663142 BG
picture 487 2 543 50 0.151933 0.434482 BG
picture 522 15 535 24 0.150055 0.180208 BG
picture 431 52 460 62 0.141086 0.675212 BG
picture 449 21 458 57 0.140951 0.767785 BG
picture 664 152 680 292 0.127744 0.384454 BG
picture 516 15 537 49 0.120635 0.214624 BG
picture 557 1 613 53 0.116154 0.348370 BG
picture 427 0 459 25 0.115541 0.764299 BG
counter 53 171 454 510 0.180624 0.435999 BG
mirror 543 156 553 163 0.128442 0.327033 BG
clothes 498 235 546 285 0.1043 0.778423 BG
fridge 538 141 666 284 0.115416 0.551345 BG
tv 575 155 672 277 0.403415 0.177614 BG
tv 166 524 174 530 0.103561 0.174262 BG
tv 157 527 167 530 0.100732 0.206697 BG
paper 357 209 371 220 0.282772 0.594512 BG
paper 343 197 376 220 0.221925 0.640672 BG
paper 192 507 195 511 0.219109 0.380425 BG
paper 347 207 361 213 0.203171 0.734656 BG
paper 523 15 535 23 0.198326 0.180208 BG
paper 184 511 190 517 0.191568 0.266763 BG
paper 306 236 314 242 0.167551 0.822152 BG
paper 1 320 16 338 0.162388 0.548944 BG
paper 176 479 288 530 0.161662 0.337460 BG
paper 516 15 536 47 0.161199 0.214624 BG
paper 573 38 574 38 0.160065 0.137382 BG
paper 391 188 391 190 0.148088 0.514169 BG
paper 301 495 335 510 0.14364 0.550979 BG
paper 497 16 519 33 0.141415 0.379709 BG
paper 514 28 514 31 0.136071 0.184353 BG
paper 534 82 554 89 0.135451 0.246503 BG
paper 515 36 518 46 0.120655 0.307124 BG
paper 322 112 334 126 0.119179 0.578433 BG
paper 516 156 523 158 0.116193 0.477592 BG
paper 535 87 557 94 0.112499 0.374496 BG
paper 325 240 349 249 0.109537 0.753148 BG
paper 524 140 529 146 0.109354 0.498869 BG
paper 519 128 529 146 0.106093 0.511812 BG
paper 140 486 194 530 0.104207 0.564478 BG
towel 509 189 543 224 0.174555 0.403667 BG
towel 495 240 509 254 0.149997 0.746455 BG
towel 480 202 494 266 0.137959 0.771783 BG
towel 508 159 536 192 0.132918 0.417564 BG
towel 494 254 500 274 0.120757 0.729476 BG
towel 517 155 523 158 0.102859 0.477592 BG
box 533 189 575 258 0.228712 0.494598 BG
box 320 335 328 343 0.202443 0.695749 BG
box 191 507 195 511 0.176284 0.380425 BG
box 490 122 575 292 0.153876 0.545362 BG
box 496 16 520 34 0.152644 0.379709 BG
box 522 15 535 24 0.15111 0.180208 BG
box 515 16 537 48 0.150657 0.214624 BG
box 513 28 515 31 0.146292 0.184353 BG
box 200 169 414 369 0.134434 0.649668 fax_machine
box 484 3 543 48 0.131374 0.434482 BG
box 624 134 625 136 0.12808 0.783159 BG
box 610 119 617 132 0.119583 0.555045 BG
box 183 511 190 517 0.117151 0.266763 BG
box 348 309 376 325 0.116605 0.663854 BG
box 192 241 202 255 0.115693 0.778820 BG
box 575 159 670 274 0.111092 0.272904 BG
box 514 36 519 47 0.102991 0.307124 BG
box 327 320 352 339 0.102819 0.786991 BG
box 304 171 309 179 0.101926 0.803272 BG
box 364 316 366 319 0.100345 0.725237 BG
sink 155 169 423 500 0.437596 0.314379 BG
lamp 588 128 598 146 0.393685 0.593962 BG
lamp 570 126 592 146 0.361849 0.630933 BG
lamp 598 118 613 146 0.359122 0.600730 BG
lamp 601 137 613 147 0.290383 0.694611 BG
lamp 591 94 604 129 0.226355 0.664607 BG
lamp 610 118 614 131 0.187863 0.534976 BG
lamp 541 123 596 174 0.184924 0.794022 BG
lamp 578 144 586 151 0.17656 0.815269 BG
lamp 582 145 595 156 0.173992 0.815256 BG
lamp 496 96 580 177 0.173921 0.452215 BG
lamp 600 146 609 155 0.162593 0.801697 BG
lamp 576 97 592 125 0.148668 0.806018 BG
lamp 602 95 614 132 0.129872 0.580733 BG
garbage_bin 578 170 665 280 0.238634 0.270428 BG
garbage_bin 572 217 575 224 0.201471 0.754108 BG
garbage_bin 576 189 583 220 0.200555 0.776208 BG
garbage_bin 536 194 584 260 0.199008 0.609461 BG
garbage_bin 577 207 580 220 0.176881 0.792564 BG
garbage_bin 561 202 572 207 0.140572 0.762815 BG
garbage_bin 561 190 583 207 0.139925 0.828668 BG
garbage_bin 202 286 209 303 0.135843 0.624026 BG
garbage_bin 572 217 588 238 0.129667 0.806412 BG
garbage_bin 427 211 496 357 0.126273 0.686045 BG
garbage_bin 350 415 353 418 0.114362 0.788028 BG
garbage_bin 416 353 430 365 0.10421 0.754188 BG
